word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
menyelaraskan,id,/məɲəlaraskan/,əəɶɶbɶm,harmonize,調和します,몽땅몽땅하다,ko,/mo̞ŋt͈a̠ŋmo̞ŋt͈a̠ŋɦa̠da̠/,ooɔyɶ,All,全て,,,verb,5
协调,zh-cn,/ɕjɛ˧˥ tʰjɑʊ˧˥/,bœbɑʊ,coordination,調整,prägnanten,de,/pɾɛgnɑntən/,bœbɑməm,concise,簡潔,to,œbɑ,verb,3
harmonisoida,fi,/ˈhɑrmoniˌsoidɑ/,ɑoyoyɑ,harmonize,調和します,dirigent,sv,/dɪrɪɧ'ɛnːt/,œɶɑɑœm,conductor,導体,,,verb,5
harmoniser,fr,/aʁmɔnize/,ɶbɔyø,harmonize,調和します,absorbiertet,de,/ˈʔapzɔɾˈbiːɾtət/,ɶbɔyəb,absorbed,吸収されます,to,bɔy,verb,4
harmonii,eo,/harmonii/,ɶoyy,to harmonize,調和する,あおぎ見る,ja,/aogimiɾɯ/,ɶoyyu,Look at,あおぎ見る,to,oyy,verb,4
ثور,ar,/θawwara/,ɶɶɶ,ox,牛,atarees,es,/ataɾees/,ɶɶøøb,ATARES,アタレス,,,noun,3
virbovo,eo,/virbovo/,yoo,Bull,ブル,فتعمه,ar,/fataʕmah/,ɶɶbɶ,Do it,やれ,,,noun,3
renacuajo,es,/renakwaxo/,øɶbɶo,tadpole,タドポール,metafrază,ro,/metafrazə/,øɶbɶə,metaphrase,メタレース,to,ɶbɶ,verb,4
ジャケット,ja,/dʑaketːo/,bɶøbo,Jacket,ジャケット,사회화,ko,/sʰa̠ɦø̞βwa̠/,bɶøbɶ,socialization,社会化,to,ɶøb,noun,3
thảm thực vật,vi,/tʰam˧˩˨ tʰɯk˨ˀ˩ʔ jɤ̆k˨ˀ˩ʔ/,bɶmbubbobb,vegetation,植生,キャンギャル,ja,/kjaɴgjaɾɯ/,bɶmbɶu,Campaign,キャンギャル,to,ɶmb,noun,3
vegetație,ro,/vedʒetatsije/,øbøɶbyø,vegetation,植生,ségrégationniste,fr,/segʁegasjɔnist/,øbøɶbɔybb,segregationist,分離主義者,to,bøɶb,noun,5
vegetación,es,/bexetaˈθjon/,øøɶbom,vegetation,植生,Generalstreik,de,/ɡeneˈʀaːlˌʃtraɪ̯k/,øøɶbbɶʏb,General strike,ゼネスト,to,øɶb,noun,4
ääriliike,fi,/ˈææriˌliike/,ææyyyø,extremist,過激派,peloponnesian,en,/ˌpɛɫəpəˈniʒən/,ʏɑɑʏb,peloponnesian,ペロポネネス,,,adjective,4
extremist,en,/ɛkˈstɹimɪst/,œbbbyʏbb,extremist,過激派,extrahiere,de,/ʔɛkstɾɑˈiːɾe/,œbbbɑyø,extract,エキス,to,bbb,adjective,3
