word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
gravity,en,gravity,重力,/ˈɡɹævəti/,bæəy,əy
menteri,id,minister,大臣,/məntəri/,əməy,əy
battery,en,battery,バッテリー,/ˈbætɝi/,æəy,əy
legacy,en,legacy,遺産,/ˈɫɛɡəsi/,œəy,əy
embassy,en,embassy,大使館,/ˈɛmbəsi/,œməy,əy
odyssey,en,odyssey,オデッセイ,/ˈɑdəsi/,ɑəy,əy
enemy,en,enemy,敵,/ˈɛnəmi/,œəy,əy
uppity,en,uppity,uppity,/ˈəpəti/,əəy,əy
suvenir,id,souvenir,お土産,/suvənir/,uəy,əy
Sellerie,de,celery,セロリ,/ˈzɛləʁi/,œəy,əy
custody,en,custody,親権,/ˈkəstədi/,əbəy,əy
piety,en,piety,信仰心,/ˈpaɪəti/,ɶʏəy,əy
porcherie,fr,pigsty,ブタ,/pɔʁʃəʁi/,ɔbəy,əy
损失率,zh-cn,Losses,損失,/suən˨˩˦ ʂɚ˥˥ ly˥˩/,uəməy,əy
tâlhări,ro,robber,強盗,/tɨlhəri/,ʉbəy,əy
garderie,fr,nursery,保育園,/gaʁdəʁi/,ɶbəy,əy
Vũ Nghĩa Chi,vi,Vu Nghia Chi,Vu nghia chi,/ju˧˩˨ ŋiə˧˩˨ ci˧˥/,uyəy,əy
galeri,/galəri/,gallery,ギャラリー,ɶəy,id,əy
entrevît,fr,interview,インタビュー,/ɑ̃tʁəvi/,ɑbəy,əy
întrebări,ro,question,質問,/ɨntrebərʲ/,ʉmbøəy,əy
kubeli,id,I bought it,それを買った,/kubəli/,uəy,əy
求知欲,zh-cn,Be insignificant,取るに足らない,/tɕʰjoʊ˧˥ ʈʂɚ˥˥ y˥˩/,bboʊəy,əy
fourberies,fr,deceit,欺ce,/fuʁbəʁi/,ubəy,əy
pateri,id,solder,半田,/patəri/,ɶəy,əy
cung thiếu nhi,vi,Supply Children,子供を供給します,/kuŋ͡m˧˥ tʰiəw˩˧ ɲi˧˥/,ummbyəy,əy
