word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
ضلع,ar,/dˤalaʕa/,bɶɶɶ,Rib,リブ,アヴァター,ja,/avataː/,ɶɶɶ,Avatar,アヴァター,kyaku,ɶɶ,noun,3
ilmavoimat,fi,/ˈilmɑˌvoimɑt/,ybɑoyɑb,air force,空軍,理想主义,zh-cn,/li˨˩˦ ɕjɑŋ˨˩˦ ʈʂu˨˩˦ i˥˩/,ybɑmuy,Idealism,理想主義,to,bɑ,verb,4
silkkinen,fi,/ˈsilkkinen/,ybbyøm,silky,シルキー,부엉이셈,ko,/puʌ̹ŋisʰe̞m/,uɔybøm,Owl,フクロウ,kyaku,øm,verb,3
シルキー,ja,/ɕiɾɯkiː/,yuy,Silky,シルキー,matusi,en,/məˈtusi/,əuy,matusi,マトシ,kyaku,uy,noun,3
mătăsos,ro,/mətəsos/,əəob,silky,シルキー,judiegos,es,/xuðjeɣos/,ubøob,Jewish,ユダヤ人,kyaku,ob,noun,3
預金通帳,ja,/jokiɴtsɯɯtɕoɯ/,oymbuubou,Passbook,預金通帳,socinianismo,es,/soθinjanizmo/,oymɶybo,Socinianism,社会主義,to,ym,noun,5
bankabók,is,/pauŋ̊kapouːk/,ɶumɶoub,banking book,銀行の本,detritus,es,/detɾitus/,øbyub,detritus,デトリタス,kyaku,ub,noun,3
meninggalkan,id,/məniŋgalkan/,əymɶbɶm,leave,離れる,tái xanh tái xám,vi,/taj˩˧ san˧˥ taj˩˧ sam˩˧/,ɶɶmɶɶm,pale green,薄緑色,kyaku,ɶm,noun,4
버리다,ko,/pʌ̹ɾida̠/,ɔyɶ,throw away,捨てる,chính quy hoá,vi,/cin˩˧ wi˧˥ hwa˩˧/,ymyɶ,formalization,形式化,kyaku,yɶ,noun,3
abandonar,es,/aβandonaɾ/,ɶɶmoɶ,Leave,離れる,échafaudage,fr,/eʃafodaʒ/,øɶoɶ,scaffolding,足場,kyaku,oɶ,verb,4
hylätä,fi,/ˈhylætæ/,yææ,reject,拒絶,cánh tay,vi,/kan˩˧ tăj˧˥/,yəmbybub,arm,腕,,,noun,3
見捨てる,ja,/misɯteɾɯ/,yuøu,Abandon,見捨てる,asseyez-vous,fr,/asɛjevu/,ɶœøu,sit down,座って下さい,kyaku,øu,verb,4
ambassador,en,/æmˈbæsədɝ/,æmæəə,ambassador,大使,curcubătă,ro,/kurkubətə/,uuəə,turbulent,乱流,kyaku,əə,noun,4
التصميم,ar,/aːltasˤmiːm/,ɶbɶbym,the design,デザイン,atractriz,es,/atɾaktɾiθ/,ɶbɶbbyb,attractive,魅力的,to,bɶb,noun,3
동물학,ko,/to̞ŋmuɾɦa̠k̚/,omuɶb,zoology,動物学,لنستزر,ar,/linastazr/,yɶbɶb,Let's,しましょう,kyaku,ɶb,noun,3
eläintiede,fi,/ˈelæinˌtiede/,øæymyøø,zoo,動物園,らふてえ,ja,/ɾaɸɯtee/,ɶuøø,Lafee,らふてえ,kyaku,øø,noun,4
zoología,es,/θooloˈxia/,oooyɶ,zoology,動物学,贸易逆差,zh-cn,/mɑʊ˥˩ i˥˩ ni˥˩ ʈʂʰa˥˥/,ɑʊyyɶ,Trade deficit,貿易赤字,kyaku,yɶ,noun,4
zoologie,fr,/zɔɔlɔʒi/,ɔɔɔy,zoology,動物学,Briefporti,de,/ˈbriːfpɔɾti/,bybɔy,Postporto,postporto,kyaku,ɔy,noun,3
bongusta,eo,/bongusta/,omubɶ,Delicious,おいしい,reflecta,es,/reflekta/,øbøbɶ,reflects,反映します,kyaku,bɶ,verb,3
antiquité,fr,/ɑ̃tikite/,ɑyyø,antiquity,古代,otoritér,id,/otoriter/,ooyø,authoritarian,権威主義,kyaku,yø,noun,4
古代,ja,/kodai/,oɶy,Ancient times,古代,conabiu,ro,/konabiw/,oɶy,conabium,コナビウム,kyaku,ɶy,noun,3
antiquity,en,/ænˈtɪkwəti/,æmʏbəy,antiquity,古代,Infanterie,de,/ˈɪn.fan.təˌʁiː/,ʏmɶməy,infantry,歩兵,kyaku,əy,noun,4
antichitate,ro,/antikʲ̩itate/,ɶmyyyɶø,antiquity,古代,antipolnisches,de,/ˈʔanˌtiːpɔlnɪʃəs/,ɶmyɔbʏəb,anti -Polish,反ポリッシュ,to,my,adjective,5
بطن,ar,/batˤana/,ɶbɶɶ,stomach,お腹,teigmarka,is,/tʰɛːjɣmar̥ka/,bœɶɶ,market,市場,kyaku,ɶɶ,noun,3
empujar,es,/empuxaɾ/,ømuɶ,Push,押す,다루다,ko,/ta̠ɾuda̠/,ɶuɶ,treat,扱う,kyaku,uɶ,verb,3
dorongan,id,/doroŋan/,ooɶm,encouragement,奨励,不以为然,zh-cn,/pu˥˩ i˨˩˦ weɪ˧˥ ʐan˧˥/,uyøʏɶm,Not to take care of,世話をしないでください,kyaku,ɶm,verb,3
retrasar,es,/retɾasaɾ/,øbɶɶ,to delay,遅延する,retradus,ro,/retradus/,øbɶub,retranslated,再巻き戻されました,to,bɶ,verb,3
scandalos,ro,/skandalos/,bɶmɶob,scandalous,スキャンダラス,glansandi,is,/klansantɪ/,bɶmɶmʏ,glossy,光沢,to,ɶmɶ,adjective,3
memalukan,id,/məmalukan/,əɶuɶm,embarrassing,恥ずかしい,bedaure,de,/bədauːɐə/,əɶuɐə,regret,後悔,to,ɶu,adjective,4
tenuous,en,/ˈtɛnjəwəs/,œməəb,tenuous,希薄,mendribel,id,/məndribəl/,əmbyəb,dribble,ドリブル,kyaku,əb,adjective,3
cartera,es,/kaɾteɾa/,ɶøɶ,purse,財布,thể chế hoá,vi,/tʰe˧˩˨ ce˩˧ hwa˩˧/,bøøɶ,institutionalization,制度化,kyaku,øɶ,noun,3
amiază,ro,/amijazə/,ɶyɶə,noon,昼,書き上げる,ja,/kakiageɾɯ/,ɶyɶøu,Write down,書き上げる,to,yɶ,verb,4
hádegi,is,/hauːteijɪ/,ɶuøyʏ,noon,昼,già khú đế,vi,/ja˦˨ xu˩˧ de˩˧/,ɶuø,Old man,老人,to,uø,noun,3
agotamiento,es,/aɣotamjento/,ɶoɶmømo,exhaustion,疲労,laboratorium,id,/laboratorium/,ɶoɶoyum,laboratory,ラボ,to,oɶ,noun,5
燃え尽き症候群,ja,/moetsɯkiɕoɯkoɯgɯɴ/,oøbuyououum,Burning out syndrome,燃え尽き症候群,cởi áo cho người xem lưng,vi,/kɤj˧˩˨ aw˩˧ cɔ˧˥ ŋɯəj˦˨ sɛm˧˥ lɯŋ˧˥/,oɶɔuəœmum,Take off the shirt for viewers,視聴者のためにシャツを脱いでください,kyaku,um,noun,6
criatura,es,/kɾjatuɾa/,bɶuɶ,creature,生き物,bánh củ cải,vi,/ban˩˧ ku˧˩˨ kaj˧˩˨/,ɶmuɶ,radish,だいこん,kyaku,uɶ,verb,3
عامل,ar,/ʕaːmala/,ɶɶɶ,Worker,ワーカー,barbabais,es,/baɾβaβais/,ɶɶɶyb,Barbabais,バルババイス,to,ɶɶ,noun,3
imagen,es,/imaxen/,yɶøm,image,画像,Schaltieren,de,/ʃalˈtiːɾen/,ɶbyøm,Switch on,スイッチをつける,kyaku,øm,noun,3
creation,en,/kɹiˈeɪʃən/,byøʏəm,creation,創造,致命,ja,/tɕimei/,byøy,Death,致命,to,yø,noun,3
penciptaan,id,/pəntʃiptaʔan/,əmbybɶɶm,creation,創造,seðlabankann,is,/sɛðlapauŋ̊kan/,œbɶɶumɶm,central bank,中央銀行,kyaku,ɶm,noun,4
