word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
probațiune,ro,Probation,保護観察,/probatsiune/,boɶbyuø,bo
소용돌이,ko,Swirl,渦巻き,/sʰo̞joŋdo̞ɾi/,boomoy,bo
流行音乐,zh-cn,Popular music,人気の音楽,/ljoʊ˧˥ ɕɪŋ˧˥ ɪn˥˥ ɥœ˥˩/,boʊʏmʏmœ,bo
protokolla,fi,protocol,プロトコル,/ˈprotoˌkollɑ/,booobɑ,bo
promenadă,ro,promenade,プロムナード,/promenadə/,boøɶə,bo
恐怖症,ja,Phobia,恐怖症,/kjoɯɸɯɕoɯ/,bouuou,bo
profesie,ro,profession,職業,/profesije/,boøyø,bo
profesio,eo,profession,職業,/profesio/,boøyo,bo
著作権,ja,Copyright,著作権,/tɕosakɯkeɴ/,boɶuøm,bo
除草剤,ja,Herbicide,除草剤,/dʑosoɯzai/,boouɶy,bo
Propaganda,de,propaganda,宣伝,/ˈpɾoːpɑgandɑ/,boɑɶmɑ,bo
propagandă,ro,propaganda,宣伝,/propaɡandə/,boɶɶmə,bo
秀色可餐,zh-cn,Showcase,ショーケース,/ɕjoʊ˥˩ sɤ˥˩ kʰɤ˨˩˦ tsʰan˥˥/,boʊobobbɶm,bo
Þjórsárvera,is,Thjórsárvera,Thjórsárvera,/θjour̥saurvɛːra/,bouɶuœɶ,bo
貯蔵室,ja,Storage room,貯蔵室,/tɕozoɯɕitsɯ/,boouybu,bo
송구영신,ko,Song Gu Young -shin,Song Gu Young -shin,/sʰo̞ŋɡujʌ̹ŋɕʰin/,bomuɔmbym,bo
常灯明,ja,Regular light,常灯明,/dʑoɯtoɯmjoɯ/,bououmou,bo
probadora,es,tester,テスター,/pɾoβaðoɾa/,boɶoɶ,bo
projektierter,de,projected,投影,/pɾojɛkˈtiːɾtɐ̯/,boœbyɐ,bo
prjónahúfu,is,knitting cap,編み物,/pʰrjouːnahuːvʏ/,bouɶuʏ,bo
hljóðhimnurnar,is,the sound membranes,音膜,/l̥jouːðhɪmnʏtnar/,boubʏmʏbɶ,bo
grjótnámunni,is,boulders,岩,/krjouːtnaumʏnɪ/,boubɶuʏʏ,bo
prorrogare,es,Porrogare,ポロガレ,/pɾoroɣaɾe/,booɶø,bo
토실하다,ko,Cluster,集まる,/tʰo̞ɕʰiɾɦa̠da̠/,bobyɶɶ,bo
