word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
mengamati,id,observe,観察する,/məŋamati/,əɶɶy,ɶy
memakai,id,use,使用する,/məmakai/,əɶɶy,ɶy
始まり,ja,Beginning,始まり,/hadʑimaɾi/,ɶbyɶy,ɶy
menanggapi,id,respond,応答,/mənaŋgapi/,əɶmɶy,ɶy
dipahami,id,understood,了解した,/dipahami/,yɶɶy,ɶy
塩辛い,ja,Spicy,塩辛い,/ɕiokaɾai/,yoɶɶy,ɶy
mengenali,id,recognize,認識,/məŋənali/,əəɶy,ɶy
menghindari,id,avoid,避ける,/məŋhindari/,əmymɶy,ɶy
耐え難い,ja,Unbearable,耐え難い,/taegatai/,ɶøɶɶy,ɶy
menilai,id,evaluate,評価,/mənilai/,əyɶy,ɶy
가장자리,ko,edge,縁,/ka̠d͡ʑa̠ŋd͡ʑa̠ɾi/,ɶbɶmbɶy,ɶy
memberkati,id,bless,祝福,/məmbərkati/,əməɶy,ɶy
返咲き,ja,comeback,返咲き,/kaeɾizaki/,ɶøyɶy,ɶy
chiêu hiền đãi sĩ,vi,Chieu Hien treats,Chieu Hien Treats,/ciəw˧˥ hiəŋ˦˨ daj˧˩˨ ʂi˧˩˨/,yəyəmɶy,ɶy
mencacati,id,truncate,切り捨てます,/məntʃatʃati/,əmbɶbɶy,ɶy
forregali,eo,gift away,贈り物,/forregali/,oøɶy,ɶy
discourtoisie,/diskuʁtwazi/,discourteoisie,Dismyteoisie,ybubbɶy,fr,ɶy
哄然大笔,zh-cn,Make a lot of money,大金を稼ぎます,/xʊŋ˥˥ ʐan˧˥ ta˥˩ pi˨˩˦/,ʊmɶmɶy,ɶy
Úrúgvæ,/uːrukvai/,Uruguay,ウルグアイ,uubɶy,is,ɶy
ĉirkaŭlavi,eo,to wrap around,包む,/t͡ʃirkaulavi/,byɶuɶy,ɶy
سأستعير,ar,I will borrow,借ります,/saʔastaʕiːr/,ɶɶbɶy,ɶy
preterlasi,eo,to omit,省略します,/preterlasi/,bøøɶy,ɶy
fulmobati,eo,to flash,フラッシュする,/fulmobati/,uboɶy,ɶy
手鏡,ja,hand mirror,手鏡,/tekagami/,øɶɶy,ɶy
