word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
location,en,/ɫoʊˈkeɪʃən/,oʊøʏəm,location,位置,hiệu đoàn trưởng,vi,/hiəw˨ˀ˩ʔ dwaŋ˦˨ ʈɯəŋ˧˩˨/,yəbbɶmuəm,Delegation,代表団,kyaku,əm,noun,3
tegaĵo,eo,/tegaʒo/,øɶo,lining,粘膜,신사도,ko,/ɕʰinsʰa̠do̞/,bymbɶo,Shrine,神社,kyaku,ɶo,noun,3
mehukas,fi,/ˈmehukɑs/,øuɑb,juicy,ジューシー,gigaflop,en,/ˈɡɪɡəˌfɫɑp/,ʏəbɑb,gigaflop,ギガフロップ,kyaku,ɑb,adjective,3
suculent,ro,/sukulent/,uuømb,juicy,ジューシー,スウェード,ja,/sɯɯeːdo/,uuøo,Suede,スウェード,to,uø,noun,3
gewöhnliche,de,/gəˈvønlɪçə/,əømʏə,ordinary,普通,angermeier,en,/ˈeɪŋɡɝmaɪɝ/,øʏməɶʏə,angermeier,Angermeier,kyaku,ʏə,adjective,4
ordinary,en,/ˈɔɹdəˌnɛɹi/,ɔəœy,ordinary,普通,게으름쟁이,ko,/ke̞ɯɾɯmd͡ʑɛ̝ŋi/,øuumbœy,Lazy,怠惰,kyaku,œy,adjective,4
ordinaire,fr,/ɔʁdinɛʁ/,ɔbyœb,ordinary,普通,vasotec,en,/ˈveɪzoʊˌtɛk/,øʏoʊœb,vasotec,Vasotec,kyaku,œb,adjective,3
agentti,fi,/ˈɑgentti/,ɑømby,agent,エージェント,vizaĝi,eo,/vizad͡ʒi/,yɶby,face to face,面と向かって,kyaku,by,noun,3
agente,es,/axente/,ɶømø,agent,エージェント,agénsi,id,/agensi/,ɶømy,Agénti,アギンティ,to,øm,noun,3
agento,eo,/agento/,ɶømo,an agent,エージェント,johdanto,fi,/ˈjohdɑnto/,oɑmo,introduction,前書き,kyaku,mo,noun,3
enojarse,es,/enoxaɾse/,øoɶø,get angry,怒る,kontextfrei,de,/ˈkɔntɛkstfɾae/,ɔmœbbbbɶø,context -free,コンテキスト - フリー,kyaku,ɶø,verb,4
ärsyttää,fi,/ˈærsyttææ/,æybææ,annoy,迷惑,thu nhập quốc dân,vi,/tʰu˧˥ ɲɤ̆p˨ˀ˩ʔ wok͡p˦˥ jɤ̆ŋ˧˥/,buobbobbom,National income,国民所得,to,,verb,4
ennuyer,fr,/ɑ̃nɥije/,ɑmyø,annoy,迷惑,sanmiguel,en,/sɑnmiˈɡɛɫ/,ɑmyœ,sanmiguel,サンミゲル,to,my,verb,3
penitent,en,/ˈpɛnɪtɪnt/,œʏʏmb,penitent,悔い改め,microfilms,es,/mikɾofilms/,yboybmb,Microfilms,マイクロフィルム,kyaku,mb,noun,3
rangaistus,fi,/ˈrɑngɑistus/,ɑmɑybub,penalty,ペナルティ,浪潮,zh-cn,/lɑŋ˥˩ ʈʂʰɑʊ˧˥/,ɑmɑʊ,wave,波,to,mɑ,noun,3
kjúklingur,is,/cʰuhkliŋkʏr/,ubymʏ,chicken,チキン,Zeichentisch,de,/ˈtsaeçɛntɪʃ/,bɶøœmʏ,Drawing table,描画テーブル,kyaku,mʏ,noun,3
haalari,fi,/ˈhɑɑlɑri/,ɑɑɑy,jump suit,ジャンプスーツ,Ararat,de,/ˈʔɑːɾɑɾɑt/,ɑɑɑb,Ararat,アララト,to,ɑɑ,noun,3
vendaval,es,/bendaβal/,ømɶɶb,gale,ゲイル,点訳,ja,/teɴjakɯ/,ømɶu,Translation,点訳,to,mɶ,noun,3
グリップ,ja,/gɯɾipːɯ/,uybu,grip,グリップ,فندجو,ar,/fanaddʒuː/,ɶɶbbu,Vando,ヴァンド,kyaku,bu,noun,3
Astrologie,de,/ʔastɾoloˈgiː/jə/,ɶbbooyə,astrology,占星術,aðkomumanna,is,/aðkʰɔmʏmana/,ɶbbɔʏɶɶ,strangers,見知らぬ人,to,bb,noun,5
astrology,en,/əˈstɹɑɫədʒi/,əbbɑəby,astrology,占星術,koloristi,fi,/ˈkoloˌristi/,ooyby,columnist,コラムニスト,kyaku,by,noun,4
astrología,es,/astɾoloˈxia/,ɶbbooyɶ,astrology,占星術,umhverfisgæða,is,/ʏmkʰvɛrvɪscaiːða/,ʏmbœʏbɶyɶ,environmental quality,環境品質,kyaku,yɶ,noun,5
