word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
näkymä,fi,/ˈnækymæ/,æyæ,view,見る,Strang,de,/ˈʃtɾaŋ/,əʏmə,strand,ストランド,,,noun,3
painajainen,fi,/ˈpɑinɑˌjɑinen/,ɑyɑɑyøm,nightmare,悪夢,klimatologo,eo,/klimatologo/,yøyo,climatologist,気候学者,,,verb,4
pesadilla,es,/pesaðiʎa/,øɶyɶ,nightmare,悪夢,手間暇,ja,/temaçima/,øɶyɶ,Time and effort,手間暇,to,ɶyɶ,verb,4
belajar,id,/bəladʒar/,əɶbɶ,study,勉強,benachbart,de,/bəˈnaxˌbaɾt/,əɶbɶb,adjacent,隣接,to,ɶbɶ,verb,3
공부하다,ko,/ko̞ŋbuɦa̠da̠/,omuɶɶ,study,勉強,kondukado,eo,/kondukado/,omuɶo,conducting,指揮,to,muɶ,verb,4
desafío,es,/desaˈfio/,øɶyo,challenge,チャレンジ,repartitor,ro,/repartitor/,øɶyo,Distribution,分布,to,ɶyo,noun,4
Herausforderung,de,/hɛˈɾaosˌfɔɾdɐ̯ʊŋ/,œɶobɔɐʊm,challenge,チャレンジ,يحتقب,ar,/jaħtaqib/,øʏuøʏby,Congestion,混雑,,,noun,4
tantangan,id,/tantaŋan/,ɶmɶɶm,challenge,チャレンジ,山旮旯,zh-cn,/ʂan˥˥ ka˥˥ la˧˥/,ɶmɶɶ,Hill,丘,to,mɶɶ,verb,3
aufgehoben,de,/ʔaofgəˈhoːbən/,ɶobəoəm,canceled,キャンセル,skitsofreenisesti,fi,/ˈskitsoˌfreeniˌsesti/,ɑobyøm,schizophrenically,統合失調症,,,verb,4
levantado,es,/leβantaðo/,øɶmɶo,gotten up,起きた,예단하다,ko,/je̞da̠nɦa̠da̠/,øɶmɶɶ,Predict,予測する,to,ɶmɶ,verb,4
soulevé,fr,/suləve/,uəø,raised,上げられた,serajlo,eo,/serailo/,øɶyo,A seradle,セラドル,,,verb,3
الكسول,ar,/aːlkasuːl/,ɶbɶub,Laziness,怠惰,mallaŭdi,eo,/mallaudi/,ɶbɶuy,to dislodge,取り外します,to,bɶu,verb,3
tyhjäntoimittaja,fi,/ˈtyhjænˌtoimitˌtɑjɑ/,yæmoyybɑɑ,empty journalist,空のジャーナリスト,libervola,eo,/libervola/,ømuyɶbøuo,voluntary,自発的,,,verb,6
フェンシング,ja,/ɸɯeɴɕiɴgɯ/,uømymu,fencing,フェンシング,urgénsi,id,/urgensi/,uømy,urgency,緊急,to,ømy,noun,3
herida,es,/eɾiða/,øyɶ,wound,傷,kelajuan,id,/kəladʒuan/,əɶbuɶm,speed,速度,,,adjective,3
伤口,zh-cn,/ʂɑŋ˥˥ kʰoʊ˨˩˦/,ɑmboʊ,Wound,傷,kanttori,fi,/ˈkɑnttori/,ɑmboy,cantor,カンター,to,mbo,noun,3
vesiratas,fi,/ˈvesiˌrɑtɑs/,øyɑɑb,waterfall,滝,젖싸개,ko,/t͡ɕʌ̹t̚s͈a̠ɡɛ̝/,bubɶmbɶu,Wet,濡れた,,,verb,4
