word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
siirtolohkare,fi,/ˈsiirtoˌlohkɑre/,yyooɑø,boulder,ボルダー,fiziologio,eo,/fiziologio/,yyooyo,physiology,生理,to,yoo,noun,5
ボルダー,ja,/boɾɯdaː/,ouɶ,Boulder,ボルダー,monijumalainen,fi,/ˈmoniˌjumɑˌlɑinen/,uoyuøøm,yuman,ユマン,,,noun,3
perceraian,id,/pərtʃəraian/,əbəɶyɶm,divorce,離婚,căldăraru,ro,/kəldəraru/,əbəɶu,CALDARARU,カルダル,to,bəɶ,noun,4
インジケータ,ja,/iɴdʑikeːta/,ymbyøɶ,indicator,インジケータ,빙심옥호,ko,/piŋɕʰimo̞kʰo̞/,ymbyobo,Bingsimokho,Bingsimokho,to,mby,noun,4
indikilo,eo,/indikilo/,ymyyo,indicator,インジケータ,リン脂質,ja,/ɾiɴɕiɕitsɯ/,ymyybu,Phospholipid,リン脂質,to,myy,noun,4
indicator,en,/ˈɪndəˌkeɪtɝ/,ʏməøʏə,indicator,インジケータ,Verstärkungsregelung,de,/fɛːɐ̯ˈʃtɛɾkʊŋsɾegelʊŋ/,ʏmɶbyə,Reinforcement,強化,to,,noun,4
indikaattori,fi,/ˈindiˌkɑɑttori/,ymyɑɑboy,indicator,インジケータ,깨작깨작하다,ko,/k͈ɛ̝d͡ʑa̠k̚k͈ɛ̝d͡ʑa̠kʰa̠da̠/,ymuɔɶɶ,Sesame,セサミ,,,noun,5
ازدراء,ar,/izdiraːʔ/,ybyɶb,contempt,軽empt,一匹马,zh-cn,/i˥˩ pʰi˨˩˦ ma˨˩˦/,ybyɶ,a horse,馬,to,byɶ,noun,3
penghinaan,id,/pəŋhinaʔan/,əmyɶɶm,insult,侮辱,歯磨剤,ja,/ɕimazai/,yɶɶy,Dental,歯磨剤,,,noun,4
軽蔑,ja,/keibetsɯ/,øyøbu,Contempt,軽蔑,vesieste,fi,/ˈvesieste/,øyøbø,water barrier,ウォーターバリア,to,yøb,noun,3
質問,ja,/ɕitsɯmoɴ/,ybuom,question,質問,기술도입,ko,/kisʰuɭdo̞ip̚/,ybuoyb,Introduction,序章,to,buo,noun,3
pertanyaan,id,/pərtaɲaʔan/,əɶɶɶm,question,質問,crânent,fr,/kʁan/,œbøbɔybm,crush,打ち砕く,,,noun,4
întrebare,ro,/ɨntrebare/,ʉmbøɶø,question,質問,ĵongli,eo,/ʒongli/,ɶmuɶmbo,juggling,ジャグリング,,,noun,4
