word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
طوباوي,ar,Utopian,ユートピア,/tˤuːbaːwijj/,buɶy,ɶy
重大,ja,Serious,重大,/dʑɯɯdai/,buuɶy,ɶy
شيطاني,ar,demonic,悪魔,/ʃeɪtˤaːnijj/,øʏbɶy,ɶy
baladí,es,trivial,些細な,/balaˈði/,ɶɶy,ɶy
ترابي,ar,earthy,素朴,/turaːbijj/,uɶy,ɶy
أبدي,ar,everlasting,永遠に,/ʔabadijj/,ɶɶy,ɶy
يرتعش,ar,Tremble,震える,/jartaʕiʃ/,ɶɶy,ɶy
巨大,ja,Huge,巨大,/kjodai/,boɶy,ɶy
高い,ja,high,高い,/takai/,ɶɶy,ɶy
暗い,ja,dark,暗い,/kɯɾai/,uɶy,ɶy
ancai,id,AF,af,/antʃai/,ɶmbɶy,ɶy
canaris,fr,canary,カナリア,/kanaʁi/,ɶɶy,ɶy
sómakær,is,reasonable,適正,/souːmacaiːr/,ouɶɶy,ɶy
kekasih,id,beloved,愛されし者,/kəkasih/,əɶy,ɶy
ébahi,/ebai/,amazed,驚いた,øɶy,fr,ɶy
売れ足,/ɯɾeaɕi/,Selling foot,売れ足,uøɶy,ja,ɶy
bất khả tri,vi,impossible,無理だよ,/bɤ̆k˦˥ xa˧˩˨ ʈi˧˥/,obɶy,ɶy
محتمي,ar,Inevitable,避けられない,/muħtamiː/,ubɶy,ɶy
rohani,id,spiritual,スピリチュアル,/rohani/,oɶy,ɶy
evadí,es,I evaded,私は回避しました,/eβaˈði/,øɶy,ɶy
