word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
licență,ro,/litʃentsə/,ybømbə,license,ライセンス,phi thực tại,vi,/fi˧˥ tʰɯk˨ˀ˩ʔ taj˨ˀ˩ʔ/,ybubbɶb,non -reality,非現実性,to,yb,noun,3
permesilo,eo,/permesilo/,øøyo,license,ライセンス,vedenpuute,fi,/ˈvedenˌpuute/,øømuuø,deficiency,欠乏,to,øø,noun,4
licencia,es,/liθenθja/,yømbɶ,license,ライセンス,dilélang,id,/dilelaŋ/,yøɶm,Dilang,dilang,to,yø,noun,3
チューリップ,ja,/tɕɯːɾipːɯ/,buybu,Tulip,チューリップ,krurringo,eo,/krurringo/,buymo,leg ring,レッグリング,to,buy,noun,3
penipuan,id,/pənipuan/,əyuɶm,fraud,詐欺,吃絮了,zh-cn,/ʈʂʰɚ˥˥ ɕy˥˩ lɤ˧/,əyo,Eat,食べる,to,əy,verb,3
الاختلاف,ar,/aːlixtilaːf/,ɶybyɶb,the difference,違い,najbaraĵo,eo,/naibaraʒo/,ɶyɶɶo,neighborhood,近所,to,ɶy,noun,4
variación,es,/baɾjaˈθjon/,ɶɶbom,variation,変化,capaucă,ro,/kapaukə/,ɶɶuə,Capuca,カプカ,to,ɶɶ,noun,3
variație,ro,/varijatsije/,ɶyɶbyø,variation,変化,familiarisâtes,fr,/familjaʁizat/,ɶybɶyɶb,familiaris,馴染みのある,to,ɶy,noun,5
variasi,id,/variasi/,ɶyɶy,variation,変化,aireare,es,/aiɾeaɾe/,ɶyøɶø,Airare,Airare,to,ɶy,noun,3
artikla,fi,/ˈɑrtiklɑ/,ɑybɑ,article,論文,quantifiasses,fr,/kɑ̃tifjas/,ɑybɶb,quantifies,定量化します,to,ɑyb,noun,3
articol,ro,/artikol/,ɶyob,article,論文,大衆化,ja,/taiɕɯɯka/,ɶyuuɶ,Popularization,大衆化,to,ɶy,noun,3
article,en,/ˈɑɹtəkəɫ/,ɑəə,article,論文,Lamee,de,/ˈlɑːməə/,ɑəə,Lame,ラメ,to,ɑəə,noun,3
miniatyyri,fi,/ˈminiɑˌtyyri/,yyɑyyy,miniature,ミニチュア,rudimentaire,fr,/ʁydimɑ̃tɛʁ/,yyɑœb,rudimentary,初歩的,to,yyɑ,adjective,4
miniatura,es,/minjatuɾa/,ymɶuɶ,miniature,ミニチュア,intélijén,id,/intelidʒen/,ymøybøm,intelligence,知能,to,ym,noun,4
ミニチュア,ja,/minitɕɯa/,yybuɶ,Miniature,ミニチュア,niinikori,fi,/ˈniiniˌkori/,yyyoy,Niinikkori,niinikkori,to,yy,noun,4
analysoida,fi,/ˈɑnɑlyˌsoidɑ/,ɑɑyoyɑ,analyze,分析します,parametrierte,de,/pɑɾɑmɛtˈɾiːɾtə/,ɑɑœbyə,parameterized,パラメーター化,to,ɑɑ,verb,5
analyser,fr,/analize/,ɶɶyø,analyze,分析します,差三错四,zh-cn,/ʈʂʰa˥˥ san˥˥ tsʰuɔ˥˩ sɯ˥˩/,ɶɶmbbuɔu,Three mistakes,3つの間違い,to,ɶɶ,verb,4
analysieren,de,/ˈʔanʔɑlyˈziːɾen/,ɶmɑyyøm,analyze,分析します,antaŭvespero,eo,/antauvespero/,ɶmɶuøbøo,eve,イブ,to,ɶm,verb,5
ダンプトラック,ja,/daɴpɯtoɾakːɯ/,ɶmuoɶbu,Dump truck,ダンプトラック,antarmolekul,id,/antarmoləkul/,ɶmɶoəub,intermolecules,分子間,to,ɶm,noun,5
kippiauto,fi,/ˈkippiˌɑuto/,ybyɑuo,dumper,ダンパー,pilgrimado,eo,/pilgrimado/,ybbyɶo,pilgrimage,巡礼,to,yb,noun,4
esturgeon,fr,/ɛstyʁʒɔ̃/,œbybɔ,sturgeon,チョウザン,đẹp như tiên,vi,/dɛp˨ˀ˩ʔ ɲɯ˧˥ tiəŋ˧˥/,œbbuyəm,beautiful as fairy,妖精のように美しい,to,œb,noun,3
esturión,es,/estuˈɾjon/,øbuom,sturgeon,チョウザン,ielcovan,ro,/jelkovan/,øboɶm,Ielcovan,ielcovan,to,øb,noun,3
penalty,en,/ˈpɛnəɫti/,œəy,penalty,ペナルティ,爷们儿,zh-cn,/jɛ˧˥ mən˧ aɻ˧/,œəmɶ,man,男,to,œə,noun,3
tergigit,id,/tərgigit/,əyyb,bitten,噛まれた,păinjenat,ro,/pəinʒenat/,əymøɶb,Păinjenat,パインジェナット,to,əy,verb,3
失業,ja,/ɕitsɯgjoɯ/,ybubou,unemployment,失業,substantivions,fr,/sypstɑ̃tivjɔ̃/,ybbɑybɔ,substantiations,実体,to,yb,noun,4
samningur,is,/samniŋkʏr/,ɶmymʏ,agreement,合意,lampiono,eo,/lampiono/,ɶmyoo,lamp,ランプ,to,ɶmy,noun,3
kontrakto,eo,/kontrakto/,ombɶbo,contract,契約する,home-trainer,fr,/ʼomtʁɛnœʁ/,ombœœb,home-trainer,ホームトレーナー,to,omb,noun,3
عقد,ar,/ʕaqada/,ɶɶɶ,a necklace,ネックレス,rataði,is,/raːtaðɪ/,ɶɶʏ,rate,レート,to,ɶɶ,noun,3
contracta,ro,/kontrakta/,ombɶbɶ,contract,契約する,Lohndiktat,de,/ˈlondɪktɑt/,omʏbɑb,Wage dictation,賃金辞書,to,om,noun,3
fáanlegt,is,/fauːanlɛxt/,ɶuɶmœbb,available,利用可能,abouchée,fr,/abuʃe/,ɶuø,outstanding,並外れた,to,ɶu,adjective,3
asequible,es,/asekiβle/,ɶøybø,affordable,手頃な価格,揚げ玉,ja,/agedama/,ɶøɶɶ,Fried ball,揚げ玉,to,ɶø,adjective,4
obtainable,en,/əbˈteɪnəbəɫ/,əbøʏəə,obtainable,入手可能,hărțuială,ro,/hərtsujalə/,əbuɶə,harassment,嫌がらせ,to,əb,adjective,4
muñeca,es,/muɲeka/,uøɶ,wrist,手首,murbéi,id,/murbei/,uøy,Murbéi,ムルベイ,to,uø,noun,3
手首,ja,/tekɯbi/,øuy,wrist,手首,repudios,es,/repuðjos/,øubob,repudiation,否認,to,øu,noun,3
juomalasi,fi,/ˈjuomɑˌlɑsi/,uoɑɑy,drinking glass,コップ,Ludoviko,eo,/ludoviko/,uoyo,Luis,ルイス,to,uo,noun,4
segelas,id,/səgəlas/,əəɶb,glass,ガラス,知识界,zh-cn,/ʈʂɚ˥˥ ʂɚ˧ tɕjɛ˥˩/,əəbbœ,Intellectual,知的,to,əə,noun,3
بهلوان,ar,/bahlaʊaːn/,ɶɶʊɶm,tumbler,タンブラー,bahasan,id,/bahasan/,ɶɶɶm,discussion,討論,to,ɶɶ,noun,3
emanate,en,/ˈɛməˌneɪt/,œəøʏb,emanate,発せます,wertete,de,/ˈvɛɾtətə/,œəə,evaluated,評価された,to,œə,verb,3
lähteä,fi,/ˈlæhteæ/,æøæ,go,行く,gabay,en,/ˈɡæbeɪ/,æøʏ,gabay,ガベイ,to,æø,verb,3
