word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
matura,eo,/matura/,ɶuɶ,ripe,熟した,しゃぶる,ja,/ɕabɯɾɯ/,ɶuu,suck,しゃぶる,to,ɶu,verb,3
karkea,fi,/ˈkɑrkeɑ/,ɑøɑ,coarse,粗い,argueta,en,/ɑɹˈɡeɪtə/,ɑøʏə,argueta,Argueta,to,ɑø,adjective,3
malglata,eo,/malglata/,ɶbbɶɶ,rough,粗い,المضني,ar,/aːlmudˤniː/,ɶbuby,Strenuous,激しい,to,ɶb,adjective,3
jäätikkö,fi,/ˈjæætikkø/,ææybø,glacier,氷河,alpaca,en,/æɫˈpækə/,ææə,alpaca,アルパカ,to,ææ,adjective,3
laukaista,fi,/ˈlɑukɑistɑ/,ɑuɑybɑ,trigger,引き金,farrugia,en,/fɑˈɹudʒə/,ɑubə,farrugia,ファルージア,to,ɑu,noun,3
引き金,ja,/çikigane/,yyɶø,trigger,引き金,Filiberto,eo,/filiberto/,yyøo,Filiberto,Filiberto,to,yy,noun,4
tejido,es,/texiðo/,øyo,knitting,編み物,röhkinä,fi,/ˈrøhkinæ/,øyæ,grunt,うなり声,to,øy,verb,3
نسج,ar,/nasadʒa/,ɶɶbɶ,weave,織り,仮名本,ja,/kanahoɴ/,ɶɶom,Kana book,仮名本,to,ɶɶ,noun,3
menenun,id,/mənənun/,əəum,weave,織り,jnăpăire,ro,/ʒnəpəire/,əəyø,junction,ジャンクション,to,əə,noun,3
قوس,ar,/qaʊisa/,ɶʊyɶ,Arch,アーチ,ausleihen,de,/ˈaʊsˌlaɪən/,ɶʊbɶʏəm,borrow,借りる,to,ɶʊ,verb,3
اساسي,ar,/ʔasaːsijj/,ɶɶy,Basic,基本,manato,es,/manato/,ɶɶo,Manato,マナト,to,ɶɶ,noun,3
estándar,es,/eˈstandaɾ/,øbɶmɶ,standard,標準,SH,is,/es hauː/,øbɶu,Sh,sh,to,øbɶ,verb,3
Kabinett,de,/kɑˈbɪnkɛt/,ɑʏmœb,cabinet,戸棚,barbiturate,en,/bɑɹˈbɪtʃɝət/,ɑʏbəəb,barbiturate,バルビツール酸,to,ɑʏ,noun,3
cabinet,ro,/kabinet/,ɶyøb,cabinet,戸棚,hæðirnar,is,/haiːðɪtnar/,ɶyʏbɶ,the hills,丘,to,ɶy,noun,3
cabinet,fr,/kabinɛ/,ɶyœ,cabinet,戸棚,كنصال,ar,/kanisˤaːl/,ɶybɶb,As a connection,接続として,to,ɶy,noun,3
戸棚,ja,/todana/,oɶɶ,Cabinet,戸棚,goyangan,id,/gojaŋan/,oɶɶm,wobble,ぐらぐらする,to,oɶɶ,verb,3
手術,ja,/ɕɯdʑɯtsɯ/,ububu,Surgery,手術,부스스,ko,/pusʰɯsʰɯ/,ububu,Booth,ブース,to,ububu,noun,3
opération,fr,/ɔpeʁasjɔ̃/,ɔøɶbɔ,operation,手術,chó chết hết chuyện,vi,/cɔ˩˧ cet˦˥ het˦˥ cwiəŋ˨ˀ˩ʔ/,ɔøbøbyəmb,Dog dead all,犬が死んでいます,to,ɔø,noun,4
adopsi,id,/adopsi/,ɶoby,adoption,可決,lá cờ đầu,vi,/la˩˧ kɤ˦˨ dɤ̆w˦˨/,ɶoo,flag,国旗,to,ɶo,noun,3
adoption,en,/əˈdɑpʃən/,əɑbəm,adoption,可決,嗜好,zh-cn,/ʂɚ˥˩ xɑʊ˥˩/,əɑʊ,hobby,趣味,to,əɑ,noun,3
可決,ja,/kaketsɯ/,ɶøbu,Decision,可決,가게집,ko,/ˈka̠ːɡe̞d͡ʑip̚/,ɶøbyb,Store house,店の家,to,ɶøb,noun,3
adopción,es,/aðoˈpθjon/,ɶobbom,adoption,可決,ausrücktest,de,/ˈʔaosˌɾʏktɛst/,ɶobʏbœbb,go out,外出,to,ɶob,noun,3
تبني,ar,/tabanniː/,ɶɶmy,adoption,可決,rataði,is,/raːtaðɪ/,ɶɶʏ,rate,レート,to,ɶɶ,noun,3
memotong,id,/məmotoŋ/,əoom,cut,切る,是否,zh-cn,/ʂɚ˥˩ foʊ˧˥/,əoʊ,whether,どうにか,to,əo,verb,3
مسجل,ar,/musadʒʒil/,uɶbyb,registered,登録済み,purgara,es,/puɾɣaɾa/,uɶɶ,Purgara,プルガラ,to,uɶ,verb,3
recorder,ro,/rekorder/,øoø,recorder,レコーダー,에고이즘,ko,/e̞ɡo̞id͡ʑɯm/,øoybum,Egoism,エゴイズム,to,øo,noun,3
perekam,id,/pərəkam/,əəɶm,recorder,レコーダー,dăpăra,ro,/dəpəra/,əəɶ,he gave,彼が与えた,to,əəɶ,verb,3
nauhuri,fi,/ˈnɑuhuri/,ɑuuy,recorder,レコーダー,saureren,de,/zɑuːɐɐ̯ən/,ɑuɐɐəm,whine,泣き声,to,ɑu,verb,3
menyelam,id,/məɲəlam/,əəɶm,dive,飛び込む,herbalife,en,/ˈɝbəˌɫaɪf/,əəɶʏb,herbalife,ハーバライフ,to,əəɶ,noun,3
ダイビング,ja,/daibiɴgɯ/,ɶyymu,diving,ダイビング,Mathiesen,is,/mahtisɛn/,ɶyœm,Mathiesen,Mathiesen,to,ɶy,noun,3
荷物,ja,/nimotsɯ/,yobu,load,荷物,biosida,id,/biosida/,yoyɶ,Bioside,バイオシド,to,yo,noun,3
equipaje,es,/ekipaxe/,øyɶø,Baggage,荷物,eignarhaldi,is,/eiknarhaltɪ/,øybɶɶbʏ,holdings,ホールディングス,to,øy,noun,4
mandato,es,/mandato/,ɶmɶo,mandate,委任,探測,ja,/taɴsokɯ/,ɶmou,Exploration,探測,to,ɶm,noun,3
irradiar,es,/iraðjaɾ/,yɶbɶ,radiate,放射,refinanced,en,/ˈɹiˈfaɪˌnænst/,yɶʏæmbb,refinanced,借り換え,to,yɶ,verb,3
フリント,ja,/ɸɯɾiɴto/,uymo,Flint,フリント,sous-titrée,fr,/sutitʁe/,uybø,subtitles,字幕,to,uy,noun,3
Feuerstein,de,/ˈfɔʏ̯ɐˌʃtaɪ̯n/,ɔʏɐɶʏm,Flint,フリント,orkuverð,is,/ɔr̥kʏvɛrð/,ɔʏœb,energy price,エネルギー価格,to,ɔʏ,noun,3
鳥かご,ja,/toɾikago/,oyɶo,Birdcage,鳥かご,Polynesiern,de,/ˈpoːlyneziːɾn/,oyøym,Polynese,ポリネス,to,oy,noun,4
الحكم,ar,/ʔalaħħakum/,ɶɶbɶum,Ruling,裁定,片思い,ja,/kataomoi/,ɶɶooy,Unrequited love,片思い,to,ɶɶ,noun,4
tuomio,fi,/ˈtuomio/,uoyo,judgment,判定,culotes,es,/kulotes/,uoøb,Culotes,キュロット,to,uo,noun,3
dakwaan,id,/daʔwaʔan/,ɶbɶɶm,indictment,起訴,학예회,ko,/ha̠ɡje̞ɦø̞/,ɶbøø,school play,学校劇,to,ɶb,noun,3
fermita,eo,/fermita/,øyɶ,closed,閉まっている,베기우다,ko,/pe̞ɡiuda̠/,øyuɶ,Cut,切る,to,øy,verb,3
스모그,ko,/sʰɯmo̞ɡɯ/,buou,smog,スモッグ,ljúfmennsku,is,/ljuvmɛnskʏ/,bubœmbʏ,kindness,親切,to,bu,noun,3
savusumu,fi,/ˈsɑvuˌsumu/,ɑuuu,smog,スモッグ,Amuletten,de,/ʔɑmuˈlkɛtən/,ɑubœəm,Amulet,お守り,to,ɑu,noun,4
سينما,ar,/siːnamaː/,yɶɶ,Cinema,シネマ,甍,ja,/iɾaka/,yɶɶ,Lingering,甍,to,yɶɶ,noun,3
elokuva,fi,/ˈeloˌkuvɑ/,øouɑ,movie,映画,Velofahrer,de,/ˈveːlofɑɾɐ̯/,øoɑɐ,Cyclist,サイクリスト,to,øo,noun,4
cinema,en,/ˈsɪnəmə/,ʏəə,cinema,シネマ,schichteten,de,/ˈʃɪçtətən/,ʏəəm,layer,層,to,ʏəə,noun,3
رجس,ar,/radʒisa/,ɶbyɶ,Abomination,憎むべき,maltraitance,fr,/maltʁɛtɑ̃s/,ɶbbœɑb,abuse,乱用,to,ɶb,noun,3
inmundicia,es,/immundiθja/,ymumybɶ,filth,汚物,민간항공,ko,/minɡa̠nɦa̠ŋɡo̞ŋ/,ymɶmɶmom,Private airline,民間航空会社,to,ym,noun,4
murdărie,ro,/murdərije/,uəyø,dirt,泥,魂牵梦萦,zh-cn,/xuən˧˥ tɕʰjɛn˥˥ mɤŋ˥˩ ɪŋ˧˥/,uəmbbœmomʏm,Dream,,to,uə,noun,4
