word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
perspectives,fr,/pɛʁspɛktiv/,œbbœbyb,prospect,見込み,Textänderung,de,/ˈtɛkstɛndɐ̯ʊŋ/,œbbœmɐʊm,Text change,テキストの変更,to,bbœ,noun,3
外表,zh-cn,/uaɪ˥˩ pjɑʊ˨˩˦/,uɶʏbɑʊ,Exterior,外観,Gutartigkeit,de,/gutaɾtɪkˈkəiːt/,uɶʏbəyb,Benevolence,慈悲,to,ɶʏb,noun,4
pandangan,id,/pandaŋan/,ɶmɶɶm,view,見る,chamoisassent,fr,/ʃamwazas/,ɶmɶɶb,chamois,シャモア,to,mɶɶ,noun,3
actual,ro,/aktuwal/,ɶbuɶb,current,現在,haldudas,es,/alduðas/,ɶbuɶb,haldudas,Haldudas,to,buɶb,adjective,3
aktuala,eo,/aktuala/,ɶbuɶɶ,current,現在,暑さ,ja,/atsɯsa/,ɶbuɶ,Heat,暑さ,to,buɶ,adjective,3
quinoa,en,/ˌkiˈnoʊə/,yoʊə,quinoa,キノア,jumelâmes,fr,/ʒymɛlɑm/,yœɑm,twin,ツイン,,,noun,3
odihnă,ro,/odihnə/,oyə,rest,休み,폐강하다,ko,/pʰje̞ɡa̠ŋɦa̠da̠/,bɶɔum,Closed,閉まっている,,,noun,3
descansar,es,/deskansaɾ/,øbɶmɶ,rest,休み,ekkanti,eo,/ekkanti/,øbɶmy,to sing,歌うために,to,bɶm,verb,3
abuelo,es,/aβwelo/,ɶbøo,grandfather,おじいさん,Algéco,fr,/alʒeko/,ɶbøo,Alco,アルコ,to,bøo,noun,3
할아버지,ko,/ha̠ɾa̠bʌ̹d͡ʑi/,ɶɶɔby,grandfather,おじいさん,vagabondiez,fr,/vagabɔ̃dje/,ɶɶɔbø,wander,さまよう,to,ɶɔb,verb,4
media,fi,/ˈmediɑ/,øyɑ,media,メディア,ولبتر,ar,/walibatr/,ɶyɶb,Lust,欲望,,,noun,3
media,en,/ˈmidiə/,yyə,media,メディア,demarkaatiolinja,fi,/ˈdemɑrˌkɑɑtioˌlinjɑ/,yybøøbæ,demarcation,境界,,,noun,3
media,id,/mədia/,əyɶ,media,メディア,gefühlsduseliger,de,/gəˈfylsduzelɪgɐ̯/,ʊmɶøbbəb,emotional,感情の,,,noun,3
미디어,ko,/midiʌ̹/,yyɔ,media,メディア,dầu thô,vi,/jɤ̆w˦˨ tʰo˧˥/,ommommbym,crude oil,原油,,,noun,3
kultakala,fi,/ˈkultɑˌkɑlɑ/,ubɑɑɑ,goldfish,金魚,préconisèrent,fr,/pʁekɔnizɛʁ/,bøɔyœb,recommended,おすすめされた,,,noun,4
aprendió,es,/apɾenˈdjo/,ɶbømbo,He learned,彼が学びました,ablehnte,de,/ˈʔapˌlentə/,ɶbømə,rejected,拒否,to,bøm,verb,3
oppinut,fi,/ˈoppinut/,obyub,learned,学んだ,optimum,ro,/optimum/,obyum,optimum,最適,to,byu,verb,3
pikkutarkka,fi,/ˈpikkuˌtɑrkkɑ/,ybuɑbɑ,subtle,微妙,稚貝,ja,/tɕigai/,uuuɶ,Frank shellfish,稚貝,,,noun,4
尖叫,zh-cn,/tɕjɛn˥˥ tɕjɑʊ˥˩/,bbœmbbɑʊ,Scream,悲鳴,챙기다,ko,/t͡ɕʰɛ̝ŋɡida̠/,bbœmyɶ,take,取った,to,bœm,verb,3
utilitaire,fr,/ytilitɛʁ/,yyyœb,utility,効用,imitiertest,de,/ˈʔiːmitiːɾtɛst/,yyyœbb,imitated,模倣,to,yyœb,noun,4
gagnsemi,is,/kaksɛmɪ/,ɶbœʏ,witchcraft,魔術,Starttermin,de,/ˈʃtaɾttɛɾmɪn/,ɶbœʏm,Start date,開始日,to,bœʏ,noun,3
kegunaan,id,/kəgunaʔan/,əuɶɶm,utility,効用,energiantarve,fi,/ˈenergiˌɑntɑrve/,ɑɑmɑɑub,energy requirement,エネルギー要件,,,noun,4
効用,ja,/koɯjoɯ/,ouou,utility,効用,Bóbó,is,/pouːpou/,ouou,Bobo,ボボ,to,uou,noun,3
enthusiasm,en,/ɪnˈθuziˌæzəm/,ʏmuyæəm,enthusiasm,熱意,Immunität,de,/ʔɪmmuniˈtɛːt/,ʏmuyœb,immunity,免疫,to,muy,noun,4
entusiasmo,es,/entusjazmo/,ømubɶbo,enthusiasm,熱意,ennustaja,fi,/ˈennusˌtɑjɑ/,ømubɑɑ,fortune teller,占い師,to,mub,noun,4
innostus,fi,/ˈinnostus/,ymobub,enthusiasm for,熱意,simpodiu,ro,/simpodju/,ymobu,Sympodium,シンポディウム,to,mobu,noun,3
gambling,en,/ˈɡæmbəɫɪŋ/,æməʏm,gambling,ギャンブル,geraffter,de,/gəˈɾafftɐ̯/,əɶbbɐ,rumored,噂,,,noun,3
hazardludo,eo,/hazardludo/,ɶɶbuo,gambling,ギャンブル,vasaklútnum,is,/vaːsakʰluhtnʏm/,ɶɶbubʏm,handkerchief,ハンカチ,to,ɶbu,noun,4
sponsori,fi,/ˈsponsori/,bomoy,sponsor,,tromboză,ro,/trombozə/,bomoə,thrombosis,血栓症,to,omo,verb,3
delegar,es,/deleɣaɾ/,øøɶ,delegate,委任,pérmanén,id,/permanen/,øɶøm,permanent,永続,,,verb,3
delegate,en,/ˈdɛɫəˌɡeɪt/,œəøʏb,delegate,委任,선발대,ko,/sʰʌ̹nba̠ɭdɛ̝/,bɔmɶœ,Starter,スターター,,,verb,3
melimpahkan,id,/məlimpahkan/,əymɶɶm,delegate,委任,bedienbaren,de,/bədiːnˈbaɽən/,əymɶəm,operable,操作可能,to,ymɶ,verb,4
대리자,ko,/tɛ̝ɾid͡ʑa̠/,œybɶ,delegate,委任,insistassent,fr,/ɛ̃sistas/,œybɶb,insisted,主張した,to,ybɶ,verb,3
발자국,ko,/pa̠ɭd͡ʑa̠ɡuk̚/,ɶbɶub,footprint,フットプリント,daldaru,id,/daldaru/,ɶbɶu,Daldaru,ダルダル,to,bɶu,verb,3
remorcare,ro,/remorkare/,øoɶø,tow,牽引,rebosaseis,es,/reβosaseis/,øoɶøyb,overfosaseis,オーバーフォサゼ,to,oɶø,adjective,4
出口,ja,/degɯtɕi/,øuby,Exit,出口,베드신,ko,/pe̞dɯɕʰin/,øubym,Bedsin,ベッドシン,to,uby,noun,3
kostnaður,is,/kʰɔstnaðʏr/,bɔbbɶʏ,cost,料金,thóc  lúa,vi,/tʰɔk͡p˦˥ luə˩˧/,bɔbbuə,grain,粒,to,ɔbb,noun,3
derribar,es,/deriβaɾ/,øyɶ,shoot down,撃ち落とします,máy dệt,vi,/măj˩˧ jet˨ˀ˩ʔ/,ɶubø,looms,織機,,,verb,3
運動,ja,/ɯɴdoɯ/,umou,motion,運動,금도금,ko,/kɯmdo̞ɡɯm/,umoum,gold plating,ゴールドメッキ,to,mou,noun,3
campanie,ro,/kampanije/,ɶmɶyø,campaign,運動,randalierten,de,/ɾanˈdaliːɾtən/,ɶmɶyəm,riot,暴動,to,mɶy,noun,4
kampanja,fi,/ˈkɑmpɑnjɑ/,ɑmɑmɑ,campaign,運動,长方形,zh-cn,/ʈʂʰɑŋ˧˥ fɑŋ˥˥ ɕɪŋ˧˥/,ɑmɑmʏm,rectangle,矩形,to,mɑm,noun,3
マンダリン,ja,/maɴdaɾiɴ/,ɶmɶym,Mandarin,マンダリン,ينهلل,ar,/janhalil/,ɶmɶyb,Talle,タール,to,mɶy,noun,3
