word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
furioza,eo,/furioza/,uyoɶ,furious,激怒,nhu yếu phẩm,vi,/ɲu˧˥ iəw˩˧ fɤ̆m˧˩˨/,uyəom,Neccessary,ネッカリー,to,uy,adjective,3
激しい,ja,/hageɕii/,ɶøyy,intense,激しい,sameiginleg,is,/saːmeijɪnlɛɣ/,ɶøyʏmœ,common,一般,to,ɶøy,adjective,4
سهم,ar,/sahama/,ɶɶɶ,Arrow,矢印,Waschweibes,de,/ˈvaʃvaebəs/,ɶɶøəb,Washing,洗浄,to,ɶɶ,noun,3
矢印,ja,/jadʑiɾɯɕi/,ɶbyuy,Arrow,矢印,afleiðinga,is,/avleiðiŋka/,ɶbøyymɶ,expense,費用,to,ɶb,noun,4
athlétisme,fr,/atletism/,ɶbøybm,Athletics,陸上競技,Fachgruppen,de,/ˈfaxgɾʊppən/,ɶbbʊbəm,Specialist groups,スペシャリストグループ,to,ɶb,noun,3
athletics,en,/æθˈɫɛtɪks/,æbœʏbb,athletics,陸上競技,näppylä,fi,/ˈnæppylæ/,æbyæ,pimple,にきび,to,æb,noun,3
atletism,ro,/atletism/,ɶbøybm,athletics,陸上競技,المآزر,ar,/aːlmaaːzir/,ɶbɶɶy,Buttons,ボタン,to,ɶb,noun,3
atletismo,es,/atletizmo/,ɶbøybo,athletics,陸上競技,炸烹大虾,zh-cn,/ʈʂa˧˥ pʰɤŋ˥˥ ta˥˩ ɕja˥˥/,ɶbomɶbɶ,Fried prawns,揚げエビ,to,ɶb,noun,4
kävely,fi,/ˈkævely/,æøy,walking,歩く,lashway,en,/ˈɫæʃˌweɪ/,æøʏ,lashway,ラッシュウェイ,to,æø,noun,3
paseo,es,/paseo/,ɶøo,walk,歩く,kaverno,eo,/kaverno/,ɶøo,cave,洞窟,to,ɶøo,verb,3
neilikka,fi,/ˈneilikkɑ/,øyybɑ,carnation,カーネーション,semitort,ro,/semitort/,øyob,rovings,rovings,to,øy,noun,3
carnation,en,/kɑɹˈneɪʃən/,ɑøʏəm,carnation,カーネーション,Wagemuts,de,/ˈvɑːgemʊts/,ɑøʊbb,Daring,大胆,to,ɑø,noun,3
カーネーション,ja,/kaːneːɕoɴ/,ɶøom,Carnation,カーネーション,haveză,ro,/havezə/,ɶøə,coal-cutting machine,石炭カットマシン,to,ɶø,noun,3
friptură,ro,/fripturə/,bybuə,steak,ステーキ,陣取り,ja,/dʑiɴtoɾi/,bymoy,Team,陣取り,to,by,verb,3
ジャケット,ja,/dʑaketːo/,bɶøbo,Jacket,ジャケット,fjarlægðir,is,/fjarlaiɣðɪr/,bɶɶyʏ,distance,距離,to,bɶ,noun,3
almohadilla,es,/almoaðiʎa/,ɶboɶyɶ,pad,パッド,malvarmumo,eo,/malvarmumo/,ɶbɶuo,cold,寒い,to,ɶb,adjective,4
arenque,es,/aɾeŋke/,ɶømø,herring,ニシン,affaiblîtes,fr,/afeblit/,ɶøbyb,weakened,弱体化,to,ɶø,verb,3
memanjakan,id,/məmandʒakan/,əɶmbɶɶm,Pamper,甘やかす,calliope,en,/kəˈɫaɪəˌpi/,əɶʏəy,calliope,カリオペ,to,əɶ,verb,4
raciones,es,/raθjones/,ɶboøb,rations,配給,大小姐,zh-cn,/ta˥˩ ɕjɑʊ˨˩˦ tɕjɛ˨˩˦/,ɶbɑʊbbœ,Lady,レディ,to,ɶb,noun,3
配給,ja,/haikjɯɯ/,ɶybuu,distribution,配給,tarierten,de,/ˈtaɽiːɾtən/,ɶyəm,camouflaged,カモフラージュ,to,ɶy,noun,3
dominasi,id,/dominasi/,oyɶy,domination,支配,augurassiez,fr,/ogyʁasje/,oyɶbø,Agurassiez,Agurassiez,to,oyɶ,noun,4
domination,en,/ˌdɑməˈneɪʃən/,ɑəøʏəm,domination,支配,wahrscheinlicheres,de,/ˈvɑɾʃəɪnlɪçɐ̯əs/,ɑəʏmʏɐəb,more likely,より可能性が高い,to,ɑə,noun,4
explotar,es,/eksplotaɾ/,øbbboɶ,blow,吹く,SH,is,/es hauː/,øbɶu,Sh,sh,to,øb,verb,3
blovado,eo,/blovado/,boɶo,blowing,吹く,조감도,ko,/t͡ɕo̞ɡa̠mdo̞/,boɶmo,view map,地図を見ます,to,boɶ,verb,3
日没,ja,/nitɕibotsɯ/,ybyobu,sunset,日没,이죽야죽,ko,/id͡ʑuɡja̠d͡ʑuk̚/,ybubɶbub,Leejukjuk,Leejukjuk,to,yb,noun,4
日落,zh-cn,/ʐɚ˥˩ luɔ˥˩/,əuɔ,Sunset,日没,pekulun,id,/pəkulun/,əuum,Pekulun,ペクルン,to,əu,noun,3
auringonlasku,fi,/ˈɑurinˌgonlɑsku/,ɑuymomɑbu,sunset,日没,Naturalwirtschaft,de,/ˈnɑːtuɾalvɪɾtstshaft/,ɑuɶbʏbbbbɶbb,Natural economy,自然経済,to,ɑu,noun,5
抑うつ,ja,/jokɯɯtsɯ/,ouubu,Depression,抑うつ,Monuments,de,/ˈmoːnumɛnts/,ouœmbb,Monument,記念碑,to,ou,noun,3
întuneric,ro,/ɨntunerik/,ʉmuøyb,darkness,暗闇,ブロック検査,ja,/bɯɾokːɯkeɴsa/,uøyɶmy,Block inspection,ブロック検査,,,noun,4
針鰻,ja,/haɾiɯnagi/,ɶyuɶy,elver,針鰻,acíclicos,es,/aˈθiklikos/,ɶybyob,acyclic,非環式,to,ɶy,noun,4
desfile,es,/desfile/,øbyø,parade,パレード,Fehlmengen,de,/ˈfelmɛŋən/,øbœəm,Fail,失敗,to,øb,noun,3
パレード,ja,/paɾeːdo/,ɶøo,parade,パレード,Madeira,is,/mateiːra/,ɶøyɶ,Madeira,マデイラ,to,ɶø,noun,3
paraati,fi,/ˈpɑrɑɑti/,ɑɑɑy,parade,パレード,takaki,en,/tɑˈkɑki/,ɑɑy,takaki,タカキ,to,ɑɑ,noun,3
auktoriteetti,fi,/ˈɑukˌtoriˌteetti/,ɑuboyøøby,authority,権限,encourageassions,fr,/ɑ̃kuʁaʒasjɔ̃/,ɑuɶɶbɔ,encouragementations,励まし,to,ɑu,noun,5
Behörde,de,/bəˈhøːɐ̯də/,əøɐə,authority,権限,setélan,id,/sətelan/,əøɶm,Setélan,セテラン,to,əø,noun,3
autoridad,es,/autoɾiðað/,ɶuoyɶb,authority,権限,略体,ja,/ɾjakɯtai/,ɶuɶy,Abbreviation,略体,to,ɶu,noun,4
权威,zh-cn,/tɕʰɥœn˧˥ weɪ˥˥/,bbœmøʏ,authority,権限,دجوركايف,ar,/ddʒuːrkaːjif/,bbuɶyb,Dagorkayev,ダゴルカエフ,to,bb,noun,3
valkosipuli,fi,/ˈvɑlkoˌsipuli/,ɑboyuy,garlic,ニンニク,marcelino,en,/mɑɹtʃɛˈɫinoʊ/,ɑbœyoʊ,marcelino,マルセリーノ,to,ɑb,noun,5
ニンニク,ja,/niɴnikɯ/,ymyu,garlic,ニンニク,إنبساط,ar,/inbisaːtˤ/,ymyɶb,Extension,拡大,to,ymy,noun,3
parrilla,es,/pariʎa/,ɶyɶ,grill,グリル,sanigi,eo,/sanigi/,ɶyy,to heal,癒すために,to,ɶy,verb,3
アドボカシー,ja,/adobokaɕiː/,ɶooɶy,Advocacy,アドボカシー,아롱거리다,ko,/a̠ɾo̞ŋɡʌ̹ɾida̠/,ɶomɔyɶ,Arry,アリー,to,ɶo,noun,5
忙しい,ja,/isogaɕii/,yoɶyy,busy,忙しい,viermonatigem,de,/ˈviːɾmonɑtɪgəm/,yoɑʏəm,four -month,4ヶ月,to,yo,adjective,5
عجل,ar,/ʕadʒila/,ɶbyɶ,hurry,忙しい,magnaðist,is,/maknaðɪst/,ɶbɶʏbb,intensified,強化,to,ɶb,verb,3
lumipuku,fi,/ˈlumiˌpuku/,uyuu,snow suit,スノースーツ,utilitas,id,/utilitas/,uyyɶb,utility,効用,to,uy,noun,4
häipyä,fi,/ˈhæipyæ/,æyyæ,scat,スキャット,ranieri,en,/ˌɹæniˈɛɹi/,æyœy,ranieri,ラニエーリ,to,æy,verb,3
忍び寄る,ja,/ɕinobijoɾɯ/,yoyou,Creeping up,忍び寄る,与生俱来,zh-cn,/y˨˩˦ ʂɤŋ˥˥ tɕy˥˩ laɪ˧˥/,yombyɶʏ,Be inherently,本質的に,to,yo,verb,5
hiipiä,fi,/ˈhiipiæ/,yyyæ,sneak,こっそり,岸辺,ja,/kiɕibe/,yyø,Shore,岸辺,to,yy,adjective,3
arrastrarse,es,/arastɾaɾse/,ɶɶbbɶø,creep,忍び寄る,فسنرف,ar,/fasanariff/,ɶɶɶybb,We will lift,持ち上げます,to,ɶɶ,verb,4
penemu,id,/pənəmu/,əəu,inventor,発明者,paradowski,en,/pɝəˈdɔfski/,əəɔbby,paradowski,パラドフスキー,to,əə,noun,3
発明者,ja,/hatsɯmeiɕa/,ɶbuøyɶ,Inventor,発明者,albiniță,ro,/albinitsə/,ɶbyybə,Albinita,アルビニタ,to,ɶb,noun,4
keksijä,fi,/ˈkeksijæ/,øbyæ,inventor,発明者,rețetă,ro,/retsetə/,øbøə,recipe,レシピ,to,øb,noun,3
inventor,en,/ˌɪnˈvɛntɝ/,ʏmœmə,inventor,発明者,umdeildar,is,/ʏmteiltar/,ʏmøybɶ,controversy,論争,to,ʏm,noun,3
höfðingi,is,/hœvðiɲcɪ/,œbymʏ,chief,チーフ,夜宵儿,zh-cn,/jɛ˥˩ ɕjɑʊ˥˥ aɻ˧/,œbɑʊɶ,Supper,夕食,to,œb,noun,3
ketua,id,/kətua/,əuɶ,chairman,会長,mulrooney,en,/ˈməɫɹuni/,əuy,mulrooney,マルロニー,to,əu,noun,3
