word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
important,ro,important,重要,/important/,ymoɶmb,mb
pergament,ro,parchment,羊皮紙,/perɡament/,øɶømb,mb
hesitant,en,hesitant,ためらう,/ˈhɛzɪtənt/,œʏəmb,mb
abundant,en,abundant,豊富です,/əˈbəndənt/,əəməmb,mb
ofertant,ro,BIDDER,入札者,/ofertant/,oøɶmb,mb
excellent,en,excellent,優れた,/ˈɛksəɫənt/,œbəəmb,mb
attendant,en,attendant,アテンダント,/əˈtɛndənt/,əœməmb,mb
obedient,en,obedient,従順,/oʊˈbidiənt/,oʊyyəmb,mb
reclamant,ro,complainant,申立人,/reklamant/,øbɶɶmb,mb
cây thuốc phiện,vi,poppy,ポピー,/kɤ̆j˧˥ tʰuək˦˥ fiəŋ˨ˀ˩ʔ/,obuəbyəmb,mb
insolvent,en,insolvent,支払不能,/ˌɪnˈsɑɫvənt/,ʏmɑəmb,mb
وبالبنج,/wabiaːlbandʒ/,And anesthetic,と麻酔,ɶyɶbɶmb,ar,mb
fox-hound,fr,fox-hound,フォックスハウンド,/fɔksaund/,ɔbɶumb,mb
Salzfässchens,de,Salt barrels,塩樽,/ˈzaltsfɛsʃɛns/,ɶbbbœbœmb,mb
propulsant,ro,propulsion,推進,/propulsant/,boubɶmb,mb
majorant,ro,major,選考科目,/maʒorant/,ɶoɶmb,mb
phản tác dụng,vi,counterproductive,逆効果,/faŋ˧˩˨ tak˦˥ juŋ͡m˨ˀ˩ʔ/,ɶmɶbummb,mb
supplicant,en,supplicant,サプリカント,/ˈsəpɫəkənt/,əbəəmb,mb
kvendýrsins,is,the female,女性,/kʰvɛntir̥sɪns/,bœmyʏmb,mb
