word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
utilizare,ro,/utilizare/,uyyɶø,use,使用する,musiikkikauppa,fi,/ˈmusiikˌkikɑˌuppɑ/,uyybyɑubɑ,music store,ミュージックストア,to,yy,noun,5
utilisation,fr,/ytilizasjɔ̃/,yyyɶbɔ,use,使用する,dirigierende,de,/ˈdiːɾigiːɾɛndə/,yyyœmə,conductor,導体,to,yy,verb,5
echidna,en,/ɪˈkɪdnə/,ʏʏbə,echidna,エキドナ,durnoisme,id,/durnoismə/,uoybə,Durnoism,ダーヌイズム,kyaku,bə,noun,3
haistella,fi,/ˈhɑistellɑ/,ɑybøbɑ,sniff,スニッフ,arasements,fr,/aʁazmɑ̃/,ɶɶbɑ,Arasements,アラセンション,kyaku,bɑ,noun,3
kunniallinen,fi,/ˈkunniˌɑllinen/,umyɑbyøm,respectable,立派,firmeneigen,de,/ˈfɪɾmənˌaeˌgeːn/,ʏəmɶøøm,company,会社,kyaku,øm,adjective,4
virðuleg,is,/vɪrðʏlɛɣ/,ʏʏœ,respectable,立派,ravenell,en,/ˈɹævɪnɛɫ/,æʏœ,ravenell,レイヴェネル,kyaku,ʏœ,adjective,3
honorable,en,/ˈɑnɝəbəɫ/,ɑəəə,honorable,名誉,keseser,id,/kəsəsər/,əəə,kesser,ケサー,kyaku,əə,adjective,3
honorable,fr,/ɔnɔʁabl/,ɔɔɶbb,honorable,名誉,لادف,ar,/liʔadiff/,yɶybb,Dramatic,劇的,kyaku,bb,adjective,3
dónalegur,is,/touːnalɛɣʏr/,ouɶœʏ,rude,失礼,modularen,de,/moduˈlaɽən/,ouɶəm,modular,基本単位,to,uɶ,verb,4
vulgara,eo,/vulgara/,ubɶɶ,vulgar,下品,ヒガラ,ja,/çigaɾa/,yɶɶ,Higara,ヒガラ,kyaku,ɶɶ,verb,3
subsistance,fr,/sybzistɑ̃s/,ybybɑb,subsistence,自給自足,hispiré,es,/ispiˈɾe/,ybyø,I Hispiré,私はヒスピレです,to,by,verb,3
