word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
kyltymätön,fi,/ˈkyltyˌmætøn/,ybyæøm,insatiable,飽くなき,書き言葉,ja,/kakikotoba/,ɶɶuɶ,written language,書き言葉,,,adjective,4
شره,ar,/ʃariha/,ɶyɶ,gluttonous,大食い,rebautizároslas,es,/reβautiˈθaɾozlas/,uyøb,Reboutizáros,Reboutizáros,,,adjective,3
معايير,ar,/maʕaːjiːr/,ɶɶy,Standards,基準,quinney,en,/ˈkwɪni/,əbəə,quinney,クインニー,,,noun,3
criterios,es,/kɾiteɾjos/,byøob,criteria,基準,血反吐,ja,/tɕihedo/,byøo,Vomiting,血反吐,to,yøo,noun,3
mitologi,id,/mitologi/,yooy,mythology,神話,filozofi,eo,/filozofi/,yooy,philosophy,哲学,to,ooy,noun,4
mythology,en,/məˈθɑɫəˌdʒi/,əɑəby,mythology,神話,relancerions,fr,/ʁəlɑ̃səʁjɔ̃/,əɑəbɔ,Relaunch,リニューアル,to,ɑəb,noun,4
mythologie,fr,/mitɔlɔʒi/,yɔɔy,mythology,神話,cadouri,ro,/kadourʲ/,ɶybəyb,Gifts,ギフト,,,noun,4
mytologia,fi,/ˈmytoˌlogiɑ/,yooyɑ,mythology,神話,iconomie,ro,/ikonomije/,yooyø,economia,エコノミア,to,ooy,noun,5
mitología,es,/mitoloˈxia/,yooyɶ,mythology,神話,hipofonie,ro,/hipofonije/,yooyø,Hypophony,低フォニー,to,ooy,noun,5
mitologie,ro,/mitolodʒije/,yoobyø,mythology,神話,一呼吸,ja,/çitokokjɯɯ/,yoobuu,Breathing,一呼吸,to,oob,noun,5
posedaĵo,eo,/posedaʒo/,oøɶo,property,財産,Modelaune,de,/ˈmoːdelaonə/,oøɶoə,Fashion,ファッション,to,øɶo,noun,4
Eigentum,de,/ˈaɪɡəntuːm/,ɶʏəmum,Property,財産,百分比,zh-cn,/paɪ˨˩˦ fən˥˥ pi˨˩˦/,ɶʏəmy,percentage,パーセンテージ,to,ʏəm,noun,3
omaisuus,fi,/ˈomɑisuus/,oɑyuub,property,財産,Ævars,is,/aiːvar̥s/,ɶubbœɔm,Life,人生,,,noun,3
agricultură,ro,/aɡrikulturə/,ɶbyubuə,agriculture,農業,勝ち進む,ja,/katɕisɯsɯmɯ/,ɶbyuuu,Win,勝ち進む,to,byu,verb,5
agriculture,fr,/agʁikyltyʁ/,ɶbyybyb,agriculture,農業,assimiliert,de,/ʔasziˈmiːliːɾt/,ɶbyyyb,assimilated,同化,to,byy,verb,4
農業,ja,/noɯgjoɯ/,oubou,Agriculture,農業,haut-fourneaux,fr,/ʼofuʁno/,oubo,blast furnace,溶鉱炉,to,ubo,noun,3
búskapur,is,/puːskapʏr/,ubɶʏ,farming,農業,不开心,zh-cn,/pu˥˩ kʰaɪ˥˥ ɕɪn˥˥/,ubɶʏʏm,unhappy,不幸,to,bɶʏ,verb,3
poliisi,fi,/ˈpoliisi/,oyyy,police,警察,飛び入り,ja,/tobiiɾi/,oyyy,Jumping in,飛び入り,to,yyy,noun,3
policía,es,/poliˈθia/,oyyɶ,policeman,警官,mobilitas,id,/mobilitas/,oyyɶb,mobility,可動性,to,yyɶ,noun,4
ブレース,ja,/bɯɾeːsɯ/,uøu,Brace,ブレース,zirpendes,de,/ˈtsɪɾpɛndəs/,bʏœməb,chirping,チャーピング,,,noun,3
abrazadera,es,/aβɾaθaðeɾa/,ɶbɶɶøɶ,clamp,クランプ,varnarmanninum,is,/vartnarmanɪnʏm/,ɶbɶɶʏʏm,defender,ディフェンダー,to,bɶɶ,verb,5
前方,ja,/zeɴpoɯ/,ømou,Forward,前方,senzorul,ro,/senzorul/,ømoub,sensor,センサー,to,mou,noun,3
