word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
fullnægjandi,is,/fʏtl̥naijantɪ/,ʏbbɶyɶmʏ,satisfactory,満足のいく,nichtklassischen,de,/ˈnɪçtklaszɪʃən/,ʏbbɶbʏəm,non -class,非クラス,to,bbɶ,verb,4
satisfying,en,/ˈsætɪsˌfaɪɪŋ/,æʏbɶʏʏm,satisfying,満足,vorkennt,is,/vɔr̥cɛn̥t/,bbɶybœbouʏ,pity,残念,,,verb,4
satisfăcător,ro,/satisfəkətor/,ɶybəəo,satisfactorily,十分に,satisfassions,fr,/satisfəʁasjɔ̃/,ɶybəɶbɔ,satisfactory,満足のいく,to,ybə,adjective,5
急送,ja,/kjɯɯsoɯ/,buuou,Sudden send,急送,prudulo,eo,/prudulo/,buuo,a prudent,賢明,to,uuo,noun,3
보내다,ko,/po̞nɛ̝da̠/,oœɶ,send,送信,capsulifer,ro,/kapsulifer/,oobɶ,capsulifer,カプシュリファー,,,noun,3
menugaskan,id,/mənugaskan/,əuɶbɶm,assign,割当,ressoudassiez,fr,/ʁəsudasje/,əuɶbø,Resourdassiez,Resourdassiez,to,uɶb,noun,4
despacho,es,/despatʃo/,øbɶbo,office,オフィス,refractat,ro,/refraktat/,øbɶbɶb,Refractive,屈折率,to,bɶb,verb,3
lähettää,fi,/ˈlæhettææ/,æøbææ,send,送信,dilato,eo,/dilato/,uyyy,dilate,拡張します,,,noun,4
pelícano,es,/peˈlikano/,øyɶo,pelican,ペリカン,ゼニアオイ,ja,/zeniaoi/,øyɶoy,Zenia Oi,ゼニアオイ,to,yɶo,adjective,4
pelican,en,/ˈpɛɫəkən/,œəəm,pelican,ペリカン,jetteten,de,/ˈjkɛtətən/,œəəm,jetted,噴射,to,əəm,noun,3
pelican,ro,/pelikan/,øyɶm,pelican,ペリカン,清算人,ja,/seisaɴniɴ/,øyɶmym,Liquidator,清算人,to,yɶm,noun,3
고르다,ko,/ko̞ɾɯda̠/,ouɶ,Choose,選ぶ,burinée,fr,/byʁine/,yyø,chisel,ノミ,,,verb,3
valita,fi,/ˈvɑlitɑ/,ɑyɑ,care about,気をつけてください,bộ ngựa,vi,/bo˨ˀ˩ʔ ŋɯə˨ˀ˩ʔ/,ommommy,plankbed,板,,,verb,3
sélectionner,fr,/selɛksjɔne/,øœbbɔø,select,選択する,elektrisiert,de,/ʔelɛktɾiˈziːɾt/,øœbbyyb,electrified,電化,to,œbb,verb,4
alusta,fi,/ˈɑlustɑ/,ɑubɑ,chassis,シャーシ,envoûtement,fr,/ɑ̃vutmɑ̃/,ɑubɑ,bewitchment,魅了されます,to,ubɑ,noun,3
برنامج,ar,/barnaːmadʒ/,ɶɶɶb,a program,プログラム,canafas,ro,/kanafas/,ɶɶɶb,canvas,キャンバス,to,ɶɶb,noun,3
平台,zh-cn,/pʰɪŋ˧˥ tʰaɪ˧˥/,bʏmbɶʏ,platform,プラットホーム,Zinkchlorid,de,/ˈtsɪŋkçloɾit/,bʏmboyb,Zinc chloride,塩化亜鉛,to,ʏmb,noun,3
プラットホーム,ja,/pɯɾatːohoːmɯ/,uɶboou,platform,プラットホーム,rúnaskjóðuna,is,/ruːnascouːðʏna/,uɶbouʏɶ,the Runa Schedule,Runaスケジュール,to,ɶbo,noun,5
platformă,ro,/platformə/,bɶboə,platform,プラットホーム,toát mồ hôi,vi,/twak˦˥ mo˦˨ hoj˧˥/,bɶboo,sweat,汗,to,ɶbo,verb,3
tinderbox,en,/ˈtɪndɝˌbɑks/,ʏməɑbb,tinderbox,Tinderbox,condiției,ro,/konditsijej/,uɶø,cONDITIONS,条件,,,verb,3
傀儡,ja,/kaiɾai/,ɶyɶy,puppet,傀儡,variasi,id,/variasi/,ɶyɶy,variation,変化,to,yɶy,noun,3
تباهى,ar,/tabaːhaː/,ɶɶɶ,show off,見せびらかす,gäststuderande,sv,/²j'ɛsːtstɵdeːrandɛ/,ɔmɶœ,Guest student,ゲスト学生,,,verb,3
ylpeillä,fi,/ˈylpeillæ/,ybøybæ,boast,自慢,tiefgekühlt,de,/ˈtiːfgekylt/,ybøybb,frozen,凍った,to,bøyb,verb,3
