word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
penilai,id,evaluator,評価者,/pənilai/,əyɶy,əy
pernikahan,id,wedding,結婚式,/pərnikahan/,əyɶɶm,əy
pengiriman,id,delivery,配達,/pəŋiriman/,əyyɶm,əy
perilaku,id,behavior,行動,/pərilaku/,əyɶu,əy
pemilihan,id,selection,選択,/pəmilihan/,əyyɶm,əy
penyimpanan,id,storage,保管所,/pəɲimpanan/,əymɶɶm,əy
pertimbangan,id,consideration,考慮,/pərtimbaŋan/,əymɶɶm,əy
multimarket,en,multimarket,マルチマーケット,/ˈməɫtiˈmɑɹkɪt/,əyɑʏb,əy
pătimire,ro,suffering,苦しむ,/pətimire/,əyyø,əy
revigorasse,fr,invigorasse,Invigorasse,/ʁəvigɔʁas/,əyɔɶb,əy
demi-saison,fr,half season,ハーフシーズン,/dəmisɛzɔ̃/,əyœɔ,əy
chemiseriez,fr,shirt,シャツ,/ʃəmizəʁje/,əyəbø,əy
Beliebigkeit,de,Arbitrariness,恣意,/bəliːbɪkˈkəiːt/,əyʏbəyb,əy
reniflements,fr,sniff,スニッフ,/ʁənifləmɑ̃/,əybəɑ,əy
gametophyte,en,gametophyte,配偶体,/ɡəˈmitəˌfaɪt/,əyəɶʏb,əy
begieriger,de,fermented,発酵,/bəˈgiːɐ̯ɪgɐ̯/,əyɐʏɐ,əy
