word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
Benennung,de,/bəˈnɛnnʊŋ/,əœmʊm,designation,指定,ĉizilo,eo,/t͡ʃizilo/,byyo,chisel,ノミ,,,noun,3
denumire,ro,/denumire/,øuyø,name,名前,エクイティー,ja,/ekɯiteiː/,øuyøy,Equity,エクイティー,to,uyø,noun,4
appellation,fr,/apɛlasjɔ̃/,ɶœɶbɔ,name,名前,horses',en,/ˈhɔɹsɪz/,əɶʏəʏbb,horses',馬',to,,verb,4
kohteliaisuus,fi,/ˈkohteliˌɑisuus/,oøyɑyuub,courtesy,礼儀,かちこみ,ja,/katɕikomi/,ɶuɶou,Chicken,かちこみ,,,noun,5
komplimento,eo,/komplimento/,ombyømo,compliment,褒め言葉,constituyes,es,/konstituʝes/,ombyuøb,You constitute,あなたは構成します,to,mby,noun,4
compliment,fr,/kɔ̃plimɑ̃/,ɔbyɑ,compliment,褒め言葉,d'aubuisson,en,/ˈdɔbˌwiˌsɑn/,ɔbyɑm,d'aubuisson,D'Aubuisson,to,byɑ,noun,3
Kompliment,de,/kɔmplimɛnt/,ɔmbyœmb,compliment,褒め言葉,번지수,ko,/pʌ̹nd͡ʑisʰu/,ɔmbybu,Bonus,ボーナス,to,mby,noun,3
movilidad,es,/moβiliðað/,oyyɶb,mobility,可動性,fosilia,eo,/fosilia/,oyyɶ,fossil,化石,to,yyɶ,noun,4
mobility,en,/moʊˈbɪɫəti/,oʊʏəy,mobility,可動性,보석반지,ko,/po̞sʰʌ̹k̚p͈a̠nd͡ʑi/,œbɶmœbɶm,Jewelry ring,ジュエリーリング,,,noun,4
mobilitas,id,/mobilitas/,oyyɶb,mobility,可動性,tonifica,ro,/tonifika/,oyyɶ,invigorate,活気があります,to,yyɶ,noun,4
liikkuvuus,fi,/ˈliikkuvuus/,yybuuub,mobility,可動性,이리듐,ko,/iɾidjum/,yybum,Iridium,イリジウム,to,ybu,noun,3
mobilité,fr,/mɔbilite/,ɔyyø,mobility,可動性,satukan,id,/satukan/,əubyɶm,Unite,団結します,,,noun,4
الكتان,ar,/aːlkattaːn/,ɶbɶbɶm,Linen,リネン,sagnaslóð,is,/saknastlouːð/,ɶbɶbboub,legend,伝説,to,bɶb,verb,3
memajukan,id,/məmadʒukan/,əɶbuɶm,advance,前進,気に触る,ja,/kinisaɰᵝaɾɯ/,ɶyɶɶɶ,Feel like,気に触る,to,,verb,4
promover,es,/pɾomoβeɾ/,booø,promote,促進,折尺,zh-cn,/ʈʂɤ˧˥ ʈʂʰɚ˨˩˦/,ɑmɶʏ,Folding ruler,折りたたみ定規,to,,verb,3
promouvoir,fr,/pʁɔmuvwaʁ/,bɔubɶb,promote,促進,frábæri,is,/frauːpairɪ/,bɶuɶyʏ,kind,親切,to,,verb,3
يرقي,ar,/juraqqiː/,uɶby,Promoted,昇格,duracid,ro,/duratʃid/,uɶbyb,Duracid,デュラシド,to,ɶby,verb,3
홍보하다,ko,/ɸʷo̞ŋbo̞ɦa̠da̠/,omoɶɶ,advertise,宣伝します,konkordato,eo,/konkordato/,omoɶo,Concordate,一致,to,moɶ,verb,4
alerce,es,/aleɾθe/,ɶøø,larch,カラマツ,vorbește,ro,/vorbeʃte/,oøø,speaks,話す,,,verb,3
カラマツ,ja,/kaɾamatsɯ/,ɶɶɶbu,Crisp,カラマツ,giai lão bách niên,vi,/jaj˧˥ law˧˩˨ bak˦˥ niəŋ˧˥/,ɶɶɶbyəm,old age,老齢,to,ɶɶb,noun,4
lehtikuusi,fi,/ˈlehtiˌkuusi/,øyuuy,leaf,葉,reziduu,ro,/reziduu/,øyuu,residue,残基,to,yuu,noun,4
perete,ro,/perete/,øøø,wall,壁,tâm cơ,vi,/tɤ̆m˧˥ kɤ˧˥/,oɶmyəbb,mind,マインド,,,noun,3
mitologi,id,/mitologi/,yooy,mythology,神話,色よい,ja,/iɾojoi/,yooy,Cheerful,色よい,to,ooy,noun,4
الأساطير,ar,/aːlʔasaːtˤiːr/,ɶbɶɶby,Myths,神話,almannafé,is,/almanafjɛː/,ɶbɶɶbœ,money,お金,to,bɶɶb,noun,4
신화학,ko,/ɕʰinβwa̠ɦa̠k̚/,bymbɶɶb,mythology,神話,gingenă,ro,/dʒindʒenə/,bymbøə,gingena,ギンゲナ,to,ymb,noun,3
mytologia,fi,/ˈmytoˌlogiɑ/,yooyɑ,mythology,神話,シーソーポリシー,ja,/ɕiːsoːpoɾiɕiː/,yooyy,Seesaw policy,シーソーポリシー,to,ooy,noun,5
mythologie,fr,/mitɔlɔʒi/,yɔɔy,mythology,神話,radioaktiva,eo,/radioaktiva/,ɶɶɶmbo,radioactive,放射性,,,noun,4
framleiðsla,is,/framleiðstla/,bɶmøybbbɶ,production,製造,transepto,eo,/transepto/,bɶmøbo,cruise,クルーズ,to,ɶmø,noun,3
eligo,eo,/eligo/,øyo,output,出力,listigarð,is,/lɪstɪkarð/,ʏbʏɶb,gossip,ゴシップ,,,noun,3
出力,ja,/ɕɯtsɯɾjokɯ/,ubuou,output,出力,누수공사,ko,/nusʰuɡo̞ŋsʰa̠/,ubuombɶ,Leakage work,漏れ作業,to,buo,noun,4
ieșire,ro,/jeʃire/,øyø,exit,出口,工序,zh-cn,/kʊŋ˥˥ ɕy˥˩/,ɶmuɔɶ,Work,仕事,,,noun,3
نكد,ar,/nakida/,ɶyɶ,moodiness,気分,framleiðanda,is,/framleiðanta/,œyɶɶb,producer,プロデューサー,,,noun,3
烦恼,zh-cn,/fan˧˥ nɑʊ˨˩˦/,ɶmɑʊ,trouble,問題,우무룩이,ko,/umuɾuɡi/,bɶuɶb,Woo Mu -Look,woo mu -look,to,,verb,3
suojakypärä,fi,/ˈsuojɑˌkypæræ/,uoɑyææ,hard hat,ヘルメット,colaborare,es,/kolaβoɾaɾe/,oɶoɶø,I will collaborate,協力します,,,noun,5
tarkkaavainen,fi,/ˈtɑrkkɑɑˌvɑinen/,ɑbɑɑɑyøm,attentive,気配り,jonbenet,en,/ˈdʒɔnbəˈneɪ/,bɔməøʏ,jonbenet,Jonbenet,,,adjective,4
observant,en,/əbˈzɝvənt/,əbəəmb,observant,観察者,mătcălău,ro,/mətkələw/,əbəə,Mătcălău,マッカル,to,bəə,adjective,3
観察者,ja,/kaɴsatsɯɕa/,ɶmɶbuɶ,Observer,観察者,ancastrament,ro,/ankastrament/,ɶmɶbbɶømb,Ancastrament,Ancastrament,to,mɶb,noun,4
publicize,en,/ˈpəbɫɪˌsaɪz/,əbʏɶʏb,publicize,公表します,hvískra,is,/kʰviskra/,bœbuɶb,white,白い,,,verb,3
mengumumkan,id,/məŋumumkan/,əuumɶm,announce,発表,몽그라트리다,ko,/mo̞ŋɡɯɾa̠tʰɯɾida̠/,buybymo,Montgrattrat,モングラトラト,,,verb,4
publicitate,ro,/publitʃitate/,ubybyɶø,advertisement,広告,court-circuiterais,fr,/kuʁsiʁkɥitəʁɛ/,ubybbyəœ,short-circuit,短絡,to,byb,noun,5
auglýsa,is,/œiɣlisa/,œyyɶ,promote,促進,verabreichtem,de,/fɛːɐ̯ˈʔapˌɾaeçtəm/,ɶøbbœməb,administered,管理されています,,,verb,3
julkistaa,fi,/ˈjulkistɑɑ/,ubybɑɑ,publish,公開,cuchichiarían,es,/kutʃitʃjaˈɾian/,ubybɶyɶm,Cuchichiar would,cuchichiarはそうするでしょう,to,byb,verb,4
lingkungan,id,/liŋkuŋan/,ymuɶm,environment,環境,singular,ro,/sinɡular/,ymuɶ,singular,特異な,to,muɶ,noun,3
biosferă,ro,/biosferə/,yobøə,biosphere,生物圏,divorcie,es,/diβoɾθje/,yobø,Divorcie,離婚,to,obø,verb,3
biosphere,en,/ˈbaɪoʊsˌfɪɹ/,ɶʏoʊbʏ,biosphere,生物圏,白昼,zh-cn,/paɪ˧˥ ʈʂoʊ˥˩/,ɶʏoʊ,Day,日,to,ʏoʊ,noun,3
生物圏,ja,/seibɯtsɯkeɴ/,øyubuøm,Biological zone,生物圏,veriguță,ro,/veriɡutsə/,øyubə,link,リンク,to,yub,noun,4
contention,en,/kənˈtɛnʃən/,əmœməm,contention,競合,人缘儿,zh-cn,/ʐən˧˥ ɥœn˧˥ aɻ˧/,əmœmɶ,Peak,ピーク,to,mœm,noun,3
afirmație,ro,/afirmatsije/,ɶyɶbyø,statement,声明,Kardinalfehler,de,/ˈkaɾdinalfelɐ̯/,ɶyɶbøɐ,Cardinal error,基本的なエラー,to,yɶb,noun,5
pendapat,id,/pəndapat/,əmɶɶb,opinion,意見,amman,is,/aman/,bɶbbɔbɶb,amman,アンマン,,,noun,3
競合,ja,/kjoɯgoɯ/,bouou,Conflict,競合,propugnó,es,/pɾopuɣˈno/,bouo,advised,アドバイス,to,ouo,verb,3
فحص,ar,/faħasˤa/,ɶɶbɶ,to examine,調べる,曲がった,ja,/magatːa/,ɶɶbɶ,bent,曲がった,to,ɶbɶ,verb,3
examinar,es,/eksaminaɾ/,øbɶyɶ,review,レビュー,elradiki,eo,/elradiki/,øbɶyy,root up,ルートアップ,to,bɶy,verb,4
tutkia,fi,/ˈtutkiɑ/,ubyɑ,explore,見る,ourdissant,fr,/uʁdisɑ̃/,ubyɑ,hatching,孵化,to,byɑ,verb,3
mielipide,fi,/ˈmieliˌpide/,yøyyø,opinion,意見,diferirían,es,/difeɾiˈɾian/,yøyyɶm,They would differ,彼らは異なるでしょう,to,øyy,verb,4
ý nghĩa,vi,/i˩˧ ŋiə˧˩˨/,yyə,meaningful,意味があります,䩅,zh-cn,/ʈʂan˨˩˦/,ɶmbbɑʊ,Bleak,暗い,,,verb,3
verstehe,de,/fɛːɐ̯ˈʃteːə/,œɐøə,understand,理解する,embotique,es,/embotike/,uøøɶ,embottle,エンボットル,,,verb,3
이해하다,ko,/iɦɛ̝ɦa̠da̠/,yœɶɶ,Understand,理解,smellum,is,/smɛtlʏm/,øyɶuʏ,click,クリック,,,verb,4
memahami,id,/məmahami/,əɶɶy,understand,理解する,me,en,/ˈmi/,ɑmɑəbʏbbb,me,自分,,,verb,4
understand,en,/ˌəndɝˈstænd/,əməbæmb,understand,理解する,renieriez,fr,/ʁənjəʁje/,əməbø,would deny,否定します,to,məb,verb,3
ymmärtää,fi,/ˈymmærtææ/,ymæææ,understand,理解する,butoirs,fr,/bytwaʁ/,øyœəɔ,bodies,体,,,verb,4
Wasserstoff,de,/ˈvasɐʃtɔf/,ɶɐɔb,hydrogen,水素,klor,sv,/kloːr/,œʏmɶ,claws,爪,,,noun,3
hidrogen,ro,/hidrodʒen/,ybobøm,hydrogen,水素,licnobios,es,/liknoβjos/,ybobob,Licnobes,licnobes,to,bob,noun,3
hydrogène,fr,/idʁɔʒɛn/,ybɔœm,hydrogen,水素,wieczorek,en,/viˈtʃɔɹɛk/,ybɔœb,wieczorek,wieczorek,to,bɔœ,noun,3
