word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
reparar,es,repair,修理,/repaɾaɾ/,øɶɶ,øɶ
願い,ja,Wish,願い,/negai/,øɶy,øɶ
separar,es,pull apart,引き離します,/sepaɾaɾ/,øɶɶ,øɶ
減らす,ja,reduce,減らす,/heɾasɯ/,øɶu,øɶ
étagère,fr,shelf,棚,/etaʒɛʁ/,øɶœb,øɶ
emanar,es,emanate,発せます,/emanaɾ/,øɶɶ,øɶ
emani,eo,emani,エマニ,/emani/,øɶy,øɶ
décalage,fr,gap,ギャップ,/dekalaʒ/,øɶɶ,øɶ
derramar,es,to spill,こぼれる,/deramaɾ/,øɶɶ,øɶ
legado,es,legacy,遺産,/leɣaðo/,øɶo,øɶ
選ぶ,ja,Choose,選ぶ,/eɾabɯ/,øɶu,øɶ
deranjat,ro,upset,動揺,/deranʒat/,øɶmɶb,øɶ
béatifiait,fr,Beatified,beatified,/beatifjɛ/,øɶybœ,øɶ
reparat,ro,FIX,修理,/reparat/,øɶɶb,øɶ
lehrreichsten,de,most instructive,最も有益です,/ˈleɾɾaeçstən/,øɶøbəm,øɶ
lehrreichen,de,instructive,有益,/ˈleɾɾaeçən/,øɶøəm,øɶ
kế hoạch hóa,vi,planning,計画,/ke˩˧ hwak˨ˀ˩ʔ hwa˩˧/,øɶbbɶ,øɶ
repauzat,ro,repaired,修理,/repauzat/,øɶuɶb,øɶ
dékade,id,Dékade,デカデ,/dekadə/,øɶə,øɶ
pedali,eo,pedali,ペダリ,/pedali/,øɶy,øɶ
헤아리다,ko,Count,カウント,/he̞a̠ɾida̠/,øɶyɶ,øɶ
ehrbarsten,de,most honest,最も正直です,/ˈʔeɾbaɾstən/,øɶbəm,øɶ
etalat,ro,displayed,表示されます,/etalat/,øɶɶb,øɶ
émaillées,fr,enamelled,エナメル,/emaje/,øɶø,øɶ
vegano,eo,vegan,ビーガン,/vegano/,øɶo,øɶ
remaba,es,remailed,remailed,/remaβa/,øɶɶ,øɶ
