word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
rannerengas,fi,/ˈrɑnneˌrengɑs/,ɑmøømɑb,bracelet,ブレスレット,Himmelfahrtstag,de,/ˈhɪmmɛlfɑɾtstɑk/,ʏmœbɑbbɑb,Ascension day,アセンションデー,kyaku,ɑb,noun,4
手镯,zh-cn,/ʂoʊ˨˩˦ ʈʂuɔ˧˥/,oʊuɔ,bracelet,ブレスレット,고등어,ko,/ko̞dɯŋʌ̹/,ouɔ,Mackerel,サバ,kyaku,uɔ,noun,3
paloma,es,/paloma/,ɶoɶ,dove,鳩,drakona,eo,/drakona/,bɶoɶ,Dragona,ドラゴナ,kyaku,oɶ,noun,3
porumbel,ro,/porumbel/,oumøb,dove,鳩,称名,ja,/ɕoɯmjoɯ/,oumou,Nickname,称名,to,um,noun,3
kolombo,eo,/kolombo/,oomo,Dove,鳩,nói buông trôi,vi,/nɔj˩˧ buəŋ˧˥ ʈoj˧˥/,ɔuəmo,let go,手放す,kyaku,mo,verb,3
Analphabetentum,de,/ˈʔanˌʔalfɑbətəntuːm/,ɶmɶbɑəəmum,illiteracy,非識字,assalamualaikum,id,/assalamualaikum/,ɶbɶɶuɶɶyum,assalamualaikum,Assalamualaikum,kyaku,um,noun,6
analphabétisme,fr,/analfabetism/,ɶɶbɶøybm,illiteracy,非識字,paraglobină,ro,/paraɡlobinə/,ɶɶboyə,paraglobin,パラグロビン,to,ɶb,noun,5
非識字,ja,/çiɕikidʑi/,yyyby,Non -literacy,非識字,프라이버시,ko,/pʰɯɾa̠ibʌ̹ɕʰi/,buɶyɔby,privacy,プライバシー,kyaku,by,noun,4
analfabeteco,eo,/analfabetet͡so/,ɶɶbɶøøbo,illiteracy,非識字,valkohomejuusto,fi,/ˈvɑlkoˌhomeˌjuusto/,ɑbooøuubo,white cheese,白チーズ,kyaku,bo,noun,6
viðskipti,is,/vɪðscɪftɪ/,ʏbbʏbʏ,business,仕事,fitzgibbons,en,/ˌfɪtsˈdʒɪbənz/,ʏbbbʏəmb,fitzgibbons,フィッツギボンズ,to,bb,noun,3
