word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
pembelian,id,/pəmbəlian/,əməyɶm,purchase,購入,仁至义尽,zh-cn,/ʐən˧˥ ʈʂɚ˥˩ i˥˩ tɕɪn˥˩/,əməybʏm,Ren Zhiyi,レン・ジーイ,to,məy,noun,3
ostaa,fi,/ˈostɑɑ/,obɑɑ,buy,買う,fontoplumo,eo,/fontoplumo/,øbbbyo,fountain pen,万年筆,to,,noun,3
melompat,id,/məlompat/,əomɶb,jump,ジャンプ,hanger,ro,/handʒer/,uøbbømb,dagger,短剣,to,,noun,3
Postleitzahl,de,/ˈpɔstlaɪ̯ttsaːl/,ɔbbɶʏbbɶb,postal code,郵便番号,Gottskálksson,is,/kɔhtskaul̥ksɔːn/,ɔbbɶubbɔm,Gottskálksson,ゴッツカルクソン,to,bbɶ,noun,3
archivo,es,/aɾtʃiβo/,ɶbyo,"File, Archive",ファイル、アーカイブ,cardinaux,fr,/kaʁdino/,ɶbyo,cardinal,枢機卿,to,byo,adjective,3
الأضواء,ar,/aːlʔadˤwaːʔ/,ɶbɶbɶb,Lights,ライト,castalia,es,/kastalja/,ɶbɶbɶ,Castalia,カスタリア,to,bɶbɶ,noun,3
invierno,es,/imbjeɾno/,ymbøo,winter,冬,巡回,zh-cn,/ɕyn˧˥ xweɪ˧˥/,ymbøʏ,tour,旅行,to,mbø,noun,3
pavillon,fr,/pavijɔ̃/,ɶyɔ,flag,国旗,وبالمسكوني,ar,/wabiaːlmaskuːnijj/,ɶɶbu,And in Mesconi,そしてメスコーニで,,,noun,3
pavilion,en,/pəˈvɪɫjən/,əʏəm,pavilion,パビリオン,Geschichten,de,/gəˈʃɪçtən/,əʏəm,Stories,物語,to,ʏəm,noun,3
パビリオン,ja,/pabiɾioɴ/,ɶyyom,Pavilion,パビリオン,anihilo,es,/aniilo/,ɶyyo,Anihilo,アニヒロ,to,yyo,noun,3
paviljonki,fi,/ˈpɑvilˌjonki/,ɑybomy,pavilion,パビリオン,Arizona,de,/ˈʔɑːɾitsonɑ/,ɑyboɑ,Arizona,アリゾナ,to,ybo,noun,4
التشغيل,ar,/aːltaʃɣiːl/,ɶbɶyb,Employment,雇用,galvanis,id,/galvanis/,ɶbɶyb,Galvanized,亜鉛メッキ,to,bɶyb,verb,3
operating,en,/ˈɑpɝˌeɪtɪŋ/,ɑəøʏʏm,operating,オペレーティング,كجزائي,ar,/kadʒazaːʔijj/,ɶbɶɶy,As a partial,部分として,,,verb,4
operare,ro,/operare/,oøɶø,operating,オペレーティング,Kohleneimer,de,/ˈkolenaemɐ̯/,oøɶøɐ,Coal bucket,石炭バケツ,to,øɶø,noun,4
kaupunginosa,fi,/ˈkɑupunˌginosɑ/,ɑuumyoɑ,neighborhood,近所,deiginu,is,/tɛjɪnʏ/,bœbbɶbʏbouʏ,dough,生地,,,noun,5
