word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
echidna,en,echidna,エキドナ,/ɪˈkɪdnə/,ʏʏbə,bə
karakter,id,character,キャラクター,/karaʔtər/,ɶɶbə,bə
credință,ro,faith,信仰,/kredintsə/,bøymbə,bə
minister,en,minister,大臣,/ˈmɪnəstɝ/,ʏəbə,bə
manicure,en,manicure,マニキュア,/ˈmænɪkjɝ/,æʏbə,bə
adapter,en,adapter,アダプタ,/əˈdæptɝ/,əæbə,bə
Verdienste,de,Earnings,収益,/fɛːɐ̯ˈdiːnstə/,œɐymbə,bə
behavior,en,behavior,行動,/bɪˈheɪvjɝ/,ʏøʏbə,bə
detector,en,detector,検出器,/dɪˈtɛktɝ/,ʏœbə,bə
algebra,en,algebra,代数,/ˈæɫdʒəbɹə/,æbəbə,bə
Eidechse,de,lizard,トカゲ,/ˈaedɛksə/,ɶøœbə,bə
căruță,ro,dray,ドレイ,/kərutsə/,əubə,bə
durnoisme,id,Durnoism,ダーヌイズム,/durnoismə/,uoybə,bə
scăfiță,ro,drop,落とす,/skəfitsə/,bəybə,bə
Libelle,de,dragon-fly,Dragon-Fly,/ˈliːbɛllə/,yœbə,bə
en mal de,fr,in need of,を必要としています,/ɑ̃maldə/,ɑɶbə,bə
peniță,ro,pen,ペン,/penitsə/,øybə,bə
Staubwolke,de,Dust cloud,ダストクラウド,/ˈʃtaopvɔlkə/,ɶobɔbə,bə
exedră,ro,execute,実行する,/eksedrə/,øbøbə,bə
altruisme,id,altruism,利他主義,/altruismə/,ɶbbuybə,bə
kolékte,id,Kolékte,コレク,/koleʔtə/,oøbə,bə
turisme,id,tourism,観光,/turismə/,uybə,bə
baratcă,ro,Baratcă,Baratcò,/baratkə/,ɶɶbə,bə
atéisme,id,atheism,無神論,/ateismə/,ɶøybə,bə
Genüsse,de,Delights,喜び,/gəˈnʏszə/,əʏbə,bə
