word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
マスカラ,ja,/masɯkaɾa/,ɶuɶɶ,mascara,マスカラ,apuraras,es,/apuɾaɾas/,ɶuɶɶb,You will hurry,あなたは急いでいます,to,uɶɶ,noun,4
ripsiväri,fi,/ˈripsiˌværi/,ybyæy,mascara,マスカラ,skrökvaði,is,/skrœːkvaðɪ/,ɶmɶœmʏ,blaze,炎,,,noun,4
domnule,ro,/domnule/,omuø,mister,ミスター,몸무게,ko,/mo̞mmuɡe̞/,omuø,weight,重さ,to,muø,noun,3
humanity,en,/hjuˈmænɪti/,uæʏy,humanity,人類,ゲームプランナー,ja,/geːmɯpɯɾaɴnaː/,ɶuɶy,Game planner,ゲームプランナー,,,noun,4
umanitate,ro,/umanitate/,uɶyɶø,humanity,人類,クラビアインキ,ja,/kɯɾabiaiɴki/,uɶyɶymy,Clavian ink,クラビアインキ,to,ɶyɶ,adjective,5
humanité,fr,/ymanite/,yɶyø,humanity,人類,piramidei,ro,/piramidej/,yɶyø,pyramid,ピラミッド,to,ɶyø,noun,4
formado,eo,/formado/,oɶo,formation,形成,粛学,ja,/ɕɯkɯgakɯ/,øyou,school purge,粛学,,,noun,3
muodostus,fi,/ˈmuodostus/,uoobub,formation,形成,무도곡,ko,/mudo̞ɡo̞k̚/,uoob,dance music,ダンスミュージック,to,oob,noun,3
formation,fr,/fɔʁmasjɔ̃/,ɔbɶbɔ,training,トレーニング,어사화,ko,/ʌ̹sʰa̠βwa̠/,ɔbɶbɶ,Portrait,肖像画,to,bɶb,noun,3
pembentukan,id,/pəmbəntukan/,əməmuɶm,formation,形成,根深柢固,zh-cn,/kən˥˥ ʂən˥˥ ti˨˩˦ ku˥˩/,əməmyu,Root,根,to,məm,noun,4
kieltää,fi,/ˈkieltææ/,yøbææ,prohibit,禁止,phổ thông trung học,vi,/fo˧˩˨ tʰoŋ͡m˧˥ ʈuŋ͡m˧˥ hɔk͡p˨ˀ˩ʔ/,uəɶɶ,high school,高校,,,verb,3
여배우,ko,/jʌ̹bɛ̝u/,ɔœu,actress,女優,直ちに,ja,/tadatɕini/,uøy,right away,直ちに,,,noun,3
Darstellerin,de,/daˈɾʃtɛllɐ̯ɪn/,ɶœbɐʏm,actress,女優,negatively,en,/ˈnɛɡətɪvɫi/,ʏʏub,negatively,否定的に,,,noun,3
leikkona,is,/leiːkʰɔna/,øybɔɶ,actress,女優,획일적,ko,/hø̞ɡiɭd͡ʑʌ̹k̚/,øybɔb,Uniform,ユニフォーム,to,ybɔ,noun,3
