request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en
cater,en,verb,/ˈkeɪtɝ/,øʏə,cater,对峙,zh-cn,verb,/tweɪ˥˩ ʈʂɚ˥˩/,pøʏə,Confrontation
melayani,id,verb,/məlajani/,əɶɶy,serve,１個あたり,ja,noun,/ikːoataɾi/,yoɶɶy,Per one
verpflichten,de,verb,/fɛːɐ̯ˈpflɪçtən/,œpϕʏəm,commit,abolitionism,en,noun,/ˌæbəˈɫɪʃəˌnɪzəm/,əʏəʏəm,abolitionism
rideto,eo,verb,/rideto/,yøo,smile,cicero,ro,noun,/tʃitʃero/,yøo,pica
tersenyum,id,verb,/tərsəɲum/,ərəum,smile,inopportune,en,noun,/ˌɪˌnɑpɝˈtun/,ʏɑəum,inopportune
smile,en,verb,/ˈsmaɪɫ/,ϕɶʏ,smile,Fleisch,de,noun,/flaɪ̯ʃ/,ϕɶʏ,flesh
미소,ko,verb,/misʰo̞/,yo,smile,ＮＥＥＴ,ja,noun,/niːto/,yo,Neet
signiert,de,verb,/zɪgniːɾt/,ʏbyp,signed,kokpit,id,noun,/koʔpit/,obyp,cockpit
known,en,verb,/ˈnoʊn/,oʊm,known,Bohrung,de,noun,/ˈboːʀʊŋ/,oʊm,drilling
diketahui,id,verb,/dikətahui/,yəɶuy,is known,deschiaburi,ro,noun,/deskʲ̩̩aburi/,øϕɶuy,openings
众所周知,zh-cn,verb,/ʈʂʊŋ˥˩ suɔ˨˩˦ ʈʂoʊ˥˥ ʈʂɚ˥˥/,ʊmuɔoʊə,Well-known,amargosa,en,adjective,/əmɑɹˈɡoʊsə/,əɑoʊə,amargosa
blest,en,adjective,/ˈbɫɛst/,œϕp,blest,äst,de,verb,/ˈʔɛst/,œϕp,aest
seamy,en,adjective,/ˈsimi/,yy,seamy,gilí,es,adjective,/xiˈli/,yy,Gilí.
씨름,ko,adjective,/ɕ͈iɾɯm/,yum,Wrestling,ibum,ro,noun,/ibum/,yum,Ibum
berkelim,id,adjective,/bərkəlim/,ərəym,seamy,Hermelin,de,noun,/hɛʁməˈliːn/,œβəym,ermine
stimulieren,de,verb,/ʃtimuˈliːɾen/,yuyøm,stimulate,aborigen,ro,noun,/aboridʒen/,ɶoyøm,aboriginal
전위,ko,verb,/t͡ɕʌ̹nɥi/,pɔy,electric potential,twardy,en,adjective,/ˈtwɔɹdi/,pɔy,twardy
tempat,id,verb,/təmpat/,əmɶp,the place,간닥,ko,noun,/ka̠nda̠k̚/,ɶmɶp,Dignity
locus,en,verb,/ˈɫoʊkəs/,oʊəϕ,locus,Dunges,de,noun,/ˈdʊŋəs/,ʊəϕ,Dung
현장,ko,verb,/çjʌ̹nd͡ʑa̠ŋ/,ɔmbɶm,Scene,bogdan,ro,noun,/boɡdan/,obɶm,Bogdan.
给予,zh-cn,verb,/tɕi˨˩˦ y˨˩˦/,pyy,give,지리,ko,noun,/t͡ɕiɾi/,pyy,geography
given,en,verb,/ˈɡɪvən/,ʏəm,given,丙申,zh-cn,noun,/pɪŋ˨˩˦ ʂən˥˥/,ʏəm,Phand
diberikan,id,verb,/dibərikan/,yəyɶm,given,고도비만,ko,noun,/ko̞do̞bima̠n/,ooyɶm,Altitude
与える,ja,verb,/ataeɾɯ/,ɶɶøu,give away,acelui,ro,noun,/atʃeluj/,ɶøu,that
획득,ko,verb,/hø̞k̚t͈ɯk̚/,øpup,acheive,Absud,de,noun,/ˈʔapˌzuːt/,ɶpup,decoction
menghasilkan,id,verb,/məŋhasilkan/,əmɶylɶm,produce,descabalgan,es,verb,/deskaβalgan/,øϕɶɶlɶm,Deafbalgan.
verdienen,de,verb,/fɛɐ̯ˈdiːnən/,œyəm,to earn,仗势欺人,zh-cn,verb,/ʈʂɑŋ˥˩ ʂɚ˥˩ tɕʰi˥˥ ʐən˧˥/,ɑəpyəm,Deceive
malsana,eo,adjective,/malsana/,ɶlɶɶ,ill,calfata,ro,noun,/kalfata/,ɶlɶɶ,journeyman
보리,ko,verb,/po̞ɾi/,oy,barley,ＯＢ,ja,noun,/oːbiː/,oy,Ob
