word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
modernity,en,/mɑˈdɝnəti/,ɑəəy,modernity,現代性,trung thần nghĩa sĩ,vi,/ʈuŋ͡m˧˥ tʰɤ̆ŋ˦˨ ŋiə˧˩˨ ʂi˧˩˨/,ummbomyəy,Trung Than Nghia Si,nghia siよりもトゥング,kyaku,əy,noun,4
modernidad,es,/moðeɾniðað/,oøyɶb,modernity,現代性,ポディウム,ja,/podeiɯmɯ/,oøyuu,Podium,ポディウム,to,øy,noun,4
Modernität,de,/modɛɾniˈtɛːt/,oœyœb,modernity,現代性,almendarez,en,/ɑɫmeɪnˈdɑɹɛz/,ɑøʏmɑœb,almendarez,アルメンデレス,kyaku,œb,noun,4
depozit,ro,/depozit/,øoyb,deposit,デポジット,sienestys,fi,/ˈsienestys/,yøøbyb,mushroom picking,キノコピッキング,kyaku,yb,verb,3
보증금,ko,/po̞d͡ʑɯŋɡɯm/,obumum,deposit,デポジット,saut-de-mouton,fr,/sodmutɔ̃/,obuɔ,mouton jump,ムートンジャンプ,to,bu,verb,3
menyetorkan,id,/məɲətorkan/,əəoɶm,deposit,デポジット,ferðataskan,is,/fɛrðatʰaskan/,œɶbɶbɶm,suitcase,スーツケース,kyaku,ɶm,verb,4
deposit,en,/dəˈpɑzɪt/,əɑʏb,deposit,デポジット,فبحيق,ar,/fabiħeɪq/,ɶyøʏb,Pushed,プッシュ,kyaku,ʏb,verb,3
depósito,es,/deˈposito/,øoyo,Deposit,デポジット,défaufilât,fr,/defofila/,øoyɶ,defaufilât,difaufilât,to,oy,noun,4
gistiheimili,is,/cɪstɪheiːmɪlɪ/,ʏbʏøyʏʏ,hostel,ホステル,equivocating,en,/ɪˈkwɪvəˌkeɪtɪŋ/,ʏbʏəøʏʏm,equivocating,微量,to,bʏ,verb,5
majatalo,fi,/ˈmɑjɑˌtɑlo/,ɑɑɑo,inn,宿,baldassare,en,/bɑɫdɑˈsɑɹi/,ɑɑɑy,baldassare,バルダサレ,to,ɑɑ,verb,4
gastejo,eo,/gasteio/,ɶbøyo,Inn,宿,nachreden,de,/ˈnaxˌɾeːdən/,ɶbøəm,talk,話,to,bø,verb,3
小説,ja,/ɕoɯsetsɯ/,ouøbu,novel,小説,corrugues,es,/koruɣes/,ouøb,corrugated,ひだのついた,to,uøb,noun,3
nacio,eo,/nat͡sio/,ɶbyo,nation,国家,marklínu,is,/mar̥klinʏ/,ɶbyʏ,target line,ターゲットライン,to,by,noun,3
