word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
agresión,es,assault,暴行,/aɣɾeˈsjon/,ɶøbom,ɶø
Leichtigkeit,de,ease,簡易,/laeçtɪkˈkəiːt/,ɶøʏbəyb,ɶø
カーペット,ja,carpet,カーペット,/kaːpetːo/,ɶøbo,ɶø
Eindringling,de,intruder,侵入者,/ˈʔaenˌdɾɪŋlɪŋ/,ɶømbʏmʏm,ɶø
カレッジ,ja,College,カレッジ,/kaɾedʑːi/,ɶøbby,ɶø
Einschränkung,de,Restriction,制限,/ˈʔaenˌʃɾɛŋkʊŋ/,ɶømœmʊm,ɶø
kaleŝo,eo,carriage,キャリッジ,/kaleʃo/,ɶøo,ɶø
Eidechse,de,lizard,トカゲ,/ˈaedɛksə/,ɶøœbə,ɶø
manera,es,way,仕方,/maneɾa/,ɶøɶ,ɶø
partener,ro,partner,相棒,/partener/,ɶøø,ɶø
過激,ja,Radical,過激,/kageki/,ɶøy,ɶø
カーネーション,ja,Carnation,カーネーション,/kaːneːɕoɴ/,ɶøom,ɶø
パレード,ja,parade,パレード,/paɾeːdo/,ɶøo,ɶø
cadena,es,string,ストリング,/kaðena/,ɶøɶ,ɶø
Einfügung,de,insertion,挿入,/ˈʔaenˌfyːgʊŋ/,ɶømyʊm,ɶø
kahelo,eo,tile,タイル,/kahelo/,ɶøo,ɶø
ラベル,ja,label,ラベル,/ɾabeɾɯ/,ɶøu,ɶø
パーセント,ja,percent,パーセント,/paːseɴto/,ɶømo,ɶø
Baleno,eo,Whale,鯨,/baleno/,ɶøo,ɶø
誰か,ja,who,誰か,/daɾeka/,ɶøɶ,ɶø
galero,eo,galley,ギャレー,/galero/,ɶøo,ɶø
pardesiu,ro,overcoat,オーバーコート,/pardesiw/,ɶøy,ɶø
ardejo,eo,a slate,スレート,/ardeio/,ɶøyo,ɶø
canetă,ro,hemp,麻,/kanetə/,ɶøə,ɶø
炸雷,zh-cn,Thunder,雷,/ʈʂa˥˩ leɪ˧˥/,ɶøʏ,ɶø
كهيوب,ar,Kahib,カヒブ,/kaheɪuːb/,ɶøʏub,ɶø
vaqueabas,es,Camishas,カミシャ,/bakeaβas/,ɶøɶɶb,ɶø
vanee,es,Vanee,vanee,/banee/,ɶøø,ɶø
cá heo,vi,dolphin,イルカ,/ka˩˧ heo˧˥/,ɶøo,ɶø
فسيذك,ar,It will take you,それはあなたを連れて行きます,/faseɪaðk/,ɶøʏɶbb,ɶø
sameinuð,is,united,ユナイテッド,/saːmeinʏð/,ɶøyʏb,ɶø
아레스,ko,Ares,アレス,/a̠ɾe̞sʰɯ/,ɶøbu,ɶø
haveză,ro,coal-cutting machine,石炭カットマシン,/havezə/,ɶøə,ɶø
Madeira,is,Madeira,マデイラ,/mateiːra/,ɶøyɶ,ɶø
打飞机,zh-cn,Airplane,飛行機,/ta˨˩˦ feɪ˥˥ tɕi˥˥/,ɶøʏby,ɶø
Ka Beo,vi,Ka Beo,Ka Beo,/ka˧˥ beo˧˥/,ɶøo,ɶø
Neigungswerts,de,Inclination,傾斜,/ˈnaegʊŋsvɛɾts/,ɶøʊmbœbb,ɶø
alezi,eo,Alezi,アレジ,/alezi/,ɶøy,ɶø
把袂,zh-cn,Pier,橋脚,/pa˨˩˦ meɪ˥˩/,ɶøʏ,ɶø
rameutais,fr,branch,ブランチ,/ʁamøtɛ/,ɶøœ,ɶø
야외무대,ko,Outdoor stage,屋外ステージ,/ja̠ø̞mudɛ̝/,ɶøuœ,ɶø
artésis,id,Artésis,アルテシス,/artesis/,ɶøyb,ɶø
