word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
menyatukan,id,unite,団結します,/məɲatukan/,əɶuɶm,əɶ
menangani,id,handle,扱う,/mənaŋani/,əɶɶy,əɶ
memastikan,id,ensure,確認,/məmastikan/,əɶbyɶm,əɶ
beabsichtigen,de,to intend,しようとする,/bəˈapsɪçtɪɡən/,əɶbʏʏəm,əɶ
mengakui,id,confess,告白する,/məŋakui/,əɶuy,əɶ
menganjurkan,id,Encourage,奨励します,/məŋandʒurkan/,əɶmbuɶm,əɶ
memanjakan,id,Pamper,甘やかす,/məmandʒakan/,əɶmbɶɶm,əɶ
pelaporan,id,reporting,報告,/pəlaporan/,əɶoɶm,əɶ
pengabaian,id,neglect,忘れる,/pəŋabaian/,əɶɶyɶm,əɶ
menanggapi,id,respond,応答,/mənaŋgapi/,əɶmɶy,əɶ
regagnera,fr,will regain,回復します,/ʁəgaɲəʁa/,əɶəɶ,əɶ
tomayko,en,tomayko,Tomayko,/təˈmaɪkoʊ/,əɶʏoʊ,əɶ
rămaseră,ro,remained,残った,/rəmaserə/,əɶøə,əɶ
执法如山,zh-cn,Law enforcement is like mountains,法執行機関は山のようなものです,/ʈʂɚ˧˥ fa˨˩˦ ʐu˧˥ ʂan˥˥/,əɶuɶm,əɶ
rejaillira,fr,will reflect,反映します,/ʁəʒajiʁa/,əɶyɶ,əɶ
calliope,en,calliope,カリオペ,/kəˈɫaɪəˌpi/,əɶʏəy,əɶ
remanierons,fr,will reshape,再構築します,/ʁəmanjəʁɔ̃/,əɶməɔ,əɶ
rejaillissant,fr,spurring,拍車,/ʁəʒajisɑ̃/,əɶyɑ,əɶ
