word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
ivory,en,ivory,象牙,/ˈaɪvɝi/,ɶʏəy,ɶʏ
Einwohner,de,resident,居住者,/ˈʔaɪ̯nvoːnɐ/,ɶʏmoɐ,ɶʏ
piracy,en,piracy,著作権侵害,/ˈpaɪɹəsi/,ɶʏəy,ɶʏ
Sardine,de,sardine,イワシ,/ˈzaɾdɪnə/,ɶʏə,ɶʏ
沙丁鱼,zh-cn,sardine,イワシ,/ʂa˥˥ tɪŋ˥˥ y˧˥/,ɶʏmy,ɶʏ
eyeliner,en,eyeliner,アイライナー,/ˈaɪˌɫaɪnɝ/,ɶʏɶʏə,ɶʏ
dioxide,en,dioxide,二酸化物,/daɪˈɑkˌsaɪd/,ɶʏɑbɶʏb,ɶʏ
hydrofoil,en,hydrofoil,ハイドロフォイル,/ˈhaɪdɹəˌfɔɪɫ/,ɶʏbəɔʏ,ɶʏ
library,en,library,図書館,/ˈɫaɪbɹɛˌɹi/,ɶʏbœy,ɶʏ
dynasty,en,dynasty,王朝,/ˈdaɪnəsti/,ɶʏəby,ɶʏ
scientist,en,scientist,科学者,/ˈsaɪəntɪst/,ɶʏəmʏbb,ɶʏ
爱面子,zh-cn,Face,顔,/aɪ˥˩ mjɛn˥˩ tsɯ˧/,ɶʏmœmbu,ɶʏ
Radisson,is,Radisson,ラディソン,/raːtɪsɔn/,ɶʏɔm,ɶʏ
Magister,de,Master,主人,/maˈɡɪstɐ/,ɶʏbɐ,ɶʏ
白血病,zh-cn,leukemia,白血病,/paɪ˧˥ ɕɥœ˥˩ pɪŋ˥˩/,ɶʏbœʏm,ɶʏ
firefighter,en,firefighter,消防士,/ˈfaɪɹˌfaɪtɝ/,ɶʏɶʏə,ɶʏ
athyglin,is,attention,注意,/aːtɪklɪn/,ɶʏbʏm,ɶʏ
Paarbildung,de,Pairing,ペアリング,/ˈpaːɾbɪldʊŋ/,ɶʏbʊm,ɶʏ
Waschküche,de,washroom,洗面所,/ˈvaʃkʏçə/,ɶʏə,ɶʏ
barminum,is,edge,縁,/parmɪnʏm/,ɶʏʏm,ɶʏ
白头,zh-cn,White head,白い頭,/paɪ˧˥ tʰoʊ˧˥/,ɶʏboʊ,ɶʏ
