word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
mandíbula,es,/manˈdiβula/,ɶmyuɶ,jaw,あご,ambigueco,eo,/ambiguet͡so/,ɶmyuøbo,ambiguity,あいまいさ,to,myu,noun,4
makzelo,eo,/makzelo/,ɶbøo,jaw,あご,Algéco,fr,/alʒeko/,ɶbøo,Alco,アルコ,to,bøo,noun,3
calzoncillos,es,/kalθonθiʎos/,ɶbomyob,underpants,パンツ,약혼반지,ko,/ja̠kʰo̞nba̠nd͡ʑi/,ɶbomɶmby,Engagement ring,婚約指輪,to,bom,noun,4
pembela,id,/pəmbəla/,əməɶ,Defenders,ディフェンダー,reniera,fr,/ʁənjəʁa/,əməɶ,will deny,否定します,to,məɶ,verb,3
ディフェンダー,ja,/deiɸɯeɴdaː/,øyuømɶ,Defender,ディフェンダー,lleivunes,es,/ʎeiβunes/,øyuøb,Lleivunos,lleivunos,to,yuø,noun,3
المدافع,ar,/aːlmadaːfiʕ/,ɶbɶɶyb,Defender,ディフェンダー,varnaðarorð,is,/vartnaðarɔrð/,ɶbɶɶɔb,warn,暖かい,to,bɶɶ,verb,4
barbecue,fr,/baʁbəkju/,ɶbəbu,barbecue,バーベキュー,almăgean,ro,/almədʒ̩an/,ɶbəbɶm,Almăgean,アルマギーン,to,bəb,adjective,3
バーベキュー,ja,/baːbekjɯː/,ɶøbu,barbecue,バーベキュー,asediu,ro,/asedju/,ɶøbu,siege,包囲,to,øbu,noun,3
فرك,ar,/faraka/,ɶɶɶ,rub,こする,vélsleða,is,/vjɛlstlɛða/,bœbbbœɶ,snowmaking,スノーメイキング,,,verb,3
hieroa,fi,/ˈhieroɑ/,yøoɑ,rub,こする,풍경,ko,/pʰuŋɡjʌ̹ŋ/,bɶmbɶmbbɔm,Scenery,景色,,,verb,3
bucătărie,ro,/bukətərije/,uəəyø,kitchen,キッチン,peräpuoli,fi,/ˈperæˌpuoli/,yøyybuɑ,stern,船尾,,,noun,5
sigilo,es,/sixilo/,yyo,stealth,ステルス,vaccinerions,fr,/vaksinəʁjɔ̃/,bøoɶm,Vaccinery,ワクチナリー,,,noun,3
ステルス,ja,/sɯteɾɯsɯ/,uøuu,stealth,ステルス,rupeutuma,fi,/ˈrupeuˌtumɑ/,uøuuɑ,rape,レイプ,to,øuu,noun,4
symboloida,fi,/ˈsymboˌloidɑ/,ymooyɑ,symbolize,象徴する,limfonodo,eo,/limfonodo/,ymooo,lymphoid,リンパ,to,moo,verb,4
melambangkan,id,/məlambaŋkan/,əɶmɶmɶm,symbolize,象徴する,beanstandet,de,/bəˈʔanˌʃtandət/,əɶmɶməb,objectionable,好ましくない,to,ɶmɶm,verb,4
honoro,eo,/honoro/,ooo,honor,名誉,áo choàng,vi,/aw˩˧ cwaŋ˦˨/,yəmbomo,cloak,マント,,,verb,3
kehormatan,id,/kəhormatan/,əoɶɶm,honor,名誉,차올리다,ko,/t͡ɕʰa̠o̞ɭʎida̠/,ɶbɶbuy,Kick up,蹴り上げます,,,verb,4
kunnia,fi,/ˈkunniɑ/,umyɑ,honor,名誉,件の一件,ja,/kɯdaɴnoikːeɴ/,ɶyøy,One case,件の一件,to,,verb,3
furtunos,ro,/furtunos/,uuob,stormy,嵐,túmulos,es,/ˈtumulos/,uuob,Tumuli,Tumuli,to,uob,adjective,3
暴风雨,zh-cn,/pɑʊ˥˩ fɤŋ˥˥ y˨˩˦/,ɑʊomy,storm,嵐,일흔째,ko,/iɾɣɯnt͡ɕ͈ɛ̝/,ɶɶɶ,Seventh,7番目,,,noun,3
嵐,ja,/aɾaɕi/,ɶɶy,storm,嵐,codét,id,/tʃodet/,əɶu,Codét,コード,,,noun,3
اشتراك,ar,/iʃtiraːk/,yyɶb,Participation,参加,digital,de,/digiˈtaːl/,yyɶb,digital,デジタル,to,yɶb,noun,3
サインアップ,ja,/saiɴapːɯ/,ɶyɶbu,sign up,サインアップ,cardiac,ro,/kardijak/,ɶyɶb,cardiac,心臓,to,yɶb,noun,3
헬리콥터,ko,/he̞ɭʎikʰo̞p̚tʰʌ̹/,øybobbɔ,Helicopter,ヘリコプター,elipsoides,es,/elipsoiðes/,øyboyøb,ellipsoid,楕円,to,ybo,noun,4
