word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
بحث,ar,Search,探す,/baħaθa/,ɶɶɶ,ɶɶ
أقسم,ar,I swear,私は誓います,/ʔaqsama/,ɶbɶɶ,ɶɶ
자라다,ko,grow,育つ,/t͡ɕa̠ɾa̠da̠/,bɶɶɶ,ɶɶ
vulgara,eo,vulgar,下品,/vulgara/,ubɶɶ,ɶɶ
خندق,ar,trench,溝,/xandaqa/,ɶmɶɶ,ɶɶ
selada,id,lettuce,レタス,/səlada/,əɶɶ,ɶɶ
هرب,ar,to flee,逃げる,/haraba/,ɶɶɶ,ɶɶ
enjuagar,es,rinse,リンス,/eŋxwaɣaɾ/,ømbɶɶ,ɶɶ
وخز,ar,Tingling,うずき,/waxaza/,ɶɶɶ,ɶɶ
قيد,ar,Restriction,制限,/qajjada/,ɶɶɶ,ɶɶ
نهر,ar,River,川,/nahara/,ɶɶɶ,ɶɶ
곱하다,ko,multiply,かける,/ko̞pʰa̠da̠/,obɶɶ,ɶɶ
muladar,es,midden,ミッドデン,/mulaðaɾ/,uɶɶ,ɶɶ
berdarah,id,bloody,血まみれ,/bərdarah/,əɶɶ,ɶɶ
hamaca,es,hammock,ハンモック,/amaka/,ɶɶɶ,ɶɶ
灰皿,ja,ashtray,灰皿,/haizaɾa/,ɶyɶɶ,ɶɶ
راقب,ar,Watch,時計,/raːqaba/,ɶɶɶ,ɶɶ
gerhana,id,eclipse,日食,/gərhana/,əɶɶ,ɶɶ
desgarrar,es,tear,破れ目,/dezɣaraɾ/,øbɶɶ,ɶɶ
فرك,ar,rub,こする,/faraka/,ɶɶɶ,ɶɶ
رفع,ar,upload,アップロード,/rafaʕa/,ɶɶɶ,ɶɶ
emballage,fr,packaging,パッケージング,/ɑ̃balaʒ/,ɑɶɶ,ɶɶ
linaza,es,flax,亜麻,/linaθa/,yɶɶ,ɶɶ
أدخل,ar,Enter,入る,/ʔadxala/,ɶbɶɶ,ɶɶ
