word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
menteri,id,/məntəri/,əməy,minister,大臣,Gendarmen,de,/gəˈndaɾmən/,əmɶəm,Gendarmen,ジェンダームン,to,əm,noun,3
minister,en,/ˈmɪnəstɝ/,ʏəbə,minister,大臣,Lineale,de,/ˈlɪnəalə/,ʏəɶə,Ruler,ルーラー,to,ʏə,noun,3
adapter,fr,/adapte/,ɶɶbø,adapt,適応する,Fagradal,is,/faɣrataːl/,ɶɶɶb,Gusts,突風,to,ɶɶ,noun,3
adaptar,es,/aðaptaɾ/,ɶɶbɶ,fit,フィット,扒带,zh-cn,/pa˥˥ taɪ˥˩/,ɶɶʏ,Picker,ピッカー,to,ɶɶ,verb,3
sopia,fi,/ˈsopiɑ/,oyɑ,make up,化粧,vô tình cảm,vi,/jo˧˥ tin˦˨ kam˧˩˨/,oymɶm,Inadvertent,不注意,to,oy,noun,3
disponibil,ro,/disponibil/,yboyyb,available,利用可能,sistématis,id,/sistematis/,ybøɶyb,systematic,系統的,to,yb,adjective,4
利用可能,ja,/ɾijoɯkanoɯ/,youɶou,Available,利用可能,hipotenusas,es,/ipotenusas/,yoøuɶb,hypotenuses,hypotenus,to,yo,adjective,5
tersedia,id,/tərsədia/,əəyɶ,available,利用可能,geckenhafter,de,/gəˈkənhaftɐ̯/,əəmɶbɐ,tied,縛られた,to,əə,adjective,4
saatavilla,fi,/ˈsɑɑtɑˌvillɑ/,ɑɑɑybɑ,at hand,手元に,enfantillages,fr,/ɑ̃fɑ̃tijaʒ/,ɑɑyɶ,childishness,子供っぽさ,to,ɑɑ,adjective,4
osificat,ro,/osifikat/,oyyɶb,ossified,骨化,동일하다,ko,/to̞ŋiɾɦa̠da̠/,oyɶɶ,same,同じ,to,oy,adjective,4
verknöchert,de,/fɛɐ̯ˈknœçɐt/,œɐbœɐb,ossified,骨化,memestikan,id,/məməstikan/,øɶɶ,Establish,設立,,,verb,3
glándula,es,/ˈglandula/,bɶmuɶ,gland,腺,泰水,zh-cn,/tʰaɪ˥˩ ʂweɪ˨˩˦/,bɶʏøʏ,Thai water,タイの水,to,bɶ,verb,3
rauhanen,fi,/ˈrɑuhɑnen/,ɑuɑøm,gland,腺,marucci,en,/mɑˈɹutʃi/,ɑuby,marucci,マルッチ,to,ɑu,noun,3
esimerkki,fi,/ˈesiˌmerkki/,øyøby,example,例,괴기소설,ko,/kø̞ɡisʰo̞sʰʌ̹ɭ/,øybobɔ,Fiction,フィクション,to,øy,noun,4
exemplu,ro,/egzemplu/,øbømbu,example,例,月給日,ja,/gekːjɯɯbi/,øbuuy,Monthly salary day,月給日,to,øb,noun,3
kaatopaikka,fi,/ˈkɑɑtoˌpɑikkɑ/,ɑɑoɑybɑ,landfill,埋め立て地,palavernden,de,/ˈpɑːlɑvɛɾndən/,ɑɑœməm,palaver,パラバー,to,ɑɑ,verb,4
entsorgen,de,/ʔɛntˈzɔɾgən/,œmbɔəm,dispose,廃棄,腌菜,zh-cn,/jɛn˥˥ tsʰaɪ˥˩/,œmbbɶʏ,Pickle,ピクルス,to,œmb,verb,3
فحص,ar,/faħasˤa/,ɶɶbɶ,to examine,調べる,cà dái dê,vi,/ka˦˨ jaj˩˧ je˧˥/,ɶɶø,Goat,ヤギ,to,ɶɶ,verb,3
examina,ro,/egzamina/,øbɶyɶ,review,レビュー,eslaboné,es,/ezlaβoˈne/,øbɶoø,Link,リンク,to,øbɶ,verb,4
tutkia,fi,/ˈtutkiɑ/,ubyɑ,explore,見る,rulpremi,eo,/rulpremi/,ubbøy,to push,プッシュする,to,ub,verb,3
조사하다,ko,/t͡ɕo̞sʰa̠ɦa̠da̠/,bobɶɶɶ,Investigate,調査,grófkristölluð,is,/krouːvkʰrɪstœtlʏð/,boubbʏbœbʏb,roughlike,粗い,to,bo,verb,4
decadence,en,/ˈdɛkədəns/,œəəmb,decadence,退廃,wertetest,de,/ˈvɛɾtəˌtɛst/,œəœbb,valued test,価値のあるテスト,to,œə,noun,3
الانحطاط,ar,/aːlinħitˤaːtˤ/,ɶymybɶb,Degeneration,変性,partisipan,id,/partisipan/,ɶyyɶm,Participants,参加者,to,ɶy,noun,4
decadencia,es,/dekaðenθja/,øɶømbɶ,decay,減衰,手長エビ,ja,/tenagaebi/,øɶɶøy,Shrimp,手長エビ,to,øɶ,noun,4
asasin,ro,/asasin/,ɶɶym,assassin,暗殺者,mannanna,is,/manana/,ɶɶɶ,men,男性,to,ɶɶ,noun,3
painike,fi,/ˈpɑinike/,ɑyyø,handle,扱う,mario's,en,/ˈmɑɹioʊz/,ɑyoʊb,mario's,マリオ,to,ɑy,noun,3
Herberge,de,/heːɐ̯bəˈɾgə/,øɐəə,hostel,ホステル,crowed,en,/ˈkɹoʊd/,oʊəʏb,crowed,鳴きました,,,noun,3
gastejo,eo,/gasteio/,ɶbøyo,Inn,宿,葛藤,ja,/katːoɯ/,ɶbou,conflict,葛藤,to,ɶb,noun,3
solidarity,en,/ˌsɑɫəˈdɛɹəti/,ɑəœəy,solidarity,連帯,dans le même temps que,fr,/dɑ̃ləmɛmtɑ̃kə/,ɑəœmɑə,at the same time as,同時に,to,ɑəœ,noun,5
連帯,ja,/ɾeɴtai/,ømɶy,solidarity,連帯,témoignasses,fr,/temwaɲas/,ømɶɶb,testimony,証言,to,ømɶ,noun,3
Solidarität,de,/zolidɑɾiˈtɛːt/,oyɑyœb,solidarity,連帯,得力助手,zh-cn,/tɤ˧˥ li˥˩ ʈʂu˥˩ ʂoʊ˨˩˦/,oyuoʊ,Helping assistant,助手を助ける,to,oy,noun,5
solidaridad,es,/soliðaɾiðað/,oyɶyɶb,solidarity,連帯,notifikasi,id,/notifikasi/,oyyɶy,notification,通知,to,oy,noun,5
malfacila,eo,/malfat͡sila/,ɶbɶbyɶ,hard,難しい,markvissari,is,/mar̥kvɪsarɪ/,ɶbʏɶʏ,purposeful,目的,to,ɶb,adjective,4
