word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
mitologi,id,mythology,神話,/mitologi/,yooy,ooy
驚き,ja,surprise,驚き,/odoɾoki/,oooy,ooy
biología,es,biology,生物学,/bjoloˈxia/,booyɶ,ooy
neologismo,es,neologism,新研究,/neoloxizmo/,øooybo,ooy
teologia,fi,theology,神学,/ˈteoˌlogiɑ/,øooyɑ,ooy
ロボトミー,ja,Robotomy,ロボトミー,/ɾobotomiː/,oooy,ooy
krokotiili,fi,crocodile,クロコダイル,/ˈkrokoˌtiili/,booyyy,ooy
filozofi,eo,philosophy,哲学,/filozofi/,yooy,ooy
monopoli,fi,monopoly,独占,/ˈmonoˌpoli/,oooy,ooy
色よい,ja,Cheerful,色よい,/iɾojoi/,yooy,ooy
promoviertem,de,doctoral,博士号,/pɾomoˈviːɾtəm/,booyəm,ooy
serologi,fi,serologist,血清学者,/ˈseroˌlogi/,øooy,ooy
zoomorfie,ro,zoomorphy,Zoomorphy,/zoomorfije/,oooyø,ooy
géopolitis,id,géopolitis,géopolitis,/geopolitis/,øooyyb,ooy
Komoroj,eo,Comoros,コモロ,/komoroi/,oooy,ooy
promovierter,de,doctoral,博士号,/pɾomoˈviːɾtɐ̯/,booyɐ,ooy
