word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
alue,fi,area,範囲,/ˈɑlue/,ɑuø,ɑu
asua,fi,live,住む,/ˈɑsuɑ/,ɑuɑ,ɑu
laukaista,fi,trigger,引き金,/ˈlɑukɑistɑ/,ɑuɑybɑ,ɑu
parturi,fi,barber,理髪師,/ˈpɑrturi/,ɑuy,ɑu
tartunta,fi,infection,感染,/ˈtɑrtuntɑ/,ɑumɑ,ɑu
rauhanen,fi,gland,腺,/ˈrɑuhɑnen/,ɑuɑøm,ɑu
kauhtana,fi,caftan,カフタン,/ˈkɑuhˌtɑnɑ/,ɑuɑɑ,ɑu
lausunto,fi,opinion,意見,/ˈlɑusunto/,ɑuumo,ɑu
enthousiasme,fr,enthusiasm,熱意,/ɑ̃tuzjasm/,ɑubɶbm,ɑu
haupitsi,fi,howitzer,howitzer,/ˈhɑupitsi/,ɑuyby,ɑu
cartooning,en,cartooning,漫画,/kɑɹˈtunɪŋ/,ɑuʏm,ɑu
Saurier,de,Dinosaur,恐竜,/zɑuːɐiːɐ̯/,ɑuɐyɐ,ɑu
farrugia,en,farrugia,ファルージア,/fɑˈɹudʒə/,ɑubə,ɑu
carlucci,en,carlucci,カルッチ,/kɑɹˈɫutʃi/,ɑuby,ɑu
maldutis,en,maldutis,Maldutis,/mɑɫˈdutɪs/,ɑuʏb,ɑu
marucci,en,marucci,マルッチ,/mɑˈɹutʃi/,ɑuby,ɑu
akuter,de,acute,急性,/ˈʔɑːkutɐ̯/,ɑuɐ,ɑu
Kanute,de,Canoe,カヌー,/ˈkɑːnutə/,ɑuə,ɑu
naukaisu,fi,nipple,乳首,/ˈnɑukɑisu/,ɑuɑyu,ɑu
zarzusky,en,zarzusky,ZARZUSKY,/zɑɹˈzuski/,ɑuby,ɑu
