word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
hallinto,fi,administration,管理,/ˈhɑllinto/,ɑbymo,ɑb
talletus,fi,deposit,デポジット,/ˈtɑlletus/,ɑbøub,ɑb
kattaa,fi,cover,カバー,/ˈkɑttɑɑ/,ɑbɑɑ,ɑb
algebra,fi,algebra,代数,/ˈɑlgebrɑ/,ɑbøbɑ,ɑb
Saxophon,de,saxophone,サックス,/zɑksɔfoːn/,ɑbɔom,ɑb
oxygen,en,oxygen,空気,/ˈɑksədʒən/,ɑbəbəm,ɑb
kallio,fi,rock,石,/ˈkɑllio/,ɑbyo,ɑb
maljakko,fi,vase,花瓶,/ˈmɑljɑkko/,ɑbɑbo,ɑb
hallita,fi,control,コントロール,/ˈhɑllitɑ/,ɑbyɑ,ɑb
kalkkuna,fi,turkey,七面鳥,/ˈkɑlkkunɑ/,ɑbbuɑ,ɑb
entreprise,fr,company,会社,/ɑ̃tʁəpʁiz/,ɑbəbyb,ɑb
entre-tuons,fr,get-up,起きる,/ɑ̃tʁətɥɔ̃/,ɑbəbɔ,ɑb
entoilasse,fr,entrance,入口,/ɑ̃twalas/,ɑbɶɶb,ɑb
Maxime,de,Maxim,マキシム,/ˈmɑːksimə/,ɑbyə,ɑb
angoissasses,fr,anxiety,不安,/ɑ̃gwasas/,ɑbɶɶb,ɑb
sanglerais,fr,strap,吊り革,/sɑ̃gləʁɛ/,ɑbəœ,ɑb
oblander,en,oblander,オブランダー,/ˈɑbɫəndɝ/,ɑbəmə,ɑb
Lafetten,de,Lafetten,ラフェッテン,/lɑˈfkɛtən/,ɑbœəm,ɑb
pamphlétaire,fr,pamphleteer,パンフレット,/pɑ̃fletɛʁ/,ɑbøœb,ɑb
Gazelle,de,gazelle,ガゼル,/ˈgɑːtsɛllə/,ɑbœbə,ɑb
harquebus,en,harquebus,ハルケバス,/ˈhɑɹkwəbəs/,ɑbəəb,ɑb
entrouverte,fr,ajar,アジャー,/ɑ̃tʁuvɛʁt/,ɑbuœbb,ɑb
balladi,fi,ballad,バラード,/ˈbɑllɑdi/,ɑbɑy,ɑb
enrouassions,fr,roller,ローラー,/ɑ̃ʁwasjɔ̃/,ɑbɶbɔ,ɑb
