word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
ライフスタイル,ja,/ɾaiɸɯsɯtaiɾɯ/,ɶyuuɶyu,Lifestyle,ライフスタイル,ولتلوك,ar,/walituluwwka/,ɶyuuɶ,And and for you,そしてあなたのために,to,yuuɶ,noun,5
生活方式,zh-cn,/ʂɤŋ˥˥ xuɔ˧˥ fɑŋ˥˥ ʂɚ˥˩/,omuɔɑmə,lifestyle,ライフスタイル,돈구멍수,ko,/to̞nɡumʌ̹ŋsʰu/,omuɔmbu,Portrait,肖像画,to,muɔ,noun,4
hyökkääjä,fi,/ˈhyøkkææjæ/,yøbæææ,striker,ストライカー,virgulino,eo,/virgulino/,ubɶyo,virgin,処女,,,verb,3
Eindringling,de,/ˈʔaenˌdɾɪŋlɪŋ/,ɶømbʏmʏm,intruder,侵入者,falencia,es,/falenθja/,ɶømbɶ,FAILIENCY,故障,to,ømb,noun,3
尖锐,zh-cn,/tɕjɛn˥˥ ʐweɪ˥˩/,bbœmøʏ,sharp,シャープ,straumflugur,is,/strœjmflʏɣʏr/,bbœmbʏʏ,fly,飛ぶ,to,bœm,verb,3
甲高い,ja,/kaɴdakai/,ɶmɶɶy,shrill,甲高い,ينبعاوي,ar,/janbaʕaːwijj/,ɶmɶɶy,Yanbawi,ヤンバウィ,to,mɶɶy,noun,4
عرض,ar,/ʕaradˤa/,ɶɶbɶ,Show,見せる,varaskjár,is,/vaːrascaːur/,ɶɶbɶu,backup,バックアップ,to,ɶbɶ,verb,3
menawarkan,id,/mənawarkan/,əɶɶɶm,offer,オファー,metallene,de,/ˈmeːtallənə/,øɶbəə,metal,金属,,,verb,4
ofrecimiento,es,/ofɾeθimjento/,obøymømo,offering,募集,cosmetizare,ro,/kosmetizare/,obøyɶø,dressing,ドレッシング,to,bøy,noun,5
pepperoni,en,/ˌpɛpɝˈoʊni/,œəoʊy,pepperoni,ペパロニ,tineo,eo,/tineo/,ymøbɶo,moth,蛾,,,noun,4
seulonta,fi,/ˈseulontɑ/,øuomɑ,screening,ふるい分け,epulon,ro,/epulon/,øuom,Empulon,エンポロン,to,uom,noun,3
pyhimys,fi,/ˈpyhimys/,yyyb,saint,聖人,لقرميد,ar,/liqirmiːd/,yyyb,Ligramid,ligramid,to,yyb,noun,3
ثقب,ar,/θaqaba/,ɶɶɶ,hole,穴,ægilegu,is,/aijɪlɛɣʏ/,œɶʏ,terrific,素晴らしい,,,noun,3
installer,fr,/ɛ̃stale/,œbɶø,install,インストール,wegschneiden,de,/ˈvɛkˌʃnaedən/,œbɶøəm,cut away,切り取る,to,bɶø,verb,3
インストール,ja,/iɴsɯtoːɾɯ/,ymuou,install,インストール,sinh tử bất kì,vi,/ʂin˧˥ tɯ˧˩˨ bɤ̆k˦˥ ki˦˨/,ymuoby,life and death,生死,to,muo,noun,4
gewöhnliche,de,/gəˈvønlɪçə/,əømʏə,ordinary,普通,cataloguâmes,fr,/katalɔgam/,ɶɶɔɶm,catalog,カタログ,,,adjective,4
tavallinen,fi,/ˈtɑvɑlˌlinen/,ɑɑbyøm,usual,いつもの,職掌,ja,/ɕokɯɕoɯ/,ouou,Position,職掌,to,,adjective,4
ordinary,en,/ˈɔɹdəˌnɛɹi/,ɔəœy,ordinary,普通,Ĉashundoj,eo,/t͡ʃashundoi/,bɶbumoy,Hunting dogs,狩猟犬,,,adjective,4
