request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,request_word_ja,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en,response_word_ja
aspirer,fr,verb,/aspiʁe/,ɶbyø,strive,努力,albier,ro,noun,/albijer/,ɶbyø,Albier,アルビエ
애쓰다,ko,verb,/ɛ̝s͈ɯda̠/,œuɶ,whittle away,泣き言を言う,phều phào,vi,adjective,/fɛu˦˨ faw˦˨/,œuɶ,graceful,優雅
注意深い,ja,adjective,/tɕɯɯibɯkai/,buuyuɶy,careful,注意深い,ekspluati,eo,verb,/ekspluati/,øbbbuɶy,to exploit,搾取する
varkár,is,adjective,/var̥kaur/,ɶɶu,cautious,注意深い,爬山鼠,zh-cn,noun,/pʰa˧˥ ʂan˥˥ ʂu˨˩˦/,ɶɶu,Mouse,ねずみ
försiktig,sv,adjective,/fœʂ'ɪkːtɪg/,œʏbʏb,careful,気をつけろ,sögusvið,is,noun,/sœːɣʏsvɪːð/,œʏbʏb,story,話
romantika,eo,adjective,/romantika/,oɶmyɶ,romantic,ロマンチック,romantika,id,noun,/romantika/,oɶmyɶ,Romance,ロマンス
lãng mạn,vi,adjective,/laŋ˧˩˨ maŋ˨ˀ˩ʔ/,ɶmɶmb,romantic,ロマンチック,armband,is,noun,/armpant/,ɶmɶmb,bracelet,ブレスレット
رومانسي,ar,adjective,/ruːmaːnsijj/,uɶmy,romantic,ロマンチック,무방비,ko,verb,/muba̠ŋbi/,uɶmy,Defenselessness,無防備
不安定,ja,adjective,/ɸɯaɴtei/,uɶmøy,unstable,不安定,blanquecí,es,noun,/blaŋkeˈθi/,bɶmøy,Blanquecí,ブランケチ
précaire,fr,adjective,/pʁekɛʁ/,bøœb,precarious,不安定,spegel,sv,noun,/²sp'eːgɛl/,bøœb,Mirror,鏡
見捨てる,ja,verb,/misɯteɾɯ/,yuøu,Abandon,見捨てる,acumetru,ro,noun,/akumetru/,ɶuøu,accuracy,正確さ
mengetuk,id,verb,/məŋətuʔ/,əəub,knock,ノック,Gegenruf,de,noun,/gəgəˈnɾuːf/,əəub,Counter -call,カウンター
dive,en,verb,/ˈdaɪv/,ɶʏb,dive,飛び込む,mallig,sv,noun,/²m'alːɪg/,ɶʏb,upstage,舞台
잠수,ko,verb,/t͡ɕa̠msʰu/,bɶmu,diving,ダイビング,scandiu,ro,adjective,/skandju/,bɶmu,scandium,スカンジウム
bucear,es,verb,/buθeaɾ/,uøɶ,Diving,ダイビング,supera,eo,adjective,/supera/,uøɶ,superior,優れました
plonĝi,eo,verb,/plond͡ʒi/,bomy,dive,飛び込む,촌시,ko,noun,/t͡ɕʰo̞nɕʰi/,bomy,Village,村
lặn,vi,verb,/lăŋ˨ˀ˩ʔ/,bmb,dive,飛び込む,جيمز,ar,noun,/dʒjmz/,bmb,James,ジェームズ
apathique,fr,adjective,/apatik/,ɶɶyb,apathetic,無関心,하달식,ko,noun,/ha̠da̠ɭɕʰik̚/,ɶɶyb,Hadal ceremony,ハダルセレモニー
lãnh đạm,vi,adjective,/lan˧˩˨ dam˨ˀ˩ʔ/,ɶmɶmb,apathetic,無関心,samband,sv,noun,/²s'amːbanːd/,ɶmɶmb,connection,繋がり
asseoir,fr,verb,/aswaʁ/,ɶɶb,Sit,座る,daras,id,noun,/daras/,ɶɶb,Daras,ダラス
앉다,ko,verb,/a̠nt͈a̠/,ɶmɶ,Sit,座る,サンカ,ja,noun,/saɴka/,ɶmɶ,Sanka,サンカ
座る,ja,verb,/sɯɰᵝaɾɯ/,uɶu,sit,座る,vú cao su,vi,noun,/ju˩˧ kaw˧˥ ʂu˧˥/,uɶu,rubber breast,ゴムの胸
glamor,id,adjective,/glamor/,bɶo,Glamor,グラマー,bắc sài hồ,vi,noun,/băk˦˥ ʂaj˦˨ ho˦˨/,bɶo,North Sai Ho,ノースサイホー
stricken,de,verb,/ˈʃtʀɪkŋ̩/,ʏbm,knit,ニット,ilm,is,noun,/ɪlm/,ʏbm,fragrance,香り
tricotat,ro,verb,/trikotat/,yoɶb,knitted,ニット,li-mô-nát,vi,noun,/li˧˥-mo˧˥-nak˦˥/,yoɶb,Li-Tat,li-tat
rebondir,fr,verb,/ʁəbɔ̃diʁ/,əɔyb,bounce,跳ねる、弾む,delore's,en,noun,/dəˈɫɔɹiz/,əɔyb,delore's,デロールの
asegurar,es,verb,/aseɣuɾaɾ/,ɶøuɶ,secure,安全,réécouta,fr,verb,/ʁeekuta/,øøuɶ,re -listened,再配置されました
assurer,fr,verb,/asyʁe/,ɶyø,to assure,保証します,나이테,ko,noun,/na̠itʰe̞/,ɶyø,annual zone,年間ゾーン
勇敢,zh-cn,verb,/jʊŋ˨˩˦ kan˨˩˦/,ʊmɶm,brave,勇敢,umsprang,de,noun,/ˈʔʊmˌʃpɾaŋ/,ʊmɶm,pounding,ドキドキ
can đảm,vi,adjective,/kaŋ˧˥ dam˧˩˨/,ɶmɶm,brave,勇敢,hangan,ro,noun,/hanɡan/,ɶmɶm,Hangan,ハンガン
rohkea,fi,adjective,/ˈrohkeɑ/,oøɑ,brave,勇敢,omega,de,verb,/ˈʔoːmegɑ/,oøɑ,omega,オメガ
hugrekki,is,adjective,/hʏɣrɛhcɪ/,ʏœʏ,courage,勇気,fylla i,sv,verb,/fʏlɛr'ɪ/,ʏœʏ,fill in,埋める
