word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
organizing,en,/ˈɔɹɡəˌnaɪzɪŋ/,ɔəɶʏʏm,organizing,組織化,voletassiez,fr,/vɔlətasje/,ɔəɶbø,steal,窃盗,to,ɔəɶ,verb,4
organizare,ro,/orɡanizare/,oɶyɶø,organization,組織,polarisasi,id,/polarisasi/,oɶyɶy,polarization,偏光,to,oɶyɶ,noun,5
組織化,ja,/soɕikika/,oyyɶ,Organization,組織化,hoikentaa,fi,/ˈhoikentɑɑ/,oyømɑɑ,slim,スリム,to,oy,noun,4
tippua,fi,/ˈtippuɑ/,ybuɑ,drip,滴下,restricted,en,/ɹiˈstɹɪktəd/,ybbʏbəb,restricted,制限付き,to,yb,verb,3
تقطر,ar,/taqatˤˤara/,ɶɶbɶɶ,drip,滴下,nhà tan cửa nát,vi,/ɲa˦˨ taŋ˧˥ kɯə˧˩˨ nak˦˥/,ɶɶmuəɶb,The house is broken,家は壊れています,to,ɶɶ,verb,4
lukea,fi,/ˈlukeɑ/,uøɑ,read,読んだ,sous-payait,fr,/supejɛ/,uøœ,sub-paid,サブペイド,to,uø,verb,3
tekijänoikeus,fi,/ˈtekijæˌnoikeus/,øyæoyøub,copyright,著作権,ressuscitassions,fr,/ʁesysitasjɔ̃/,øyyɶbɔ,resuscitation,蘇生,to,øy,noun,5
著作権,ja,/tɕosakɯkeɴ/,boɶuøm,Copyright,著作権,hljóðhimnurnar,is,/l̥jouːðhɪmnʏtnar/,boubʏmʏbɶ,the sound membranes,音膜,to,bo,noun,4
الخمور,ar,/aːlxumuːr/,ɶbuu,Alcohol,アルコール,aquieten,es,/akjeten/,ɶbøøm,They are,彼らです,to,ɶb,verb,3
kengännauha,fi,/ˈkengænˌnɑuhɑ/,ømæmɑuɑ,shoelace,靴紐,déniaiserions,fr,/denjezəʁjɔ̃/,ømøəbɔ,denying,否定,to,øm,verb,4
靴ひも,ja,/kɯtsɯçimo/,ubuyo,Shoelaces,靴ひも,supreniri,eo,/supreniri/,ubøyy,to go up,上がる,to,ub,verb,4
鞋带,zh-cn,/ɕjɛ˧˥ taɪ˥˩/,bœɶʏ,shoelace,靴紐,zermürbtest,de,/tsɛːɐ̯ˈmʏɾptɛst/,bœɐʏbœbb,tumbler test,タンブラーテスト,to,bœ,noun,3
河床,ja,/kaɕoɯ/,ɶou,Riverbed,河床,avontur,id,/avontur/,ɶomu,adventure,冒険,to,ɶo,noun,3
riverbed,en,/ˈɹɪvɝˌbɛd/,ʏəœb,riverbed,河床,schüttetet,de,/ˈʃʏtətət/,ʏəəb,pour,注ぐ,to,ʏə,verb,3
tosiasia,fi,/ˈtosiˌɑsiɑ/,oyɑyɑ,fact,事実,dominasi,id,/dominasi/,oyɶy,domination,支配,to,oy,noun,4
aviron,fr,/aviʁɔ̃/,ɶyɔ,rowing,ローイング,وليكدر,ar,/waliːakdur/,ɶyɶbu,And to disturb,そして邪魔する,to,ɶy,verb,3
canotaj,ro,/kanotaʒ/,ɶoɶ,rowing,ローイング,Ĥarkovo,eo,/xarkovo/,ɶoo,Kharkov,ハルコフ,to,ɶo,noun,3
未亡人,ja,/miboɯdʑiɴ/,youbym,widow,未亡人,일본어,ko,/iɭbo̞nʌ̹/,yoɔ,Japanese,日本,to,yo,adjective,3
