word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
article,en,/ˈɑɹtəkəɫ/,ɑəə,article,論文,mendeder,id,/məndədər/,əməə,dedeter,Dedeter,kyaku,əə,noun,3
artikel,id,/artikəl/,ɶyəb,article,論文,enemas,en,/ˈɛnəməz/,œəəb,enemas,Enemas,kyaku,əb,noun,3
brocoli,fr,/bʁɔkɔli/,bɔɔy,broccoli,ブロッコリ,pokunum,is,/pʰɔːkɔnʏm/,bɔɔʏm,bags,バッグ,to,ɔɔ,noun,3
brokolo,eo,/brokolo/,booo,broccoli,ブロッコリ,tre lồ ô,vi,/ʈɛ˧˥ lo˦˨ o˧˥/,œoo,Bamboo,竹,kyaku,oo,noun,3
도마뱀,ko,/to̞ma̠bɛ̝m/,oɶœm,lizard,トカゲ,cardizem,en,/ˌkɑɹdɪˈzɛm/,ɑʏœm,cardizem,Cardizem,kyaku,œm,noun,3
Eidechse,de,/ˈaedɛksə/,ɶøœbə,lizard,トカゲ,atéisme,id,/ateismə/,ɶøybə,atheism,無神論,kyaku,bə,noun,3
entregar,es,/entɾeɣaɾ/,ømbøɶ,deliver,配達,berkémah,id,/bərkemah/,əøɶ,camping,キャンプ,kyaku,øɶ,verb,3
afhenda,is,/aːvhɛnta/,ɶbœmɶ,deliver,配達,enlenzar,es,/enlenθaɾ/,ømømɶ,Enlenzar,Enlenzar,kyaku,mɶ,verb,3
deliver,en,/dɪˈɫɪvɝ/,ʏʏə,deliver,配達,外史,zh-cn,/uaɪ˥˩ ʂɚ˨˩˦/,uɶʏə,Foreign history,外国史,kyaku,ʏə,verb,3
ペナント,ja,/penaɴto/,øɶmo,pennant,ペナント,朝圣者,zh-cn,/ʈʂʰɑʊ˧˥ ʂɤŋ˥˩ ʈʂɤ˨˩˦/,ɑʊomo,Pilgrims,巡礼者,kyaku,mo,noun,3
osasto,fi,/ˈosɑsto/,oɑbo,department,デパートメント,inspector,ro,/inspektor/,ymbøbo,inspector,検査官,kyaku,bo,noun,3
département,fr,/depaʁtəmɑ̃/,øɶbəɑ,department,デパートメント,métastasis,id,/metastasis/,øɶbɶyb,Métastasis,メタスタシス,to,ɶb,noun,4
Abteilung,de,/ˈʔapˈtəiːlʊŋ/,ɶbəyʊm,department,デパートメント,开门红,zh-cn,/kʰaɪ˥˥ mən˧˥ xʊŋ˧˥/,bɶʏəmʊm,Start a goodbye,さようならを始めてください,kyaku,ʊm,noun,3
