word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
ストラテジー,ja,/sɯtoɾatedʑiː/,uoɶøby,strategy,ストラテジー,puolitunneittain,fi,/ˈpuolitunˌneittɑin/,uoyumøybɑym,half -hour,,to,uo,noun,5
estrategia,es,/estɾatexja/,øbbɶøbɶ,strategy,ストラテジー,décriassions,fr,/dekʁijasjɔ̃/,øbyɶbɔ,decriassions,decriassions,to,øb,noun,4
strategie,ro,/stratedʒije/,bbɶøbyø,strategy,ストラテジー,stratifiassions,fr,/stʁatifjasjɔ̃/,bbɶybɶbɔ,stratifications,層状,to,bbɶ,noun,4
Strategie,de,/ʃtʀateˈɡiː/,bɶøy,strategy,ストラテジー,janjinya,id,/dʒandʒiɲa/,bɶmbyɶ,His promise,彼の約束,to,bɶ,noun,3
strategy,en,/ˈstɹætədʒi/,bbæəby,strategy,ストラテジー,sclérosasses,fr,/skleʁozas/,bbøoɶb,sclerosases,スケロサーズ,to,bb,noun,3
glacia,eo,/glat͡sia/,bɶbyɶ,icy,氷,clauzulă,ro,/klauzulə/,bɶuuə,clause,句,to,bɶ,verb,3
pernikahan,id,/pərnikahan/,əyɶɶm,wedding,結婚式,reniflements,fr,/ʁənifləmɑ̃/,əybəɑ,sniff,スニッフ,to,əy,noun,4
海洋,ja,/kaijoɯ/,ɶyou,Ocean,海洋,adilan,id,/adilan/,ɶyɶm,Adilia,アディリア,to,ɶy,noun,3
océan,fr,/ɔseɑ̃/,ɔøɑ,ocean,海洋,causation,en,/ˌkɔˈzeɪʃən/,ɔøʏəm,causation,因果関係,to,ɔø,noun,3
subroutine,en,/ˈsəbɹuˌtin/,əbuym,subroutine,サブルーチン,知晓,zh-cn,/ʈʂɚ˥˥ ɕjɑʊ˨˩˦/,əbɑʊ,Know,知る,to,əb,verb,3
arvoinen,fi,/ˈɑrvoinen/,ɑoyøm,worth,価値,famosem,de,/ˈfɑːmozəm/,ɑoəm,famosem,Famosem,to,ɑo,adjective,3
bernilai,id,/bərnilai/,əyɶy,worth,価値,schleierhafteres,de,/ʃˈləiːɐ̯haftɐ̯əs/,əyɐɶbɐəb,more veiled,よりベールに包まれています,to,əy,adjective,4
haitallinen,fi,/ˈhɑitɑlˌlinen/,ɑyɑbyøm,harmful,危害を与える,embusquerez,fr,/ɑ̃byskəʁe/,ɑybəø,Embusque,eversque,to,ɑy,adjective,4
伝統,ja,/deɴtoɯ/,ømou,tradition,伝統,bệnh lí học,vi,/ben˨ˀ˩ʔ li˩˧ hɔk͡p˨ˀ˩ʔ/,ømbyɔbbb,pathology,病理,to,øm,noun,3
tradicio,eo,/tradit͡sio/,bɶybyo,tradition,伝統,transmigrasi,id,/transmigrasi/,bɶmbybɶy,transmigration,移行,to,bɶ,noun,4
ブロッカー,ja,/bɯɾokːaː/,uobɶ,blocker,ブロッカー,duonnormo,eo,/duonnormo/,uomoo,semi -standard,半標準,to,uo,noun,3
analyysi,fi,/ˈɑnɑˌlyysi/,ɑɑyyy,analysis,分析,cammarota,en,/kɑmɑˈɹoʊtə/,ɑɑoʊə,cammarota,カムマロタ,to,ɑɑ,noun,4
Analyse,de,/ˈʔanˌʔɑːlyzə/,ɶmɑyə,analysis,分析,ambulación,es,/ambulaˈθjon/,ɶmuɶbom,ambulation,歩行,to,ɶm,noun,4
分析,ja,/bɯɴseki/,umøy,analysis,分析,母牛,zh-cn,/mu˨˩˦ njoʊ˧˥/,umoʊ,cow,牛,to,um,noun,3
