word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
デポジット,ja,deposit,デポジット,/depodʑitːo/,øobybo,øo
depósito,es,Deposit,デポジット,/deˈposito/,øoyo,øo
世論調査,ja,poll,世論調査,/seɾoɴtɕoɯsa/,øombouɶ,øo
elokuva,fi,movie,映画,/ˈeloˌkuvɑ/,øouɑ,øo
menopauză,ro,menopause,閉経,/menopauzə/,øoɶuə,øo
eroziune,ro,erosion,侵食,/eroziune/,øoyuø,øo
eroosio,fi,erosion,侵食,/ˈerooˌsio/,øooyo,øo
personaje,es,character,キャラクター,/peɾsonaxe/,øoɶø,øo
veloittaa,fi,charge,充電,/ˈveloittɑɑ/,øoybɑɑ,øo
termostaatti,fi,thermostat,サーモスタット,/ˈtermosˌtɑɑtti/,øobɑɑby,øo
emondare,ro,pruning,剪定,/emondare/,øomɶø,øo
dénotatif,id,Dénotative,ゼロテイティブ,/denotatif/,øoɶyb,øo
pénologi,id,technology,テクノロジー,/penologi/,øooy,øo
Velofahrer,de,Cyclist,サイクリスト,/ˈveːlofɑɾɐ̯/,øoɑɐ,øo
rétorika,id,Rétories,レトリー,/retorika/,øoyɶ,øo
Ökologie,de,ecology,エコロジー,/økoloˈɡiː/,øooy,øo
Egozentrik,de,Egocentricity,エゴセントリック,/ˈʔeːgotsɛntɾik/,øobœmbyb,øo
エコツアー,ja,Eco -tour,エコツアー,/ekotsɯaː/,øobuɶ,øo
émotionnait,fr,emotion,感情,/emosjɔnɛ/,øobɔœ,øo
베도라치,ko,gunnel,砲,/pe̞do̞ɾa̠t͡ɕʰi/,øoɶbby,øo
