word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
vakero,eo,/vakero/,ɶøo,cowboy,カウボーイ,huntti,fi,/ˈhuntti/,yøɑɑb,veil,ベール,,,noun,3
koboi,id,/koboi/,ooy,cowboy,カウボーイ,فسيحظظ,ar,/faseɪaħðˤaðˤ/,ɶɶbɶmyb,He will have,彼は持っているでしょう,,,noun,3
카우보이,ko,/kʰa̠ubo̞i/,bɶuoy,cowboy,カウボーイ,spádómar,is,/spauːtoumar/,bɶuouɶ,Prophecy,預言,to,ɶuo,noun,3
cowboy,en,/ˈkaʊˌbɔɪ/,ɶʊɔʏ,cowboy,カウボーイ,了察,ja,/ɾjoɯsatsɯ/,ouɶbu,Perception,了察,,,noun,3
rólegur,is,/rouːlɛɣʏr/,ouœʏ,comfortable,快適,achopperas,fr,/aʃɔpəʁa/,bøoø,Achopperas,Achopperas,,,adjective,3
melodia,fi,/ˈmeloˌdiɑ/,øoyɑ,melody,メロディー,Memorymap,de,/ˈmeːmoɾymɑp/,øoyɑb,Memory map,メモリマップ,to,oyɑ,noun,4
メロディー,ja,/meɾodeiː/,øoøy,melody,メロディー,geodezio,eo,/geodezio/,øoøyo,Geodesy,Geodesy,to,oøy,noun,4
melodía,es,/meloˈðia/,øoyɶ,melody,メロディー,erborizat,ro,/erborizat/,øoyɶb,Erborized,エルボリッド,to,oyɶ,verb,4
preludio,es,/pɾeluðjo/,bøubo,prelude,プレリュード,preludiu,ro,/preludju/,bøubu,prelude,プレリュード,to,øub,noun,3
プレリュード,ja,/pɯɾeɾjɯːdo/,uøuo,Prelude,プレリュード,tuberkulo,eo,/tuberkulo/,uøuo,tuberculosis,結核,to,øuo,noun,4
엄청난,ko,/ʌ̹mt͡ɕʰʌ̹ŋna̠n/,ɔmbbɔmɶm,exorbitant,法外,kompletterem,de,/kɔmpˈlkɛtɐ̯əm/,ɔmbbœɐəm,more complete,もっと完全,to,mbb,adjective,3
loistava,fi,/ˈloistɑvɑ/,oybɑɑ,glorious,輝かしい,fautivement,fr,/fotivmɑ̃/,oybɑ,faultless,過失,to,ybɑ,adjective,3
dilution,fr,/dilysjɔ̃/,yybɔ,dilution,希釈,미비점,ko,/mibid͡ʑʌ̹m/,yybɔm,Insufficiency,不足,to,ybɔ,noun,3
laimennus,fi,/ˈlɑimennus/,ɑyømub,dilution,希釈,Papieren,de,/pɑˈpiːɾen/,ɑyøm,Papers,論文,to,yøm,noun,3
diluare,ro,/diluware/,yuɶø,dilution,希釈,bifurcareis,es,/bifuɾkaɾeis/,yuɶøyb,Bifurcareis,bifurcareis,to,uɶø,noun,4
Verdünnung,de,/fɛːɐ̯ˈdʏnnʊŋ/,œɐʏmʊm,dilution,希釈,وبالإغراء,ar,/wabiaːlʔiɣraːʔ/,ɶɶbɶm,And with temptation,そして誘惑で,,,noun,3
alaviite,fi,/ˈɑlɑˌviite/,ɑɑyyø,footnote,脚注,passanisi,en,/pɑsɑˈnisi/,ɑɑyy,passanisi,パサニシ,to,ɑyy,verb,4
小册子,zh-cn,/ɕjɑʊ˨˩˦ tsʰɤ˥˩ tsɯ˧/,bɑʊbbobu,booklet,冊子,endoplasmo,eo,/endoplasmo/,bɶmbuyo,endoplasm,小胞,,,noun,3
libreto,eo,/libreto/,ybøo,booklet,冊子,vidrieros,es,/biðɾjeɾos/,ybøob,Glass,ガラス,to,bøo,noun,3
etäisyys,fi,/ˈetæisyys/,øæyyyb,distance,距離,þrengdist,is,/θreiŋtɪst/,œmouʏm,tight,きつい,,,verb,3
espacement,fr,/ɛspasmɑ̃/,œbɶbɑ,spacing,間隔,대탈출,ko,/tɛ̝tʰa̠ɭt͡ɕʰuɭ/,œbɶbbu,Extract,エキス,to,bɶb,verb,3
espaciado,es,/espaθjaðo/,øbɶbɶo,spacing,間隔,괴팍하다,ko,/kø̞pʰa̠kʰa̠da̠/,øbɶbɶɶ,Be huge,巨大になりなさい,to,bɶbɶ,adjective,4
間隔,ja,/kaɴkakɯ/,ɶmɶu,interval,間隔,bánh tai tượng,vi,/ban˩˧ taj˧˥ tɯəŋ˨ˀ˩ʔ/,ɶmɶuəmb,ear cake,イヤーケーキ,to,mɶu,noun,3
pastoral,id,/pastoral/,ɶboɶb,pastoral,パストラル,gaviotas,es,/gaβjotas/,ɶboɶb,Gaviotas,gaviotas,to,boɶb,noun,3
pastoraali,fi,/ˈpɑstoˌrɑɑli/,ɑboɑɑy,pastoral,パストラル,jeram,id,/dʒəram/,əɶmɶuɶm,Rafting,ラフティング,,,noun,4
pastorale,fr,/pastɔʁal/,ɶbɔɶb,pastoral,パストラル,아서라,ko,/a̠sʰʌ̹ɾa̠/,ɶbɔɶ,Arthura,アーサー,to,bɔɶ,noun,3
التمتع,ar,/aːltamattuʕ/,ɶbɶɶbub,Enjoyment,楽しみ,afþakkaði,is,/afθahkaðɪ/,ɶbɶɶʏ,reject,拒絶,to,bɶɶ,verb,4
nauttia,fi,/ˈnɑutˌtiɑ/,ɑubyɑ,have,持ってる,mattucci,en,/mɑˈtutʃi/,ɑuby,mattucci,マトゥッチ,to,uby,verb,3
フレスコ,ja,/ɸɯɾesɯko/,uøuo,Fresco,フレスコ,tuberkulo,eo,/tuberkulo/,uøuo,tuberculosis,結核,to,øuo,noun,4
hydraulique,fr,/idʁolik/,yboyb,hydraulic,油圧,misformi,eo,/misformi/,yboy,distort,歪む,to,boy,noun,3
hidráulica,es,/iˈðɾaulika/,ybɶuyɶ,hydraulics,油圧,migdalujo,eo,/migdaluio/,ybɶuyo,almond,アーモンド,to,bɶuy,adjective,4
hydrauliikka,fi,/ˈhydrɑuˌliikkɑ/,ybɑuyybɑ,hydraulics,油圧,luxembourgeoise,fr,/lyksɑ̃buʁʒwaz/,ybɑubɶb,Luxembourg,ルクセンブルク,to,bɑu,noun,4
Unternehmen,de,/ˌʊntɐˈneːmən/,ʊmɐøəm,company,会社,aguijaríamos,es,/aɣixaˈɾiamos/,ɶmɶøɶbø,We would need,必要になるでしょう,,,noun,4
enterprise,en,/ˈɛnɝˌpɹaɪz/,œəbɶʏb,enterprise,企業,株札,ja,/kabɯɸɯda/,yøy,Share tag,株札,,,noun,3
yritys,fi,/ˈyritys/,yyyb,company,会社,dirigistes,fr,/diʁiʒist/,yyybb,managers,マネージャー,to,yyb,noun,3
empresa,es,/empɾesa/,ømbøɶ,business,仕事,bệnh nghề nghiệp,vi,/ben˨ˀ˩ʔ ŋe˦˨ ŋiəp˨ˀ˩ʔ/,ømbøyəbb,occupational disease,職業病,to,mbø,noun,3
entreprise,fr,/ɑ̃tʁəpʁiz/,ɑbəbyb,company,会社,oxygen,en,/ˈɑksədʒən/,ɑbəbəm,oxygen,空気,to,bəb,noun,3
verryttelypuku,fi,/ˈverrytˌtelyˌpuku/,øybøyuu,tracksuit,トラックスーツ,menispermáceo,es,/menispeˈɾmaθeo/,øybøɶøo,Mestispermaceo,Mestispermaceo,to,ybø,verb,6
sudadera,es,/suðaðeɾa/,uɶøɶ,hoodie,パーカー,tușaveraj,ro,/tuʃaveraʒ/,uɶøɶ,Tisaveraj,Tisaveraj,to,ɶøɶ,noun,4
survêtement,fr,/syʁvɛtmɑ̃/,ybœbɑ,tracksuit,トラックスーツ,rejected,en,/ɹiˈdʒɛktɪd/,ybœbʏb,rejected,拒否,to,bœb,verb,3
rullata,fi,/ˈrullɑtɑ/,ubɑɑ,roll,ロール,berkoték,id,/bərkoteʔ/,əoøb,COTITEK,Cotitek,to,,verb,3
indicator,ro,/indikator/,ymyɶo,road sign,道路標識,fume-cigarette,fr,/fymsigaʁɛt/,ymyɶœb,cigarette,シガレット,to,myɶ,noun,4
indikaattori,fi,/ˈindiˌkɑɑttori/,ymyɑɑboy,indicator,インジケータ,فبأيوم,ar,/fabiʔujuːm/,ɶybɶɶɶ,A day,一日,,,noun,5
مؤشر,ar,/muʔaʃʃir/,uɶy,Indicator,インジケータ,kaskelotti,fi,/ˈkɑskeˌlotti/,ɑbɑɑ,sperm whale,精子クジラ,,,noun,3
インジケータ,ja,/iɴdʑikeːta/,ymbyøɶ,indicator,インジケータ,þinglýsingu,is,/θiŋklisiŋkʏ/,ymbyymʏ,authority,権限,to,mby,noun,4
dispersión,es,/dispeˈɾsjon/,ybøbom,dispersion,分散,일계표,ko,/iɭɡje̞pʰjo/,ybøbo,Flame,火炎,to,bøbo,noun,3
hajaantua,fi,/ˈhɑjɑɑnˌtuɑ/,ɑɑɑmuɑ,scatter,散乱,talamantez,en,/tɑɫɑˈmɑntɛz/,ɑɑɑmœb,talamantez,タラマンテス,to,ɑɑm,noun,4
