,id,word,word_vowel,word_lang,pair_id,pair_word,pair_word_vowel,pair_word_lang,type,rhyme_vowel,pos,syllable
7600,612.0,ĉirkaŭ,iau,eo,726.0,إدواردو,iau,ar,kyaku,au,noun,3.0
9158,726.0,إدواردو,iau,ar,612.0,ĉirkaŭ,iau,eo,kyaku,au,noun,3.0
9572,749.0,abau,aau,id,612.0,ĉirkaŭ,iau,eo,kyaku,au,noun,3.0
10555,804.0,tripatouille,iau,fr,612.0,ĉirkaŭ,iau,eo,kyaku,au,noun,3.0
10606,808.0,becheanu,eau,ro,612.0,ĉirkaŭ,iau,eo,kyaku,au,noun,3.0
11699,855.0,cinabru,iau,ro,612.0,ĉirkaŭ,iau,eo,kyaku,au,noun,3.0
11743,857.0,Kakadu,aau,de,612.0,ĉirkaŭ,iau,eo,kyaku,au,noun,3.0
12599,915.0,亚麻布,aau,zh-cn,612.0,ĉirkaŭ,iau,eo,kyaku,au,noun,3.0
13788,998.0,氯化物,yau,zh-cn,612.0,ĉirkaŭ,iau,eo,kyaku,au,noun,3.0
14614,1058.0,abajur,aau,ro,612.0,ĉirkaŭ,iau,eo,kyaku,au,noun,3.0
14823,1075.0,atacuri,aau,ro,612.0,ĉirkaŭ,iau,eo,kyaku,au,noun,3.0
15738,1135.0,biau,iau,id,612.0,ĉirkaŭ,iau,eo,kyaku,au,noun,3.0
16245,1165.0,bangau,aau,id,612.0,ĉirkaŭ,iau,eo,kyaku,au,noun,3.0
16710,1203.0,Singapúr,iau,is,612.0,ĉirkaŭ,iau,eo,kyaku,au,noun,3.0
18868,1343.0,blidaru,iau,ro,612.0,ĉirkaŭ,iau,eo,kyaku,au,noun,3.0
19313,1373.0,filaliu,iau,ro,612.0,ĉirkaŭ,iau,eo,kyaku,au,noun,3.0
19951,1441.0,آله,aau,ar,612.0,ĉirkaŭ,iau,eo,kyaku,au,noun,3.0
21151,1556.0,喇叭裤,aau,zh-cn,612.0,ĉirkaŭ,iau,eo,kyaku,au,noun,3.0
