word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
générosité,fr,generosity,寛大さ,/ʒeneʁɔzite/,øøɔyø,yø
parentalité,fr,parenting,子育て,/paʁɑ̃talite/,ɶɑɶyø,yø
academie,ro,academy,学校,/akademije/,ɶɶøyø,yø
tytäryhtiö,fi,subsidiary,子会社,/ˈtytæˌryhtiø/,yæyyø,yø
inégalité,fr,inequality,不平等,/inegalite/,yøɶyø,yø
incubație,ro,incubation,インキュベーション,/inkubatsije/,ymuɶbyø,yø
apariție,ro,appearance,外観,/aparitsije/,ɶɶybyø,yø
rautatie,fi,railway,鉄道,/ˈrɑutɑtie/,ɑuɑyø,yø
bijuterie,ro,gem,宝石,/biʒuterije/,yuøyø,yø
comptabilité,fr,accounting,会計,/kɔ̃tabilite/,ɔɶyyø,yø
popularité,fr,popularity,人気,/pɔpylaʁite/,ɔyɶyø,yø
filozofie,ro,philosophy,哲学,/filozofije/,yooyø,yø
asimetrie,ro,asymmetry,非対称,/asimetrije/,ɶyøbyø,yø
事のついで,ja,In addition to things,事のついで,/kotonotsɯide/,ooobuyø,yø
Schmirgelpapiere,de,Smirel papers,スミレルペーパー,/ʃmɪɾgɛlpɑˈpiːɾe/,ʏœbɑyø,yø
匂菫,ja,Fragrance,匂菫,/nioisɯmiɾe/,yoyuyø,yø
xerografíe,es,xerograpia,Xerograpia,/kseɾoɣɾaˈfie/,bøoɶyø,yø
時として,ja,Sometimes,時として,/tokitoɕite/,oyoyø,yø
desentarime,es,Descent,降下,/desentaɾime/,øømɶyø,yø
Geschäftspapiere,de,Business papers,ビジネスペーパー,/gəʃɛftspɑˈpiːɾe/,əœbbbɑyø,yø
lexicalisées,fr,lexicon,レキシコン,/lɛksikalize/,œbyɶyø,yø
Putschoffiziere,de,Coup officer,クーデター役員,/pʊʧɔffiˈtsiːɾe/,ʊɔbybyø,yø
黒栗毛,ja,Black chestnut,黒栗毛,/kɯɾokɯɾige/,uouyø,yø
spiritualité,fr,spirituality,スピリチュアリティ,/spiʁitɥalite/,byybɶyø,yø
désintoxiquez,fr,detox,デトックス,/dezɛ̃tɔksike/,øœɔbyø,yø
Tennisturniere,de,Tennis tournaments,テニストーナメント,/tɛnnɪstʊɾˈniːɾe/,œmʏbʊyø,yø
