word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
sjampó,is,/sjam̥pou/,bɶmou,shampoo,シャンプー,transverso,eo,/transverso/,bɶmbøo,transverse,横方向,to,ɶm,noun,3
هستيري,ar,/histiːrijj/,ybyy,hysterical,ヒステリック,diluirles,es,/dilwiɾles/,ybyøb,Dilute them,それらを希釈します,to,by,adjective,3
ヒステリック,ja,/çisɯteɾikːɯ/,yuøybu,Hysterical,ヒステリック,Minutenzeiger,de,/minuˈtentsəɪgɐ̯/,yuømbəʏɐ,Minute hand,分針,to,uø,noun,5
histeria,eo,/histeria/,ybøyɶ,hysteria,ヒステリー,subdéléguer,fr,/sybdelege/,ybøøø,sub -delegate,サブデレゲート,to,bø,adjective,4
歇斯底里,zh-cn,/ɕjɛ˥˥ sɯ˥˥ ti˨˩˦ li˨˩˦/,bœuyy,hysteria,ヒステリー,infinity,ro,/infiniti/,ymyyy,Infinity,無限,kyaku,yy,noun,4
karateo,eo,/karateo/,ɶɶøo,karate,空手,fatahengið,is,/faːtaheiɲcɪð/,ɶɶøymʏb,clock,時計,to,ɶø,verb,4
Karate,de,/ˈkɑːɾɑtə/,ɑɑə,karate,空手,niedbala,en,/nidˈbɑɫə/,ybɑə,niedbala,ニーダバラ,kyaku,ɑə,noun,3
sungai,id,/suŋai/,uɶy,river,川,ليصاهر,ar,/liːusˤaːhir/,yubɶy,To be fascinated,魅了される,kyaku,ɶy,verb,3
نهر,ar,/nahara/,ɶɶɶ,River,川,打哈哈,zh-cn,/ta˨˩˦ xa˥˥ xa˧/,ɶɶɶ,make fun of,からかう,kyaku,ɶɶ,verb,3
مخطط,ar,/muxatˤˤitˤ/,uɶbyb,Scheme,図式,järkevyys,fi,/ˈjærkevyys/,æøyyb,rationality,合理性,kyaku,yb,noun,3
図式,ja,/zɯɕiki/,uyy,Diagram,図式,pelisir,id,/pəlisir/,əyy,pleats,プリーツ,kyaku,yy,noun,3
áætlun,is,/auːaihtlʏn/,ɶuɶybʏm,plan,予定,eveline,en,/ˈɛvəɫɪn/,œəʏm,eveline,Eveline,kyaku,ʏm,noun,3
volumen,es,/bolumen/,ouøm,volume,音量,Wurzelkeim,de,/ˈvʊɾtsɛlkaem/,ʊbœbɶøm,Root germ,根胚芽,kyaku,øm,noun,3
metsästäjä,fi,/ˈmetsæsˌtæjæ/,øbæbææ,hunter,猟師,máy dệt,vi,/măj˩˧ jet˨ˀ˩ʔ/,omɶmɶɶ,looms,織機,,,noun,4
aikakausi,fi,/ˈɑikɑˌkɑusi/,ɑyɑɑuy,era,時代,甘之如饴,zh-cn,/kan˥˥ ʈʂɚ˥˥ ʐu˧˥ i˧˥/,ɶməuy,Gan Zhi Ruya,ガン・ジ・ルヤ,kyaku,uy,noun,4
时代,zh-cn,/ʂɚ˧˥ taɪ˥˩/,əɶʏ,era,時代,Geleise,de,/gəˈlaɪ̯zə/,əɶʏə,Track,追跡,to,ɶʏ,noun,3
