word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
筷子,zh-cn,Chopsticks,箸,/kʰuaɪ˥˩ tsɯ˧/,buɶʏbu,bu
フリック,ja,Flick,フリック,/ɸɯɾikːɯ/,uybu,bu
品質,ja,quality,品質,/çiɴɕitsɯ/,ymybu,bu
トラップ,ja,trap,トラップ,/toɾapːɯ/,oɶbu,bu
鉛筆,ja,pencil,鉛筆,/eɴpitsɯ/,ømybu,bu
디저트,ko,dessert,デザート,/tid͡ʑʌ̹tʰɯ/,ybɔbu,bu
fotoliu,ro,ARMCHAIR,アームチェア,/fotolju/,oobu,bu
糖蜜,ja,Molasses,糖蜜,/toɯmitsɯ/,ouybu,bu
配達,ja,delivery,配達,/haitatsɯ/,ɶyɶbu,bu
슬레이트,ko,slate,スレート,/sʰɯɭɭe̞itʰɯ/,buøybu,bu
ministru,ro,Minister,大臣,/ministru/,yybbu,bu
小册子,zh-cn,booklet,冊子,/ɕjɑʊ˨˩˦ tsʰɤ˥˩ tsɯ˧/,bɑʊbbobu,bu
伝説,ja,Legend,伝説,/deɴsetsɯ/,ømøbu,bu
団結,ja,Unity,団結,/daɴketsɯ/,ɶmøbu,bu
グリップ,ja,grip,グリップ,/gɯɾipːɯ/,uybu,bu
対立,ja,Conflict,対立,/taiɾitsɯ/,ɶyybu,bu
検出,ja,detection,検出,/keɴɕɯtsɯ/,ømubu,bu
チューリップ,ja,Tulip,チューリップ,/tɕɯːɾipːɯ/,buybu,bu
仮説,ja,hypothesis,仮説,/kasetsɯ/,ɶøbu,bu
解決,ja,Solution,解決,/kaiketsɯ/,ɶyøbu,bu
進出,ja,Advance,進出,/ɕiɴɕɯtsɯ/,ymubu,bu
代名词,zh-cn,synonym,シノニム,/taɪ˥˩ mɪŋ˧˥ tsʰɯ˧˥/,ɶʏʏmbbu,bu
戦術,ja,tactics,戦術,/seɴdʑɯtsɯ/,ømbubu,bu
汚物,ja,Dirt,汚物,/obɯtsɯ/,oubu,bu
interview,en,interview,インタビュー,/ˈɪntɝvˌju/,ʏməbu,bu
Interview,de,interview,インタビュー,/ˈɪntɐˌvjuː/,ʏmɐbu,bu
パドック,ja,paddock,パドック,/padokːɯ/,ɶobu,bu
calandru,ro,calender,カレンダー,/kalandru/,ɶɶmbu,bu
đô ngự sử,vi,capital,資本,/do˧˥ ŋɯ˨ˀ˩ʔ ʂɯ˧˩˨/,oubu,bu
cvintuplu,ro,quintuple,quintuple,/kvintuplu/,bymubu,bu
도랏쿠,ko,Doratku,ドラトク,/to̞ɾa̠t̚kʰu/,oɶbbu,bu
pettigrew,en,pettigrew,ペティグリュー,/ˈpɛtɪˌɡɹu/,œʏbu,bu
villutrú,is,error,エラー,/vɪtlʏtʰruː/,ʏbʏbu,bu
hääitku,fi,wedding,結婚式,/ˈhææitku/,ææybu,bu
attrape-mouche,fr,graycat,グレーキャット,/atʁapmuʃ/,ɶbɶbu,bu
Raamattu,fi,Holy Bible,聖書,/ˈrɑɑmɑttu/,ɑɑɑbu,bu
鼠窃,ja,Racing,鼠窃,/sosetsɯ/,oøbu,bu
ويبدر,ar,And the jurisdiction,そして管轄区域,/weɪabdur/,øʏɶbu,bu
slipmetru,ro,Slipmeter,スリップメーター,/slipmetru/,bybøbu,bu
ruislimppu,fi,mussel,ムール貝,/ˈruislimppu/,uybymbu,bu
barbeque,en,barbeque,バーベキュー,/ˈbɑɹbɪkˌju/,ɑʏbu,bu
فندجو,ar,Vando,ヴァンド,/fanaddʒuː/,ɶɶbbu,bu
inspéktur,/inspeʔtur/,inspector,検査官,ymbøbu,id,bu
cao hút mủ,/kaw˧˥ huk͡p˦˥ mu˧˩˨/,high pus suction,高い膿吸引,ɶubbu,vi,bu
ofurtrú,is,conviction,信念,/ɔːvʏr̥tʰruː/,ɔʏbu,bu
بالمعصور,ar,In the cabin,キャビンで,/biaːlmaʕsˤuːr/,yɶbɶbbu,bu
돼지풀,ko,Pork grass,豚肉,/twɛ̝d͡ʑipʰuɭ/,bœbybu,bu
hääkimppu,fi,wedding bouquet,結婚式の花束,/ˈhæækimppu/,ææymbu,bu
ilmaisku,/ˈilmɑisku/,air strike,エアストライク,ybɑybu,fi,bu
오후스,/o̞βusʰɯ/,Afternoon,午後,oubu,ko,bu
ngoại tâm thu,vi,Foreign systolic,外国の収縮期,/ŋwaj˨ˀ˩ʔ tɤ̆m˧˥ tʰu˧˥/,mɶbombu,bu
プレビュー,ja,preview,プレビュー,/pɯɾebjɯː/,uøbu,bu
叫化子,zh-cn,Cream,クリーム,/tɕjɑʊ˥˩ xwa˥˥ tsɯ˧/,bbɑʊbɶbu,bu
maasulku,fi,ground contact,地上接触,/ˈmɑɑsulku/,ɑɑubu,bu
áo trấn thủ,vi,coat,コート,/aw˩˧ ʈɤ̆ŋ˩˧ tʰu˧˩˨/,ɶombu,bu
jiujitsu,fi,jiujitsu,柔術,/ˈjiujitsu/,yuybu,bu
税率,ja,tax rate,税率,/zeiɾitsɯ/,øyybu,bu
