word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
الجميع,ar,everybody,みんな,/aːldʒamiːʕ/,ɶbbɶyb,bbɶ
يصطدم,ar,Collide,衝突します,/jasˤtˤadim/,ɶbbɶym,bbɶ
húsnæði,is,housing,ハウジング,/huːstnaiðɪ/,ubbɶyʏ,bbɶ
الطاووس,ar,peacock,孔雀,/aːltˤaːwuːs/,ɶbbɶub,bbɶ
ぽっちゃり,ja,Chubby,ぽっちゃり,/potɕːaɾi/,obbɶy,bbɶ
pigsty,en,pigsty,ブタ,/ˈpɪɡˌstaɪ/,ʏbbɶʏ,bbɶ
afstaða,is,attitude,態度,/afstaða/,ɶbbɶɶ,bbɶ
Schrittmacher,de,Pacemaker,ペースメーカー,/ˈʃɾɪttmaxɐ̯/,ʏbbɶɐ,bbɶ
Postleitzahl,de,postal code,郵便番号,/ˈpɔstlaɪ̯ttsaːl/,ɔbbɶʏbbɶb,bbɶ
happdrætti,is,lottery,宝くじ,/hahptraihtɪ/,ɶbbɶyʏ,bbɶ
الضباب,ar,the fog,霧,/aːldˤabaːb/,ɶbbɶɶb,bbɶ
الظلام,ar,the darkness,闇,/aːlðˤalaːm/,ɶbbɶɶm,bbɶ
hastiasteis,es,You fate,あなたは運命です,/astjasteis/,ɶbbɶbøyb,bbɶ
약탕관,ko,Pharmacy,薬局,/ja̠k̚tʰa̠ŋɡwa̠n/,ɶbbɶmbɶm,bbɶ
ultraje,es,insult,侮辱,/ultɾaxe/,ubbɶø,bbɶ
alguazil,ro,Alguazil,アルグアジル,/alɡwazil/,ɶbbɶyb,bbɶ
Oldtimer,de,Antique car,アンティークカー,/ˈʔoːltˌtaɪ̯mɐ/,obbɶʏɐ,bbɶ
Typklasse,de,Type class,タイプクラス,/ˈtʏpklaszə/,ʏbbɶbə,bbɶ
大颊鼠,zh-cn,Big cheeks,大きな頬,/ta˥˩ tɕja˥˥ ʂu˨˩˦/,ɶbbɶu,bbɶ
disbrow,en,disbrow,ディスブロー,/ˈdɪsbɹaʊ/,ʏbbɶʊ,bbɶ
Gottskálksson,is,Gottskálksson,ゴッツカルクソン,/kɔhtskaul̥ksɔːn/,ɔbbɶubbɔm,bbɶ
passepoilât,fr,piping,配管,/paspwala/,ɶbbɶɶ,bbɶ
二甲醚,zh-cn,Methalin,メタリン,/aɻ˥˩ tɕja˨˩˦ mi˧˥/,ɶbbɶy,bbɶ
cựu thạch khí,vi,former jelly,元ゼリー,/kɯw˨ˀ˩ʔ tʰak˨ˀ˩ʔ xi˩˧/,ubbɶbby,bbɶ
