word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
パッケージング,ja,/pakːeːdʑiɴgɯ/,ɶbøbymu,Packaging,パッケージング,abdikasi,id,/abdikasi/,ɶbyɶy,abdication,退位,to,ɶb,noun,4
embalaje,es,/embalaxe/,ømɶɶø,packaging,パッケージング,굉장하다,ko,/kø̞ŋd͡ʑa̠ŋɦa̠da̠/,ømbɶmɶɶ,It's awesome,それは素晴らしいです,to,øm,adjective,4
Verpackung,de,/fɛːɐ̯ˈpakʊŋ/,œɐɶʊm,Packaging,パッケージング,apuntillase,es,/apuntiʎase/,øøob,Sign up,サインアップ,,,noun,3
jännitys,fi,/ˈjænnitys/,æmyyb,tension,テンション,landsberger,en,/ˈɫændzbɝɡɝ/,æmbbəə,landsberger,ランズバーガー,to,æm,noun,3
emoción,es,/emoˈθjon/,øobom,emotion,感情,lèo tèo,vi,/leo˦˨ teo˦˨/,øoøo,Sales Teo,販売TEO,to,øo,noun,3
مجفف,ar,/mudʒaffif/,ubɶbyb,dryer,ドライヤー,buscones,es,/buskones/,uboøb,Buscons,ブスコン,to,ub,noun,3
kuivausrumpu,fi,/ˈkuivɑˌusrumpu/,uyɑubumu,dryer,ドライヤー,木须肉,zh-cn,/mu˥˩ ɕy˧ ʐoʊ˥˩/,uyoʊ,Citrine,シトリン,to,uy,noun,4
pengering,id,/pəŋəriŋ/,əəym,dryer,ドライヤー,făcător,ro,/fəkətor/,əəo,maker,メーカー,to,əə,noun,3
通货膨胀,zh-cn,/tʰʊŋ˥˥ xuɔ˥˩ pʰɤŋ˧˥ ʈʂɑŋ˥˩/,bʊmuɔbomɑm,inflation,インフレーション,bureaucratese,en,/ˈbjʊɹəkɹæˌtiz/,bʊəbæyb,bureaucratese,官僚,to,bʊ,noun,4
inflation,en,/ˌɪnˈfɫeɪʃən/,ʏmbøʏəm,inflation,インフレーション,丙子年,zh-cn,/pɪŋ˨˩˦ tsɯ˨˩˦ njɛn˧˥/,ʏmbumœm,Bingzi Year,ビンジの年,to,ʏmb,noun,3
inflasi,id,/inflasi/,ymbɶy,inflation,インフレーション,민요조,ko,/miɲjod͡ʑo̞/,ymobo,Folk,フォーク,to,ym,noun,3
inflation,fr,/ɛ̃flasjɔ̃/,œbɶbɔ,inflation,インフレーション,夜宵儿,zh-cn,/jɛ˥˩ ɕjɑʊ˥˥ aɻ˧/,œbɑʊɶ,Supper,夕食,to,œb,noun,3
التضخم,ar,/aːltadˤaxxum/,ɶbɶbɶbum,Inflation,インフレーション,agrobiolog,ro,/aɡrobioloɡ/,ɶboyoob,agrobiologist,農薬学者,to,ɶb,noun,4
デザイナー,ja,/dezainaː/,øɶyɶ,designer,デザイナー,mégafon,id,/megafon/,øɶom,megaphone,メガホン,to,øɶ,noun,3
suunnittelija,fi,/ˈsuunnitˌtelijɑ/,uumybøyɑ,designer,デザイナー,우르륵하다,ko,/uɾɯɾɯkʰa̠da̠/,uuubɶɶ,Rush,急ぐ,to,uu,noun,5
designer,fr,/dizajnœʁ/,yɶœb,designate,指定,Tierhandlung,de,/ˈtiːɾandlʊŋ/,yɶmbʊm,Pet shop,ペットショップ,to,yɶ,noun,3
perancang,id,/pərantʃaŋ/,əɶmbɶm,designer,デザイナー,tătaru,ro,/tətaru/,əɶu,Tataru,タタル,to,əɶ,noun,3
taco,en,/ˈtɑkoʊ/,ɑoʊ,taco,タコス,kapokki,fi,/ˈkɑpokki/,ɑoby,kapok,カポック,to,ɑo,noun,3
tytäryhtiö,fi,/ˈtytæˌryhtiø/,yæyyø,subsidiary,子会社,devaluation,en,/ˌdivæɫjuˈeɪʃən/,yæuøʏəm,devaluation,切り下げ,to,yæ,noun,5
filio,eo,/filio/,yyo,affiliate,アフィリエイト,inhumaine,fr,/inymɛn/,yyœm,inhuman,非人道的,to,yy,noun,3
