word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
dunia,id,/dunia/,uyɶ,world,世界,naviga,ro,/naviɡa/,ɶyɶ,sail,帆,kyaku,yɶ,verb,3
valtakunta,fi,/ˈvɑltɑˌkuntɑ/,ɑbɑumɑ,kingdom,王国,embrancherions,fr,/ɑ̃bʁɑ̃ʃəʁjɔ̃/,ɑbɑəbɔ,bother,わざわざ,to,bɑ,verb,4
mencukur,id,/məntʃukur/,əmbuu,shave,剃る,urucú,es,/uɾuˈku/,uuu,Urucú,ウルク,kyaku,uu,verb,3
forfecare,ro,/forfekare/,oøɶø,SHEAR,剪断,ở bể vào ngòi,vi,/ɤ˧˩˨ be˧˩˨ jaw˦˨ ŋɔj˦˨/,oøɶɔ,in the tank into the nib,タンクでペン先に入ります,to,øɶ,noun,4
그림자,ko,/kɯɾimd͡ʑa̠/,uymbɶ,shadow,影の多い,revolta,ro,/revolta/,øobɶ,revolt,反乱,kyaku,bɶ,verb,3
洗う,ja,/aɾaɯ/,ɶɶu,wash,洗う,bantau,id,/bantau/,ɶmɶu,Bantau,バンタウ,kyaku,ɶu,noun,3
غسل,ar,/ɣasala/,ɶɶɶ,wash,洗う,やったら,ja,/jatːaɾa/,ɶbɶɶ,After doing,やったら,kyaku,ɶɶ,verb,3
会場,ja,/kaidʑoɯ/,ɶybou,venue,会場,alivio,es,/aliβjo/,ɶybo,relief,安心,to,ybo,noun,3
trapecio,es,/tɾapeθjo/,bɶøbo,trapeze,空中ブランコ,spatele,ro,/spatele/,bɶøø,the back,背面,to,ɶø,noun,3
acvatic,ro,/akvatik/,ɶbɶyb,aquatic,水生,عقلاني,ar,/ʕaqlaːnijj/,ɶbɶy,rational,合理的な,to,bɶy,adjective,3
محلل,ar,/muħallil/,uɶbyb,Analyst,アナリスト,lyfjakaup,is,/lɪvjakʰœip/,ʏbɶbœyb,purchase,購入,kyaku,yb,noun,3
ダウンロード,ja,/daɯɴɾoːdo/,ɶumoo,download,ダウンロード,Mitautor,de,/ˈmɪtˌaotoɾ/,ʏbɶoo,Co -author,共著者,kyaku,oo,noun,3
descargar,es,/deskaɾɣaɾ/,øbɶɶ,to download,ダウンロードする,癞蛤蟆,zh-cn,/laɪ˥˩ xa˧˥ ma˧/,ɶʏɶɶ,Clam,アサリ,kyaku,ɶɶ,verb,3
dedicare,ro,/dedikare/,øyɶø,dedication,献身,terminalo,eo,/terminalo/,øyɶo,terminal,ターミナル,to,yɶ,adjective,4
dedicación,es,/deðikaˈθjon/,øyɶbom,dedication,献身,省油的灯,zh-cn,/ʂɤŋ˨˩˦ joʊ˧˥ tɤ˧ tɤŋ˥˥/,omoʊoom,Fuel -saving lamp,燃料 - 救いランプ,kyaku,om,noun,4
aluat,ro,/aluwat/,ɶuɶb,it took,それは取った,ausgedacht,de,/ʔaosgədaˈçt/,ɶobəɶb,thoughtful,思慮深い,kyaku,ɶb,verb,3
memahat,id,/məmahat/,əɶɶb,sculpt,彫刻,widersprach,de,/ˈviːdɛɾspɾax/,yœbbɶb,contradict,矛盾,kyaku,ɶb,verb,3
escultura,es,/eskultuɾa/,øbubuɶ,sculpture,彫刻,inocula,ro,/inokula/,youɶ,inoculate,接種します,kyaku,uɶ,noun,4
メッセンジャー,ja,/mesːeɴdʑaː/,øbømbɶ,Messenger,メッセンジャー,selkeytys,fi,/ˈselkeytys/,øbøyyb,clarification,説明,to,bø,noun,3
