word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
ownership,en,ownership,所有,/ˈoʊnɝˌʃɪp/,oʊəʏb,ʏb
fratricide,en,fratricide,滅菌,/ˈfɹætɹəˌsaɪd/,bæbəɶʏb,ʏb
Gleichgewicht,de,balance,残高,/ˈɡlaɪ̯çɡəˌvɪçt/,bɶʏəʏb,ʏb
Besessenheit,de,obsession,執着,/bəˈzɛsn̩haɪ̯t/,əœbmɶʏb,ʏb
Müdigkeit,de,fatigue,倦怠感,/ˈmyːdɪçˌkaɪ̯t/,yʏɶʏb,ʏb
eftirlit,is,surveillance,監視,/ɛftɪrlɪːt/,œbʏʏb,ʏb
oversight,en,oversight,監視,/ˈoʊvɝˌsaɪt/,oʊəɶʏb,ʏb
Herrlichkeit,de,glory,栄光,/ˈhɛʁlɪçkaɪ̯t/,œbʏɶʏb,ʏb
copyright,en,copyright,著作権,/ˈkɑpiˌɹaɪt/,ɑyɶʏb,ʏb
membership,en,membership,メンバーシップ,/ˈmɛmbɝˌʃɪp/,œməʏb,ʏb
enterprise,en,enterprise,企業,/ˈɛnɝˌpɹaɪz/,œəbɶʏb,ʏb
leadership,en,leadership,リーダーシップ,/ˈɫidɝˌʃɪp/,yəʏb,ʏb
Aufsicht,de,At sight,一目で,/ˈʔaofˌzɪçt/,ɶobʏb,ʏb
mayonnaise,en,mayonnaise,マヨネーズ,/ˈmeɪəˌneɪz/,øʏəøʏb,ʏb
paradise,en,paradise,パラダイス,/ˈpɛɹəˌdaɪs/,œəɶʏb,ʏb
Sonnenlicht,de,sunlight,日光,/ˈzɔnənlɪçt/,ɔəmʏb,ʏb
Möglichkeit,de,possibility,可能性,/ˈmøːklɪçˌkaɪ̯t/,øbʏɶʏb,ʏb
Ergebnis,de,result,結果,/ʔɛːɐgəˈpnɪs/,œɐəbʏb,ʏb
Kochkenntnis,de,Cooking,料理,/ˈkɔxkɛnntnɪs/,ɔbœmmbʏb,ʏb
بضويء,ar,Via,経由,/bidˤuːeɪʔ/,ybuøʏb,ʏb
guimaraes,en,guimaraes,ギマラエス,/ˈɡɪmɝˌeɪz/,ʏəøʏb,ʏb
porterages,en,porterages,ポーターは,/ˈpɔɹtɝɪdʒɪz/,ɔəʏbʏb,ʏb
Segelflugzeug,de,Glider,グライダー,/ˈzeːɡl̩ˌfluːktsɔɪ̯k/,øbbbubbɔʏb,ʏb
atlantis,is,Atlantis,アトランティス,/ahtlantɪs/,ɶbɶmʏb,ʏb
Luftbasis,de,Air base,空軍基地,/ˈlʊftbɑzɪs/,ʊbbɑʏb,ʏb
svansmerkið,is,the Nordic label,北欧のラベル,/svansmɛr̥cɪð/,bɶmbœʏb,ʏb
وللبيت,ar,And for the house,そして家のために,/walilbeɪt/,ɶybøʏb,ʏb
فكالحيل,ar,As a trick,トリックとして,/fakaaːlħeɪl/,ɶɶɶbøʏb,ʏb
expressis,de,expressis,Expressis,/ˈʔɛkspɾəszɪs/,œbbbəbʏb,ʏb
dagsljósið,/taxstljousɪð/,daylight,明け,ɶbbbbouʏb,is,ʏb
فكالسيف,ar,The sword,剣,/fakaaːlseɪf/,ɶɶɶbøʏb,ʏb
التيس,ar,Tip,ヒント,/aːlteɪs/,ɶbøʏb,ʏb
Machtantritt,de,Takeover,買収,/ˈmaxtantɾɪt/,ɶbɶmbʏb,ʏb
hagkerfið,is,economy,経済,/haɣcɛrvɪð/,ɶœʏb,ʏb
فللميز,ar,For distinction,区別のために,/falilmeɪz/,ɶybøʏb,ʏb
فللكيس,ar,Locist,ロケイスト,/falilkeɪs/,ɶybøʏb,ʏb
salernið,is,the toilet,トイレ,/saːlɛrtnɪð/,ɶœbʏb,ʏb
mutineers,en,mutineers,反乱者,/ˌmjutɪˈnɪɹz/,muʏʏb,ʏb
þakklætis,is,gratitude,感謝,/θahklaitɪs/,ɶbɶyʏb,ʏb
