word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
ceniza,es,ash,灰,/θeniθa/,øyɶ,øy
éduqué,fr,educated,教育を受けた,/edyke/,øyø,øy
tenilo,eo,handle,扱う,/tenilo/,øyo,øy
emigrar,es,emigrate,移住,/emiɣɾaɾ/,øyɶ,øy
vérifier,fr,check,小切手,/veʁifje/,øybø,øy
ériger,fr,erect,直立,/eʁiʒe/,øyø,øy
décider,fr,decide,決めます,/deside/,øyø,øy
decidir,es,to decide,決定する,/deθiðiɾ/,øyy,øy
tejido,es,knitting,編み物,/texiðo/,øyo,øy
fermita,eo,closed,閉まっている,/fermita/,øyɶ,øy
désigner,fr,designate,指定,/deziɲe/,øyø,øy
teline,fi,rack,ラック,/ˈteline/,øyø,øy
résultat,fr,results,結果,/ʁezylta/,øybɶ,øy
efiko,eo,effect,効果,/efiko/,øyo,øy
équipement,fr,equipment,装置,/ekipmɑ̃/,øybɑ,øy
devigi,eo,to force,力に,/devigi/,øyy,øy
decimal,es,decimal,小数,/deθimal/,øyɶb,øy
termita,es,termite,シロアリ,/teɾmita/,øyɶ,øy
termită,ro,termite,シロアリ,/termitə/,øyə,øy
récupère,fr,recover,回復します,/ʁekypɛʁ/,øyœb,øy
geimverur,is,aliens,エイリアン,/ceimvɛrʏr/,øymœʏ,øy
déifierions,fr,would deifice,deifice,/deifjəʁjɔ̃/,øybəbɔ,øy
ghế xích đu,vi,gardenbed,ガーデンベッド,/ɣe˩˧ sit˦˥ du˧˥/,øybu,øy
pediko,eo,lice,シラミ,/pediko/,øyo,øy
melliza,es,Twin,ツイン,/meʎiθa/,øyɶ,øy
reñirán,es,They will quarrel,彼らは口論します,/reɲiˈɾan/,øyɶm,øy
競売り,ja,Auction,競売り,/seɾiɯɾi/,øyuy,øy
röhkinä,fi,grunt,うなり声,/ˈrøhkinæ/,øyæ,øy
베기우다,ko,Cut,切る,/pe̞ɡiuda̠/,øyuɶ,øy
pétikut,id,followed,続いて,/petikut/,øyub,øy
盟約,ja,Agreement,盟約,/meijakɯ/,øyɶu,øy
精液,ja,semen,精液,/seieki/,øyøy,øy
repica,es,replica,レプリカ,/repika/,øyɶ,øy
teniĝi,eo,to hold,保持する,/tenid͡ʒi/,øyby,øy
継承,ja,Inheritance,継承,/keiɕoɯ/,øyou,øy
heimsenda,is,world end,ワールドエンド,/heimsɛnta/,øymœmɶ,øy
eignaðist,is,acquired,獲得しました,/eiknaðɪst/,øybɶʏbb,øy
denigrat,ro,denigrated,中傷,/deniɡrat/,øybɶb,øy
decide,es,Decide,決めます,/deθiðe/,øyø,øy
