word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
korppikotka,fi,vulture,ハゲタカ,/ˈkorppiˌkotkɑ/,obyobɑ,bɑ
pallotella,fi,ballot,投票,/ˈpɑlloˌtellɑ/,ɑboøbɑ,bɑ
affranchissement,fr,postage,送料,/afʁɑ̃ʃismɑ̃/,ɶbɑybɑ,bɑ
palsternakka,fi,parsnip,パースニップ,/ˈpɑlsterˌnɑkkɑ/,ɑbbøɑbɑ,bɑ
hydrauliikka,fi,hydraulics,油圧,/ˈhydrɑuˌliikkɑ/,ybɑuyybɑ,bɑ
haastatella,fi,interview,インタビュー,/ˈhɑɑstɑˌtellɑ/,ɑɑbɑøbɑ,bɑ
kiemurrella,fi,curl,カール,/ˈkiemurˌrellɑ/,yøuøbɑ,bɑ
girozentrale,en,girozentrale,ジロゼントレール,/ɡɪˈɹoʊzənˌtɹɑɫ/,ʏoʊəmbɑ,bɑ
pervertissement,/pɛʁvɛʁtismɑ̃/,pervert,変態,œbœbybɑ,fr,bɑ
Dreivierteljahr,de,Nine months,9ヶ月,/ˈdɾaeviːɾtɛljɑɾ/,bɶøyœbɑ,bɑ
alessandra,en,alessandra,アレッサンドラ,/ˌæɫɛˈsændɹɑ/,æœæmbɑ,bɑ
Nonplusultra,de,Nonplusultra,nonplusultra,/ˈnɔnpluzʊltɾɑ/,ɔmbuʊbbɑ,bɑ
Zarathustra,de,Zarathustra,ザラトゥストラ,/ˈtsɑːɾatʊstɾɑ/,bɑɶʊbbɑ,bɑ
attendrissement,fr,tenderness,優しさ,/atɑ̃dʁismɑ̃/,ɶɑbybɑ,bɑ
Alexandra,de,Alexandra,アレクサンドラ,/ˈʔɑːleksandɾɑ/,ɑøbɶmbɑ,bɑ
