word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
청바지,ko,/t͡ɕʰʌ̹ŋba̠d͡ʑi/,bbɔmɶby,Blue jeans,ブルージーンズ,stromphúfan,is,/strɔm̥phuːvan/,bbɔmbuɶm,chimophaft,キモファフト,to,bɔm,noun,3
menyampaikan,id,/məɲampaikan/,əɶmɶyɶm,convey,取り次ぐ,beanstande,de,/bəˈʔanˌʃtandə/,əɶmɶmə,complaint,苦情文句,to,ɶmɶ,verb,4
relay,en,/ˈɹiˌɫeɪ/,yøʏ,relay,リレー,vidta,sv,/²v'iːdtɑːr/,ʊbʏbɔb,take,取った,,,verb,3
vertrauen,de,/fɛɐ̯ˈtʀaʊ̯ən/,œɐbɶʊəm,trust,信頼,säkert,sv,/s'ɛːkɛʈ/,ʊbʏbɔb,Safe,安全,,,verb,3
mengandalkan,id,/məŋandalkan/,əɶmɶbɶm,depend on,による,beanstande,de,/bəˈʔanˌʃtandə/,əɶmɶmə,complaint,苦情文句,to,ɶmɶ,verb,4
頼る,ja,/tajoɾɯ/,ɶou,rely,頼る,wheelchairs,en,/ˈhwiɫˌtʃɛɹz/,ɑəɶʏmb,wheelchairs,車椅子,,,verb,3
rely,en,/ɹiˈɫaɪ/,yɶʏ,rely,頼る,فلاوراق,ar,/faliʔaʊraːq/,ybɶbyb,Films,映画,,,verb,3
luottaa,fi,/ˈluottɑɑ/,uobɑɑ,trust,信頼,berättar,sv,/bɛr'ɛtːar/,bʊœmʏb,tells,言う,,,verb,3
sepustus,fi,/ˈsepustus/,øubub,scribble,落書き,neguțu,ro,/neɡutsu/,øubu,Negutu,ネグツ,to,ubu,adjective,3
落書き,ja,/ɾakɯgaki/,ɶuɶy,graffiti,落書き,فنفاتح,ar,/fanufaːtiħ/,ɶuɶyb,Fabrication,製造,to,uɶy,noun,4
Hardcover,de,/ˈhaɾtkovɐ̯/,ɶboɐ,Hardcover,ハードカバー,余芳,ja,/johoɯ/,oou,lingering fragrance,余芳,,,noun,3
enclave,es,/enklaβe/,ømbɶø,enclave,エンクレーブ,bệnh mạn tính,vi,/ben˨ˀ˩ʔ maŋ˨ˀ˩ʔ tin˩˧/,ømbɶmbym,chronic,慢性,to,mbɶ,adjective,3
クリア,ja,/kɯɾia/,uyɶ,clear,クリア,kiivastus,fi,/ˈkiivɑstus/,yyɑbub,burst of passion,情熱の爆発,,,adjective,3
asesoramiento,es,/asesoɾamjento/,ɶøoɶmømo,advice,アドバイス,adenopatie,ro,/adenopatije/,ɶøoɶyø,lymphadenopathy,リンパ節腫瘍,to,øoɶ,noun,6
neuvonta,fi,/ˈneuvontɑ/,øuomɑ,information,情報,레그혼,ko,/ɾe̞ɡɯβo̞n/,øuom,Leghorn,レグホーン,to,uom,noun,3
Beratung,de,/bəˈɾɑːtʊŋ/,əɑʊm,advisory,アドバイザリー,vendi,is,/vɛntɪ/,œyœʏ,wing,羽,,,noun,3
consiliere,ro,/konsilijere/,omyyøø,counseling,カウンセリング,コンビニスト,ja,/koɴbinisɯto/,omyyuo,Convenience store,コンビニスト,to,myy,noun,5
タクシー,ja,/takɯɕiː/,ɶuy,taxi,タクシー,hexaèdre,fr,/ɛgzaɛdʁ/,uybø,hexahedron,六面体,,,noun,3
statistics,en,/stəˈtɪstɪks/,bəʏbʏbb,statistics,統計学,kleisterigen,de,/kˈləɪstɐ̯ɪgən/,bəʏbɐʏəm,mere,ほんの,to,əʏb,noun,3
Statistiken,de,/ˈʃtɑːtɪstikən/,ɑʏbyəm,statistics,統計学,marsiglia,en,/ˌmɑɹˈsɪɡɫiə/,ɑʏbyə,marsiglia,マルシリア,to,ʏbyə,noun,4
decorate,en,/ˈdɛkɝˌeɪt/,œəøʏb,decorate,飾る,voitonmerkki,fi,/ˈvoitonˌmerkki/,ybuym,mark,マーク,,,verb,3
飾る,ja,/kazaɾɯ/,ɶɶu,decorate,飾る,heimsathygli,is,/heimsatɪklɪ/,ɶuɔʏm,worldwide,世界的に,,,verb,3
escultural,es,/eskultuɾal/,øbubuɶb,sculptural,彫刻,necruțător,ro,/nekrutsətor/,øbubəo,ruthless,冷酷な,to,bub,adjective,4
pahatan,id,/pahatan/,ɶɶɶm,sculpture,,rabâchâmes,fr,/ʁabaʃam/,ɶɶɶm,rabâchâme,ラバチーム,to,ɶɶm,adjective,3
sculptural,ro,/skulptural/,bubbuɶb,sculptural,彫刻,突っつく,ja,/tsɯtsːɯkɯ/,bubbuu,Stuck up,突っつく,to,ubbu,adjective,3
päänahka,fi,/ˈpæænɑhkɑ/,ææɑɑ,scalp,頭皮,gräva,sv,/gr'ɛːvɛr/,œʏmɶb,dig,掘る,,,noun,3
mencatut,id,/məntʃatut/,əmbɶub,profiteer,利益者,赈灾,zh-cn,/ʈʂən˥˩ tsaɪ˥˥/,əmbɶʏ,Disaster relief,災害救援,to,mbɶ,noun,3
휘발성,ko,/hɥiba̠ɭsʰʌ̹ŋ/,yɶbɔm,volatility,ボラティリティ,quỹ bảo thọ,vi,/wi˧˩˨ baw˧˩˨ tʰɔ˨ˀ˩ʔ/,yɶbɔb,Bao Tho Fund,Bao Tho Fund,to,ɶbɔ,noun,3
ボラティリティ,ja,/boɾateiɾitei/,oɶøyyøy,Volatility,ボラティリティ,fortalecimiento,es,/foɾtaleθimjento/,oɶøymømo,strengthening,強化,to,ɶøy,noun,6
Volatilität,de,/volɑtiliˈtɛːt/,oɑyyœb,volatility,ボラティリティ,authenticité,fr,/otɑ̃tisite/,oɑyyø,authenticity,信憑性,to,ɑyy,noun,5
volatilidad,es,/bolatiliðað/,oɶyyɶb,volatility,ボラティリティ,小針海豚,ja,/kohaɾiiɾɯka/,oɶyyuɶ,Small needle pig,小針海豚,to,ɶyy,noun,5
nasihat,id,/nasihat/,ɶyɶb,advice,アドバイス,マイバッグ,ja,/maibagːɯ/,ɶyɶbu,My bag,マイバッグ,to,yɶb,noun,3
kompilieren,de,/kɔmpiˈliːʁən/,ɔmyyəm,compile,コンパイル,リンパ,ja,/ɾiɴpa/,oyuy,lymph,リンパ,,,verb,4
menyusun,id,/məɲusun/,əuum,arrange,整える,dediĉo,eo,/dedit͡ʃo/,øybo,dedication,献身,,,noun,3
コンパイル,ja,/koɴpaiɾɯ/,omɶyu,compile,コンパイル,honrarías,es,/onraˈɾias/,omɶyɶb,you would honor,あなたは敬意を表します,to,mɶy,noun,3
compila,ro,/kompila/,omyɶ,compile,コンパイル,zombia,eo,/zombia/,omyɶ,zombia,ゾンビ,to,myɶ,noun,3
inkivääri,fi,/ˈinkiˌvææri/,ymyææy,ginger,ショウガ,polare,sv,/²p'uːlarɛ/,bɶmʏɶyb,Polar,極,,,noun,4
必要不可欠,ja,/çitsɯjoɯɸɯkaketsɯ/,ybuouuɶøbu,Essential,必要不可欠,bælt,is,/pail̥t/,œbbœɶʏʏbɶyɶ,suppressed,抑制,to,,adjective,7
keittiö,fi,/ˈkeittiø/,øybyø,kitchen,キッチン,reikningum,is,/reihkniŋkʏm/,øybymʏm,accounts,アカウント,to,yby,noun,3
個性的,ja,/koseiteki/,oøyøy,Individual,個性的,modernices,es,/moðeɾniθes/,oøyøb,Modernices,モダン,to,øyø,noun,4
collector,en,/kəˈɫɛktɝ/,əœbə,collector,コレクタ,Gehöften,de,/gəˈhœftən/,əœbəm,Homemade,自家製,to,œbə,noun,3
keräilijä,fi,/ˈkeræiˌlijæ/,øæyyæ,collector,コレクタ,alicatare,es,/alikataɾe/,ɶobɶbɶb,ALICATARE,Alicatare,,,noun,4
coleccionista,es,/kolekθjonista/,oøbboybɶ,collector,コレクタ,naŭno,eo,/nauno/,oøɶbyuo,ninth,9番目,to,,verb,5
コレクタ,ja,/koɾekɯta/,oøuɶ,collector,コレクタ,movedura,es,/moβeðuɾa/,oøuɶ,Movedura,Movera,to,øuɶ,noun,4
