,id,word,word_vowel,word_lang,pair_id,pair_word,pair_word_vowel,pair_word_lang,type,rhyme_vowel,pos,syllable
202,11.0,평가하다,ʌäää,ko,15.0,나타나다,ääää,ko,kyaku,äää,verb,4.0
325,15.0,나타나다,ääää,ko,11.0,평가하다,ʌäää,ko,kyaku,äää,verb,4.0
1700,97.0,계산하다,e̞äää,ko,11.0,평가하다,ʌäää,ko,kyaku,äää,verb,4.0
1916,109.0,부담하다,uäää,ko,11.0,평가하다,ʌäää,ko,kyaku,äää,verb,4.0
1994,115.0,대답하다,e̞äää,ko,11.0,평가하다,ʌäää,ko,kyaku,äää,verb,4.0
2320,133.0,요약하다,oäää,ko,11.0,평가하다,ʌäää,ko,kyaku,äää,verb,4.0
2757,171.0,찬양하다,ääää,ko,11.0,평가하다,ʌäää,ko,kyaku,äää,verb,4.0
2831,176.0,시작하다,iäää,ko,11.0,평가하다,ʌäää,ko,kyaku,äää,verb,4.0
2920,179.0,통과하다,o̞äää,ko,11.0,평가하다,ʌäää,ko,kyaku,äää,verb,4.0
3988,259.0,방황하다,ääää,ko,11.0,평가하다,ʌäää,ko,kyaku,äää,verb,4.0
4123,270.0,제안하다,e̞äää,ko,11.0,평가하다,ʌäää,ko,kyaku,äää,verb,4.0
4716,308.0,허락하다,ʌäää,ko,11.0,평가하다,ʌäää,ko,kyaku,äää,verb,4.0
4869,328.0,검사하다,ʌäää,ko,11.0,평가하다,ʌäää,ko,kyaku,äää,verb,4.0
6197,453.0,절약하다,ʌäää,ko,11.0,평가하다,ʌäää,ko,kyaku,äää,verb,4.0
