word,word_lang,word_en,word_ja,word_ipa,word_ipa_rhyme,match_ipa_rhyme
同僚,ja,colleague,同僚,/doɯɾjoɯ/,ouou,uou
動揺,ja,upset,動揺,/doɯjoɯ/,ouou,uou
夕食,ja,dinner,夕食,/jɯɯɕokɯ/,uuou,uou
方向,ja,direction,方向,/hoɯkoɯ/,ouou,uou
応答,ja,response,応答,/oɯtoɯ/,ouou,uou
黄色,ja,yellow,黄色,/oɯɕokɯ/,ouou,uou
効用,ja,utility,効用,/koɯjoɯ/,ouou,uou
統合,ja,Integration,統合,/toɯgoɯ/,ouou,uou
精霊,ja,spirit,精霊,/ɕoɯɾjoɯ/,ouou,uou
스모그,ko,smog,スモッグ,/sʰɯmo̞ɡɯ/,buou,uou
盲目,ja,Blindly,盲目,/moɯmokɯ/,ouou,uou
講堂,ja,auditorium,講堂,/koɯdoɯ/,ouou,uou
創造,ja,Creation,創造,/soɯzoɯ/,ouou,uou
症候群,ja,syndrome,症候群,/ɕoɯkoɯgɯɴ/,ououum,uou
交渉,ja,negotiation,交渉,/koɯɕoɯ/,ouou,uou
労働者,ja,Worker,労働者,/ɾoɯdoɯɕa/,ououɶ,uou
Þórólfsson,is,Thorolfsson,トロルフソン,/θouːroulsɔːn/,ououbɔm,uou
touhotus,fi,palaver,パラバー,/ˈtouhotus/,ououb,uou
puusolu,fi,wooden cell,木製のセル,/ˈpuusolu/,uuou,uou
óbóta,is,mine,私の,/ouːpouta/,ououɶ,uou
Bóbó,is,Bobo,ボボ,/pouːpou/,ouou,uou
fluorură,ro,fluoride,フッ化物,/fluorurə/,buouə,uou
órói,is,excitement,興奮,/ouːrouɪ/,ououʏ,uou
óróa,is,unrest,不安,/ouːroua/,ououɶ,uou
