word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
jousimies,fi,/ˈjousimies/,ouyyøb,Sagittarius,射手座,cavalet,ro,/kavalet/,ɶɶøb,Cavlet,洞窟,kyaku,øb,noun,3
pemanah,id,/pəmanah/,əɶɶ,archer,射手,prepara,ro,/prepara/,bøɶɶ,prepare,準備,kyaku,ɶɶ,noun,3
norocos,ro,/norokos/,ooob,lucky,ラッキー,bencenos,es,/benθenos/,ømøob,benzenes,ベンゼン,kyaku,ob,adjective,3
onnekas,fi,/ˈonnekɑs/,omøɑb,lucky,ラッキー,rompebla,eo,/rompebla/,omøbɶ,Breakable,壊れやすい,to,mø,adjective,3
exultant,en,/ɪɡˈzəɫtənt/,ʏbəəmb,exultant,歓喜,dixieland,fi,/ˈdixielɑnd/,yyøɑmb,dixieland,ディキシーランド,kyaku,mb,noun,3
exultant,fr,/ɛgzyltɑ̃/,œbybɑ,exultant,歓喜,everyman,en,/ˈɛvɹimən/,œbyəm,everyman,みんな,to,by,noun,3
楽しみ,ja,/tanoɕimi/,ɶoyy,fun,楽しみ,ékspédisi,id,/eʔspedisi/,øbbøyy,expedition,遠征,kyaku,yy,noun,4
disfrute,es,/disfɾute/,ybbuø,enjoyment,楽しみ,비치다,ko,/pit͡ɕʰida̠/,ybbyɶ,hint,ヒント,to,bb,verb,3
nautinto,fi,/ˈnɑutinto/,ɑuymo,enjoyment,楽しみ,encourir,fr,/ɑ̃kuʁiʁ/,ɑuyb,incur,発生します,to,uy,noun,3
enjoyment,en,/ˌɛnˈdʒɔɪmənt/,œmbɔʏəmb,enjoyment,楽しみ,뱀장어,ko,/pɛ̝md͡ʑa̠ŋʌ̹/,œmbɶɔ,eel,うなぎ,to,mb,noun,3
ánægja,is,/auːnaija/,ɶuɶyɶ,cheer,応援,ô xi hoá,vi,/o˧˥ si˧˥ hwa˩˧/,oyɶ,oxygen,空気,kyaku,yɶ,noun,3
bucurie,ro,/bukurije/,uuyø,joy,喜び,đu đủ tía,vi,/du˧˥ du˧˩˨ tiə˩˧/,uuyə,Popper purple,ポッパーパープル,to,uy,noun,4
너구리,ko,/nʌ̹ɡuɾi/,ɔuy,Raccoons,アライグマ,お次,ja,/otsɯgi/,obuy,Next,お次,kyaku,uy,noun,3
acosta,ro,/akosta/,ɶobɶ,to cost,コストに,aufrage,de,/ˈaoˌfɾɑːgə/,ɶobɑə,tag,鬼ごっこ,to,ob,noun,3
todiste,fi,/ˈtodiste/,oybø,evidence,証拠,nhãn chiết kế,vi,/ɲaŋ˧˩˨ ciək˦˥ ke˩˧/,ɶmyəbø,extract label,ラベルを抽出します,kyaku,bø,noun,3
暗い,ja,/kɯɾai/,uɶy,dark,暗い,evadí,es,/eβaˈði/,øɶy,I evaded,私は回避しました,kyaku,ɶy,adjective,3
infernal,ro,/infernal/,ymøɶb,infernal,地獄,synkeä,fi,/ˈsynkeæ/,ymøæ,gloomy,暗い,to,mø,adjective,3
