word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
놓치다,ko,/no̞t̚t͡ɕʰida̠/,obbbyɶ,to let go,手放す,得罪,zh-cn,/tɤ˧˥ tsweɪ˥˩/,obbøʏ,offend,気分を害する,to,bb,verb,3
Mademoiselle,fr,/madmwazɛl/,ɶbmɶœb,Miss,逃す,vinnubrögð,is,/vɪnʏprœɣð/,ʏʏbœb,working,働く,kyaku,œb,verb,3
سرج,ar,/saradʒa/,ɶɶbɶ,saddle,サドル,재소자,ko,/t͡ɕɛ̝sʰo̞d͡ʑa̠/,bœbobɶ,Inmate,受刑者,kyaku,bɶ,verb,3
長さ,ja,/nagasa/,ɶɶɶ,length,長さ,reagrava,es,/reaɣɾaβa/,øɶɶɶ,Reagrava,ReaGrava,kyaku,ɶɶ,adjective,3
longeco,eo,/longet͡so/,omøbo,length,長さ,恩恵,ja,/oɴkei/,omøy,benefit,恩恵,to,mø,noun,3
pemanas,id,/pəmanas/,əɶɶb,heating,暖房,경영학,ko,/kjʌ̹ŋjʌ̹ŋɦa̠k̚/,bɔmɔmɶb,Business,仕事,kyaku,ɶb,noun,3
hejtilo,eo,/heitilo/,øyyo,heater,ヒータ,Cabrio,de,/ˈkaːbʁio/,ɶbyo,Convertible,コンバーチブル,kyaku,yo,noun,3
memeriksa,id,/məməriʔsa/,əəybɶ,check,小切手,하위문화,ko,/ha̠ɥimunβwa̠/,ɶyumbɶ,Subculture,サブカルチャー,kyaku,bɶ,verb,4
Überprüfung,de,/ˈʔyːbɛɾpɾyfʊŋ/,yœbyʊm,examination,検査,量才录用,zh-cn,/ljɑŋ˥˩ tsʰaɪ˧˥ lu˥˩ jʊŋ˥˩/,bɑmbbɶʏuʊm,Object only,オブジェクトのみ,kyaku,ʊm,noun,4
tarkastus,fi,/ˈtɑrkɑstus/,ɑɑbub,inspection,検査,ويرؤف,ar,/weɪarʔuf/,øʏɶub,And it presents,そしてそれは提示します,kyaku,ub,verb,3
athuga,is,/aːtʏɣa/,ɶʏɶ,observe,観察する,وبيد,ar,/wabeɪda/,ɶøʏɶ,Bid,入札,kyaku,ʏɶ,verb,3
vérification,fr,/veʁifikasjɔ̃/,øyyɶbɔ,verification,検証,legitimierten,de,/legitiˈmiːɾtən/,øyyyəm,legitimized,正当化,to,yy,verb,5
manusia,id,/manusia/,ɶuyɶ,man,男,nostalgia,eo,/nostalgia/,obɶbyɶ,nostalgic,ノスタルジック,kyaku,yɶ,noun,4
