request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en
slain,en,verb,/ˈsɫeɪn/,ϕøʏm,slain,Göring,de,noun,/ˈgøːɾɪŋ/,bøʏm,Gaining
죽이다,ko,verb,/t͡ɕuɡida̠/,pϕuybɶ,To kill,colibaș,ro,verb,/kolibaʃ/,polybɶ,Colibaş
terbunuh,id,verb,/tərbunuh/,pərbumur,killed,consumuri,ro,noun,/konsumurʲ/,pomϕumur,consumption
파도,ko,verb,/pʰa̠do̞/,pɶbo,wave,baboi,ro,noun,/baboj/,bɶbo,grimalkin
명령,ko,verb,/mjʌ̹ŋɲjʌ̹ŋ/,mɔmmɔm,Command,Euronorm,de,noun,/ˈɔøɾonɔɾm/,ɔøomɔm,Euronorm
edict,en,verb,/ˈidɪkt/,ybʏpp,edict,blickt,de,verb,/ˈblɪkt/,blʏpp,look
감옥,ko,verb,/ka̠mo̞k̚/,pɶmop,prison,béngot,id,noun,/beŋot/,bømop,Béngot
penjara,id,verb,/pəndʒara/,pəmbɶrɶ,jail,barbara,eo,noun,/barbara/,bɶrbɶrɶ,Barbara
novas,en,adjective,/ˈnoʊvəz/,moʊβəβ,novas,Iberer,de,noun,/iˈbeːʁəʁ/,ybøβəβ,Iberer
luar,id,adjective,/luar/,luɶr,Outside,fugar,ro,noun,/fuɡar/,ϕuɶr,fugitive
leavy,en,adjective,/ˈɫivi/,yβy,leavy,ivi,ro,,/ivi/,yβy,IVI.
meminyaki,id,adjective,/məmiɲaki/,məmymɶpy,Oil,うれし泣き,ja,noun,/ɯɾeɕinaki/,uøϕymɶpy,Joyful
twain,en,verb,/ˈtweɪn/,prøʏm,twain,Ehering,de,noun,/ˈʔeːeɾɪŋ/,bøøʏm,Wedding ring
kembar,id,verb,/kəmbar/,pəmbɶr,twin,alegeau,ro,verb,/aledʒ̩aw/,ɶløbɶr,elected
반란,ko,verb,/pa̠ɭɭa̠n/,pɶɶm,Rebellion,baian,ro,noun,/bajan/,bɶɶm,Baiana
맷돌,ko,adjective,/mɛ̝t̚t͈o̞ɭ/,mœppo,millstone,ditco,ro,noun,/ditko/,byppo,Ditco.
透ける,ja,verb,/sɯkeɾɯ/,ϕupøu,Transparent,beteșug,ro,verb,/beteʃuɡ/,bøpøu,defiance
雀,zh-cn,verb,/tɕʰɥœ˥˩/,pϕœ,bird,percell,en,verb,/pɝˈsɛɫ/,pϕœ,percell
브롬,ko,verb,/pɯɾo̞m/,puom,bromine,一事无成,zh-cn,noun,/i˧˥ ʂɚ˥˩ u˧˥ ʈʂʰɤŋ˧˥/,yuom,No matter
괴물,ko,verb,/kø̞muɭ/,pømu,monster,ゲーム,ja,noun,/geːmɯ/,bømu,game
유전자,ko,adjective,/jud͡ʑʌ̹nd͡ʑa̠/,ubβɔmbβɶ,gene,オーシャン・サージャン,ja,noun,/oːɕaɴ saːdʑaɴ/,oϕɶϕɶbβɶ,Ocean Sahin
lelah,id,adjective,/ləlah/,ləlɶr,tired,aflau,ro,verb,/aflaw/,ɶϕlɶr,were
laca,eo,adjective,/lat͡sa/,lɶpϕɶ,tired,bizarr,de,verb,/ˈbiːtsaɾɾ/,bypϕɶ,bizarre
疲れた,ja,verb,/tsɯkaɾeta/,pϕupɶøpɶ,I'm exhausted,alfabeta,eo,adjective,/alfabeta/,ɶlϕɶbøpɶ,alphabetical
huffy,en,adjective,/ˈhəfi/,rəϕy,huffy,besi,id,noun,/bəsi/,bəϕy,iron
pemarah,id,adjective,/pəmarah/,pəmɶrɶr,grumpy,actuar,ro,noun,/aktuwar/,ɶppurɶr,actuary
높은,ko,adjective,/no̞pʰɯn/,mopum,High,Backhuhn,de,noun,/ˈbakun/,bɶpum,Baking chicken
tinggi,id,adjective,/tiŋgi/,pymby,high,combi,ro,noun,/kombi/,pomby,fight
gumpalan,id,verb,/gumpalan/,bumpɶlɶm,Clump,布告栏,zh-cn,noun,/pu˥˩ kɑʊ˥˩ lan˧˥/,pupɒʊlɶm,bulletin board
일종,ko,verb,/iɭd͡ʑo̞ŋ/,ybβom,Sort,barbón,es,noun,/baɾˈβon/,bɶβom,Barbón.
uncut,en,adjective,/ˌənˈkət/,əmpəp,uncut,capăt,ro,noun,/kapət/,pɶpəp,end
slick,en,adjective,/ˈsɫɪk/,ϕʏp,slick,ficht,de,verb,/ˈfɪçt/,ϕʏp,faint
멋진,ko,adjective,/mʌ̹t̚t͡ɕ͈in/,mɔppϕym,Cool,folosim,ro,verb,/folosim/,ϕoloϕym,we use
licin,id,adjective,/litʃin/,lypym,slippery,alpin,ro,adjective,/alpin/,ɶlpym,Alpine
lerta,eo,adjective,/lerta/,lørpɶ,Ready,aorta,id,noun,/aorta/,ɶorpɶ,Aorta
青い,ja,adjective,/aoi/,ɶoy,blue,알로기,ko,noun,/a̠ɭɭo̞ɡi/,ɶoy,Aliol
