word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
inminente,es,/imminente/,ymyømø,imminent,差し迫った,sinkilöinti,fi,/ˈsinkiˌløinti/,ymyøymy,single,独身,to,myø,adjective,4
yfirvofandi,is,/ɪːvɪrvɔːvantɪ/,ʏʏɔɶmʏ,imminent,差し迫った,上値,ja,/ɯɰᵝane/,uybuuu,Upper value,上値,,,adjective,5
iminent,ro,/iminent/,yyømb,imminent,差し迫った,dirigen,es,/diɾixen/,yyøm,direct,直接,to,yøm,noun,3
kerikil,id,/kərikil/,əyyb,gravel,砂利,demi-litres,fr,/dəmilitʁ/,əyybb,half liters,半リットル,to,yyb,noun,3
アフィリエイト,ja,/aɸiɾieito/,ɶyyøyo,affiliate,アフィリエイト,magnificentes,es,/maɣnifiθentes/,ɶyyømøb,Magnifying,拡大,to,yyø,noun,5
affiliate,en,/əˈfɪɫiˌeɪt/,əʏyøʏb,affiliate,アフィリエイト,sugel,ro,/sudʒel/,øuybə,suck,吸う,,,noun,4
liittää,fi,/ˈliittææ/,yybææ,attach,取り付けます,expulsie,ro,/ekspulsije/,øboɶb,expulsion,追放,,,noun,3
dominio,es,/dominjo/,oymo,domain,ドメイン,ノーヒント,ja,/noːçiɴto/,oymo,No hint,ノーヒント,to,ymo,noun,3
asenne,fi,/ˈɑsenne/,ɑømø,stance,スタンス,enchaîniez,fr,/ɑ̃ʃenje/,ɑømø,chain,鎖,to,ømø,noun,3
スタンス,ja,/sɯtaɴsɯ/,uɶmu,stance,スタンス,구한국,ko,/ˈkuːɦa̠nɡuk̚/,uɶmub,Gu Han -guk,Gu Han -Guk,to,ɶmu,noun,3
afstaða,is,/afstaða/,ɶbbɶɶ,attitude,態度,大颊鼠,zh-cn,/ta˥˩ tɕja˥˥ ʂu˨˩˦/,ɶbbɶu,Big cheeks,大きな頬,to,bbɶ,noun,3
position,fr,/pozisjɔ̃/,oybɔ,position,位置,Horizonts,de,/ˈhoːɾitsɔnts/,oybɔmbb,Horizonts,Horizo​​nts,to,ybɔ,noun,3
epitelio,eo,/epitelio/,øyøyo,epithelium,上皮,冷静になる,ja,/ɾeiseininaɾɯ/,øyøyyɶu,chill out,冷静になる,to,yøy,verb,5
epithelium,en,/ˌɛpɪˈθiɫjəm/,œʏyəm,epithelium,上皮,terminierte,de,/tɛɾˈmɪniːɾtə/,œʏyə,scheduled,スケジュール,to,ʏyə,verb,4
épithélium,fr,/epiteljɔm/,øyøbɔm,epithelium,上皮,rekiretki,fi,/ˈrekiˌretki/,øyøby,sled,そり,to,yøb,verb,4
metsästys,fi,/ˈmetsæstys/,øbæbyb,hunting,狩猟,엉두덜엉두덜하다,ko,/ʌ̹ŋdudʌ̹ɾʌ̹ŋdudʌ̹ɾɦa̠da̠/,ɶboym,Clump,塊,,,verb,3
sigiliu,ro,/sidʒilju/,ybybu,seal,密閉する,ficticios,es,/fiktiθjos/,ybybob,fictitious,架空の,to,byb,noun,3
海豹,zh-cn,/xaɪ˨˩˦ pɑʊ˥˩/,ɶʏɑʊ,seal,密閉する,capsize,en,/ˈkæpˌsaɪz/,ʏɶʏ,capsize,カプサイズ,,,noun,3
タコス,ja,/takosɯ/,ɶou,Taco,タコス,Ketilsdóttir,is,/cʰɛːtɪlstouhtɪr/,ɶmbɔbʏm,Ketilsdóttir,Ketilsdóttir,,,noun,3
taco,en,/ˈtɑkoʊ/,ɑoʊ,taco,タコス,acira,ro,/atʃira/,ɶbyɶ,Acira,アシラ,,,noun,3
dovadă,ro,/dovadə/,oɶə,proof,証拠,hành động sân khấu,vi,/han˦˨ doŋ͡m˨ˀ˩ʔ ʂɤ̆ŋ˧˥ xɤ̆w˩˧/,ummobø,Theater action,劇場のアクション,,,noun,3
todiste,fi,/ˈtodiste/,oybø,evidence,証拠,faufiliez,fr,/fofilje/,oybø,faufiliez,faufiliez,to,ybø,noun,3
mengalihkan,id,/məŋalihkan/,əɶyɶm,divert,迂回します,remaquillasse,fr,/ʁəmakijas/,əɶyɶb,remaquillasse,レマキラス,to,ɶyɶ,noun,4
ohjata,fi,/ˈohjɑtɑ/,oɑɑ,control,コントロール,인원,ko,/inwʌ̹n/,ɶɶbum,personnel,職員,,,noun,3
cărucior,ro,/kərutʃ̩or/,əubo,trolley,トロリー,nattetid,sv,/²n'atːɛtiːd/,yʊʏ,at night,夜に,to,,adjective,3
