word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
ハスキー,ja,/hasɯkiː/,ɶuy,Husky,ハスキー,심퉁이,ko,/ɕʰimtʰuŋi/,bymbuy,Culmination,頂点,kyaku,uy,noun,3
jättiläinen,fi,/ˈjættiˌlæinen/,æbyæyøm,giant,巨人,mascullasen,es,/maskuʎasen/,ɶbuɶøm,Male,男,kyaku,øm,noun,4
raksasa,id,/raʔsasa/,ɶbɶɶ,giant,巨人,泥娃娃,zh-cn,/ni˧˥ wa˧˥ wa˧/,yɶɶ,Mud doll,泥の人形,kyaku,ɶɶ,noun,3
suciedad,es,/suθjeðað/,ubøɶb,dirt,泥,근본악,ko,/kɯnbo̞na̠k̚/,umoɶb,Fundamental evil,基本的な悪,kyaku,ɶb,noun,3
murdărie,ro,/murdərije/,uəyø,dirt,泥,Arbeitstiere,de,/ʔaɾbaetstiːɾe/,ɶɶøbbyø,Work animals,働く動物,kyaku,yø,noun,4
interloper,en,/ˈɪntɝˌɫoʊpɝ/,ʏməoʊə,interloper,インターロパー,hingestrecktes,de,/hɪngəˈʃtɾɛktəs/,ʏməbœbəb,stretched out,伸ばした,to,mə,adjective,4
متطفل,ar,/mutatˤaffil/,uɶbɶbyb,Parasitical,寄生虫,syömättömyys,fi,/ˈsyømætˌtømyys/,yøæbøyyb,inaugural,最初の,kyaku,yb,adjective,4
välittäjä,fi,/ˈvælitˌtæjæ/,æybææ,appellant,控訴人,وكلاجئ,ar,/wakalaːdʒiʔ/,ɶɶɶbyb,And as a refugee,そして難民として,to,,adjective,4
gabungan,id,/gabuŋan/,ɶuɶm,combined,組み合わせた,jalousâmes,fr,/ʒaluzam/,ɶuɶm,jealous,嫉妬,to,uɶm,adjective,3
compozit,ro,/kompozit/,omoyb,composite,複合,glórulaus,is,/klouːrʏlœiːs/,bouʏœyb,glorious,輝かしい,kyaku,yb,adjective,3
menipu,id,/mənipu/,əyu,deceptive,欺ceptive,Beirut,de,/bəˈʔiːɾut/,əyub,Beirut,ベイルート,to,yu,noun,3
pestañas,es,/pestaɲas/,øbɶɶb,tabs,タブ,refrakto,eo,/refrakto/,øbɶbo,refraction,屈折,to,bɶ,noun,3
選択,ja,/seɴtakɯ/,ømɶu,Selection,選択,كبربوش,ar,/kabarbuːʃ/,ɶɶu,Kalboush,カルブーシュ,kyaku,ɶu,noun,3
pilihan,id,/pilihan/,yyɶm,choice,選択,linia,eo,/linia/,yyɶ,Line,ライン,to,yɶ,noun,3
selection,en,/səˈɫɛkʃən/,əœbəm,selection,選択,remercie,fr,/ʁəmɛʁsi/,əœby,thanks,ありがとう,to,œb,noun,3
menyampaikan,id,/məɲampaikan/,əɶmɶyɶm,convey,取り次ぐ,geankerte,de,/gəˈʔanˌkɛɾtə/,əɶmœə,anchored,固定されています,to,ɶm,verb,4
relay,en,/ˈɹiˌɫeɪ/,yøʏ,relay,リレー,点缀,zh-cn,/tjɛn˨˩˦ ʈʂweɪ˥˩/,bœmøʏ,Embellish,飾る,kyaku,øʏ,verb,3
社会主義者,ja,/ɕakaiɕɯgiɕa/,ɶɶyuyɶ,Socialist,社会主義者,osteología,es,/osteoloˈxia/,obøooyɶ,osteology,骨学,kyaku,yɶ,noun,5
socialiste,fr,/sɔsjalist/,ɔbɶybb,socialist,社会主義者,Gesandtschaft,de,/gəˈzanttstshaft/,əɶmbbbbbɶbb,Legation,公使館,kyaku,bb,noun,3
socialist,en,/ˈsoʊʃəɫəst/,oʊəəbb,socialist,社会主義者,有人缘,zh-cn,/joʊ˨˩˦ ʐən˧˥ ɥœn˧˥/,oʊəmœm,Popularity,人気,to,ʊə,noun,3
المعتقل,ar,/aːlmuʕtaqal/,ɶbubɶɶb,Detainee,拘留者,khinh người như rác,vi,/xin˧˥ ŋɯəj˦˨ ɲɯ˧˥ ʐak˦˥/,ymuəuɶb,disdain like trash,ゴミのように軽da,kyaku,ɶb,noun,4
arestito,eo,/arestito/,ɶøbyo,Senior,シニア,ihonhoito,fi,/ˈihonˌhoito/,yomoyo,skin care,スキンケア,kyaku,yo,noun,4
tahanan,id,/tahanan/,ɶɶɶm,prisoner,囚人,كخلجان,ar,/kaxuldʒaːn/,ɶubbɶm,As a bitch,雌犬として,kyaku,ɶm,noun,3
săritor,ro,/səritor/,əyo,jumper,ジャンパー,merino,en,/mɝˈinoʊ/,əyoʊ,merino,メリノ,to,yo,noun,3
ビーチサンダル,ja,/biːtɕisaɴdaɾɯ/,ybyɶmɶu,Beach sandal,ビーチサンダル,Vierzigerinnen,de,/ˈviːɾtsigeɾɪnnən/,ybyøʏməm,Forties,40年代,to,by,noun,5
chancletas,es,/tʃankletas/,bɶmbøɶb,flip flops,ビーチサンダル,Missetat,de,/ˈmɪsətaːt/,ʏəɶb,Misprint,誤植,kyaku,ɶb,noun,3
السجاد,ar,/aːlsadʒʒaːd/,ɶbɶbɶb,Carpet,カーペット,balabad,id,/balabad/,ɶɶɶb,Balabad,バラバッド,kyaku,ɶb,noun,3
