word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
tabrakan,id,/tabrakan/,ɶbɶɶm,crash,クラッシュ,salgadas,es,/salgaðas/,ɶbɶɶb,Salgadas,サルガダ,to,bɶɶ,noun,3
kolizio,eo,/kolizio/,oyyo,collision,衝突,poliizopren,ro,/poliizopren/,oyyobøm,polyizoprene,ポリゾプレン,to,yyo,noun,4
衝突,ja,/ɕoɯtotsɯ/,ouobu,collision,衝突,módulos,es,/ˈmoðulos/,ouob,Modules,モジュール,to,uob,noun,3
collision,en,/kəˈɫɪʒən/,əʏəm,collision,衝突,Gestirnen,de,/gəˈʃtɪɾnən/,əʏəm,Streak,ストリーク,to,ʏəm,noun,3
juliste,fi,/ˈjuliste/,uybø,poster,ポスター,분일제,ko,/puniɭd͡ʑe̞/,uybø,Daily,毎日,to,ybø,noun,3
포스터,ko,/pʰo̞sʰɯtʰʌ̹/,bobubɔ,poster,ポスター,broscuță,ro,/broskutsə/,bobubə,frog,カエル,to,obub,noun,3
avalanche,fr,/avalɑ̃ʃ/,ɶɶɑ,avalanche,雪崩,bospara,sv,/²b'uːspɑːra/,œʏmɶ,Boy,男の子,,,noun,3
lumivyöry,fi,/ˈlumiˌvyøry/,uyyøy,avalanche,雪崩,rusifique,es,/rusifike/,uyyø,rusify,再用します,to,yyø,noun,4
lavango,eo,/lavango/,ɶɶmo,an avalanche,雪崩,karambol,id,/karambol/,ɶɶmob,carom,キャロム,to,ɶmo,noun,3
雪崩,ja,/nadaɾe/,ɶɶø,avalanche,雪崩,Lollý,is,/lɔli/,œʏmɶ,Lolly,ロリー,,,noun,3
退屈,ja,/taikɯtsɯ/,ɶyubu,boring,退屈,majuskla,eo,/maiuskla/,ɶyubbɶ,uppercase,大文字,to,yub,noun,3
plictisit,ro,/pliktisit/,bybyyb,bored,退屈,cicilan,id,/tʃitʃilan/,bybyɶm,instalment,取り付け,to,yby,verb,3
gelangweilt,de,/gəˈlaŋvaelt/,əɶmɶøbb,bored,退屈,remaniâtes,fr,/ʁəmanjat/,əɶmɶb,reminiâtes,reminiâtes,to,ɶmɶ,verb,3
reforma,es,/refoɾma/,øoɶ,reform,改革,whiz-zip-bang,en,/ˈwɪzˈzɪpˈbæŋ/,ʏbʏbæm,whiz-zip-bang,whiz-zip-bang,,,noun,3
pembaruan,id,/pəmbaruan/,əmɶuɶm,update,アップデート,分岔路,zh-cn,/fən˥˥ ʈʂʰa˥˩ lu˥˩/,əmɶu,Bifurcation road,分岐道路,to,mɶu,noun,3
改革,ja,/kaikakɯ/,ɶyɶu,reform,改革,kajaŭo,eo,/kaiauo/,ɶyɶuo,platform,プラットホーム,to,yɶu,noun,3
gallina,es,/gaʎina/,ɶyɶ,chicken,チキン,Grjóteyri,is,/krjouːteirɪ/,bouøyʏ,Grjóteyri,Grjóteyri,,,verb,3
kokino,eo,/kokino/,oyo,hen,鶏,cubic's,en,/ˈkjubɪks/,ʏoʊə,cubic's,立方体,,,noun,3
banjo,en,/ˈbænˌdʒoʊ/,æmboʊ,banjo,バンジョー,jambu,id,/dʒambu/,əmubu,guava,グアバ,,,noun,3
sombrero,fr,/sɔ̃bʁeʁo/,ɔbøo,sombrero,ソンブレロ,어제오늘,ko,/ʌ̹d͡ʑe̞o̞nɯɭ/,ɔbøou,Yesterday Today,今日は昨日,to,bøo,noun,3
sombrero,en,/sɑmˈbɹɛɹoʊ/,ɑmbœoʊ,sombrero,ソンブレロ,bahnbrechendes,de,/ˈbɑnbrɛçɛndəs/,ɑmbœœməb,groundbreaking,画期的な,to,mbœ,noun,4
石英,ja,/sekiei/,øyøy,quartz,石英,demiteri,ro,/demiterʲ/,øyøy,dismissals,解雇,to,yøy,noun,3
サポーター,ja,/sapoːtaː/,ɶoɶ,Supporter,サポーター,reazem,ro,/reazem/,ooɶ,support,サポート,,,noun,3
stuðningsmaður,is,/stʏðniŋksmaːðʏr/,bʏbymbbɶʏ,supporter,サポーター,Grislibären,de,/ˈgɾɪslibɛɾən/,bʏbyœəm,Grislibar,グリスリバル,to,ʏby,noun,4
tukija,fi,/ˈtukijɑ/,uyɑ,supporter,サポーター,återbetalar,sv,/²'oːtɛrbɛtɑːlar/,œbɵbbʏm,Refunds,払い戻し,,,noun,3
pendukung,id,/pəndukuŋ/,əmuum,supporters,サポーター,闷葫芦,zh-cn,/mən˥˩ xu˧˥ lu˧/,əmuu,Stuffed gourd,ひょうたんのぬいぐるみ,to,muu,noun,3
الدموع,ar,/aːldumuːʕ/,ɶbuub,Tears,涙,合する,ja,/gasːɯɾɯ/,ɶbuu,Combine,合する,to,buu,adjective,3
itkuinen,fi,/ˈitkuinen/,ybuyøm,crying,泣いている,discourûtes,fr,/diskuʁyt/,ybuyb,discourteous,不誤り,to,buy,adjective,3
