word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
浸透,ja,/ɕiɴtoɯ/,ymou,Penetration,浸透,hình bầu dục,vi,/hin˦˨ bɤ̆w˦˨ juk͡p˨ˀ˩ʔ/,ymoubbb,Ellipse,楕円,to,mou,noun,3
infiltrer,fr,/ɛ̃filtʁe/,œybbø,infiltrate,浸透します,rauðskeggur,is,/rœiðscɛkʏr/,œybbœʏ,redhead,赤毛,to,ybb,verb,3
tihkua,fi,/ˈtihkuɑ/,yuɑ,exude,滲出します,kernyau,id,/kərɲau/,əɶu,crunch,噛み砕く,,,verb,3
filtrarse,es,/filtɾaɾse/,ybbɶø,leak out,漏れ出す,للطامح,ar,/liltˤaːmiħ/,ybbɶyb,For aspiring,意欲のために,to,bbɶ,verb,3
クラッシュ,ja,/kɯɾaɕːɯ/,uɶbu,crash,クラッシュ,رونالدو,ar,/ruːnaːlduː/,uɶbu,Ronaldo,ロナルド,to,ɶbu,noun,3
يصطدم,ar,/jasˤtˤadim/,ɶbbɶym,Collide,衝突します,약탕관,ko,/ja̠k̚tʰa̠ŋɡwa̠n/,ɶbbɶmbɶm,Pharmacy,薬局,to,bbɶ,noun,3
kaatua,fi,/ˈkɑɑtuɑ/,ɑɑuɑ,fall,秋,nördlicheren,de,/ˈnœɾtlɪçɐ̯ən/,œbʏɐəm,northern,北,,,noun,3
reducere,ro,/redutʃere/,øubøø,reduction,割引,dépoussiérer,fr,/depusjeʁe/,øubøø,dust,ほこり,to,ubøø,noun,4
اختزال,ar,/ixtizaːl/,ybyɶb,shorthand,速記,입히다,ko,/ipʰida̠/,ybyɶ,plate,皿,to,byɶ,noun,3
pengurangan,id,/pəŋuraŋan/,əuɶɶm,subtraction,減算,細見,ja,/saikeɴ/,ɶmuuømɶm,Cats,細見,,,noun,4
dunganto,eo,/dunganto/,umɶmo,employer,雇用者,분양지,ko,/puɲja̠ŋd͡ʑi/,umɶmby,Pre -sale site,プレセールサイト,to,mɶm,noun,3
employer,en,/ɛmˈpɫɔɪɝ/,œmbɔʏə,employer,雇用者,Endlosdruck,de,/ˈʔɛndlɔzdɾʊk/,œmbɔbbʊb,Endless pressure,無限の圧力,to,mbɔ,noun,3
تشوش,ar,/taʃawwaʃa/,ɶɶɶɶ,confusion,錯乱,ba gai ba ngạnh,vi,/ba˧˥ ɣaj˧˥ ba˧˥ ŋan˨ˀ˩ʔ/,ɶɶɶɶmb,Three thirds,3分の3,to,ɶɶɶ,noun,4
navegar,es,/naβeɣaɾ/,ɶøɶ,browse,ブラウズ,lamellikuljetin,fi,/ˈlɑmelliˌkuljetin/,ømɑɑy,lamellar conveyor,ラメラコンベア,,,verb,3
berlayar,id,/bərlajar/,əɶɶ,sail,帆,報時,ja,/hoɯdʑi/,uou,Time of report,報時,,,verb,3
naviga,ro,/naviɡa/,ɶyɶ,sail,帆,subassemblies,en,/ˌsəbəˈsɛmbɫiz/,ɑɑə,subassemblies,サブアセンブリ,,,verb,3
Barbier,de,/baɾˈbiːɐ̯/,ɶyɐ,barber,理髪師,ruin,sv,/rɵ'iːn/,œmœœ,ruin,破滅,,,noun,3
이발사,ko,/iba̠ɭsʰa̠/,yɶbɶ,barber,理髪師,diastazo,eo,/diastazo/,yɶbɶo,diastasis,拡張,to,ɶbɶ,noun,3
barbiro,eo,/barbiro/,ɶyo,barber,理髪師,Mischung,de,/ˈmɪʃʊŋ/,ʊbbbʏbəm,mixture,混合,,,noun,3
理发师,zh-cn,/li˨˩˦ fa˥˩ ʂɚ˥˥/,yɶə,barber,理髪師,Implementationsarbeiten,de,/ʔɪmplemɛntɑtsĭonzaɾˈbəiːtən/,øœbɶmmb,Implementation work,実装作業,,,noun,3
sopiro,eo,/sopiro/,oyo,longing,憧れ,바로잡아지다,ko,/pa̠ɾo̞d͡ʑa̠ba̠d͡ʑida̠/,ɶyɶ,Correct,正しい,,,noun,3
kerinduan,id,/kərinduan/,əymuɶm,longing,憧れ,tringleraient,fr,/tʁɛ̃gləʁɛ/,bœbəœ,would ride,乗る,,,noun,3
憧れ,ja,/akogaɾe/,ɶoɶø,longing,憧れ,marcotare,ro,/markotare/,ɶoɶø,Marking,マーキング,to,oɶø,noun,4
nostalgia,es,/nostalxja/,obɶbbɶ,nostalgia,ノスタルジア,octatlon,ro,/oktatlon/,obɶbom,Ocatlon,オカトロン,to,bɶb,noun,3
動揺,ja,/doɯjoɯ/,ouou,upset,動揺,touhotus,fi,/ˈtouhotus/,ououb,palaver,パラバー,to,uou,noun,3
運転手,ja,/ɯɴteɴɕɯ/,umømu,driver,運転手,kunsenco,eo,/kunsent͡so/,umømbo,an attachment,付属物,to,møm,noun,3
leopardo,es,/leopaɾðo/,øoɶo,leopard,ヒョウ,neobaroc,ro,/neobarok/,øoɶob,Baroque,バロック,to,oɶo,adjective,3
السماد,ar,/aːlsamaːd/,ɶbɶɶb,Compost,堆肥,captalan,ro,/kaptalan/,ɶbɶɶm,Butterbur,蕗,to,bɶɶ,noun,3
banqueta,es,/baŋketa/,ɶmøɶ,sidewalk,歩道,アンメーター,ja,/aɴmeːtaː/,ɶmøɶ,Ammeter,アンメーター,to,møɶ,noun,3
حفل,ar,/ħafala/,ɶɶɶ,Ceremony,式,khí vật,vi,/xi˩˧ jɤ̆k˨ˀ˩ʔ/,ymuəmɔbbb,gas,ガス,,,noun,3
パーティ,ja,/paːtei/,ɶøy,Party,パーティ,방긋방긋하다,ko,/pa̠ŋɡɯt̚p͈a̠ŋɡɯtʰa̠da̠/,omœbɶm,Crush,打ち砕く,,,noun,3
普通でない,ja,/ɸɯtsɯɯdenai/,ubuuøɶy,Unusual,普通でない,muștruluială,ro,/muʃtrulujalə/,ubuuɶə,dressing,ドレッシング,to,buu,adjective,5
unusual,en,/ənˈjuˌʒuəɫ/,əmuuə,unusual,普通でない,memburuk,id,/məmburuʔ/,əmuub,worse,悪い,to,muu,adjective,3
epätavallinen,fi,/ˈepætɑˌvɑllinen/,øæɑɑbyøm,unusual,普通でない,kekafiran,id,/kəkafiran/,əɶuuɶy,disbelief,不信,,,adjective,6
chancletas,es,/tʃankletas/,bɶmbøɶb,flip flops,ビーチサンダル,Francio,eo,/frant͡sio/,bɶmbyo,France,フランス,to,ɶmb,noun,3
شباشب,ar,/ʃabaːʃib/,ɶɶyb,Slippers,スリッパ,đa đa ích thiện,vi,/da˧˥ da˧˥ it˦˥ tʰiəŋ˨ˀ˩ʔ/,ɶɶybbyəmb,Multi -welfare,マルチウェルフェア,to,ɶyb,noun,3
pistola,es,/pistola/,yboɶ,gun,銃,phi thời gian,vi,/fi˧˥ tʰɤj˦˨ jaŋ˧˥/,yboɶm,non -time,非時間,to,boɶ,noun,3
Pistole,de,/ˈpɪstolə/,ʏboə,pistol,ピストル,関節リウマチ,ja,/kaɴsetsɯɾiɯmatɕi/,ybuu,Rheumatoid arthritis,関節リウマチ,,,noun,3
拳銃,ja,/keɴdʑɯɯ/,ømbuu,Pistol,拳銃,temppuilla,fi,/ˈtemppuillɑ/,ømbuybɑ,trunk,トランク,to,mbu,noun,3
مسدس,ar,/musaddas/,uɶbɶb,pistol,ピストル,브라자,ko,/pɯɾa̠d͡ʑa̠/,uɶbɶ,Braza,ブラザ,to,ɶbɶ,noun,3
terkenal,id,/tərkənal/,əəɶb,famous,有名,recevable,fr,/ʁəsəvabl/,əəɶbb,admissible,許容可能,to,əɶb,adjective,3
قطع,ar,/qatˤaʕa/,ɶbɶɶ,to cut,切る,Nachbarast,de,/ˈnaxˈbaɽast/,ɶbɶɶbb,Neighbor,近所の人,to,bɶɶ,noun,3
カットオーバー,ja,/katːooːbaː/,ɶbooɶ,Cut -over,カットオーバー,mafioso,fr,/mafjozo/,ɶboo,mafioso,マフィオス,to,boo,noun,3
memandu,id,/məmandu/,əɶmu,guide,ガイド,syömingit,fi,/ˈsyømingit/,yøymyb,feast,ごちそう,to,,verb,3
기저귀,ko,/kid͡ʑʌ̹ɡɥi/,ybɔby,diaper,おむつ,subconsciente,fr,/sybkɔ̃sjɑ̃t/,ybɔbɑb,subconscious,潜在意識,to,bɔb,adjective,3
potencial,es,/potenθjal/,oømbɶb,potential,潜在的な,potenzierst,de,/poˈtentsiːɾst/,oømbybb,potentiate,強化します,to,ømb,noun,3
möguleiki,is,/mœːɣʏleiːcɪ/,œʏøyʏ,chance,機会,썰다,ko,/s͈ʌ̹ɭda̠/,ɶuuɔm,chop,チョップ,,,noun,4
