request_word,request_lang,request_pos,request_ipa,request_ipa_formatted,request_word_en,response_word,response_lang,response_pos,response_ipa,response_ipa_formatted,response_word_en
사격,ko,verb,/sʰa̠ɡjʌ̹k̚/,ɶɔb,shooting,afhroð,is,verb,/afr̥ɔð/,ɶɔb,deport
produzieren,de,verb,/pʀoduˈtsiːʀən/,oubyəm,to produce,junwuxiyan,en,adjective,/dʒənˈwuksiən/,əubyəm,junwuxiyan
produkti,eo,verb,/produkti/,ouby,produce,otuzbir,ro,verb,/otuzbir/,ouby,otuzbir
menghasilkan,id,verb,/məŋhasilkan/,əɶybɶm,produce,klassískan,is,adjective,/kʰlasiskan/,bɶybɶm,classic
flosi,eo,verb,/flosi/,boy,float,ジョイ,ja,noun,/dʑoi/,boy,Joy
schweben,de,verb,/ˈʃveːbən/,øəm,hover,cedăm,ro,verb,/tʃedəm/,øəm,yield
float,en,verb,/ˈfɫoʊt/,oʊb,float,Bonus,de,noun,/ˈboːnʊs/,oʊb,bonus
menyodok,id,verb,/məɲodoʔ/,əoob,poke,lăcomos,ro,adjective,/ləkomos/,əoob,lobby
poke,en,verb,/ˈpoʊk/,oʊb,poke,Bonus,de,noun,/ˈboːnʊs/,oʊb,bonus
짧은,ko,adjective,/t͡ɕ͈a̠ɭbɯn/,bɶum,short,klám,is,noun,/kʰlauːm/,bɶum,pornography
zeichnen,de,verb,/ˈt͡saɪ̯çnən/,bɶʏəm,to draw,asylum,en,noun,/əˈsaɪɫəm/,əɶʏəm,asylum
무승부,ko,verb,/musʰɯŋbu/,uumu,tie,تورونتو,ar,noun,/tuːruːntuː/,uumu,Toronto
受け入れる,ja,verb,/ɯkeiɾeɾɯ/,uøyøu,accept,eläinrehu,fi,noun,/ˈelæinˌrehu/,øæyøu,animal feed
menerima,id,verb,/mənərima/,əəyɶ,receive,chưa chi đã,vi,adjective,/cɯə˧˥ ci˧˥ da˧˩˨/,uəyɶ,unprepared
若々しい,ja,adjective,/ɰᵝakaɰᵝakaɕii/,ɶɶɶɶyy,Youthful,embrouillamini,fr,noun,/ɑ̃bʁujamini/,ɑbuɶyy,confusion
youthful,en,adjective,/ˈjuθfəɫ/,ubə,youthful,buster,id,noun,/bustər/,ubə,Buster.
젊은,ko,adjective,/t͡ɕʌ̹ɭmɯn/,bɔum,young,storeroom,en,noun,/ˈstɔɹˌɹum/,bɔum,storeroom
年轻,zh-cn,verb,/njɛn˧˥ tɕʰɪŋ˥˥/,œmbʏm,young,dönskum,is,adjective,/tœnskʏm/,œmbʏm,Danish
cautious,en,adjective,/ˈkɔʃəs/,ɔəb,cautious,Bockes,de,noun,/ˈbɔkəs/,ɔəb,Bock
谨慎,zh-cn,verb,/tɕɪn˨˩˦ ʂən˥˩/,bʏəm,cautious,blichen,de,verb,/ˈplɪçən/,bʏəm,belly
singarda,eo,adjective,/singarda/,ymɶɶ,cautious,hringana,is,noun,/r̥iŋkana/,ymɶɶ,rings
waspada,id,adjective,/waspada/,ɶbɶɶ,alert,albana,eo,adjective,/albana/,ɶbɶɶ,Albanian
악취,ko,verb,/a̠k̚t͡ɕʰɥi/,ɶbby,stink,Falltür,de,noun,/ˈfalltyɾ/,ɶbby,Drop-door
stinken,de,verb,/ˈʃtɪŋkən/,ʏməm,stink,兴奋,zh-cn,verb,/ɕɪŋ˥˥ fən˥˩/,ʏməm,Excite
stink,en,verb,/ˈstɪŋk/,bʏmb,stink,klingt,de,verb,/ˈklɪŋt/,bʏmb,sound
mesum,id,verb,/məsum/,əum,nasty,căpșun,ro,noun,/kəpʃun/,əum,strawberry
음담,ko,verb,/ɯmda̠m/,umɶm,bawdy,ふんだん,ja,adjective,/ɸɯɴdaɴ/,umɶm,Abundant
elite,en,adjective,/eɪˈɫit/,øʏyb,elite,أيئس,ar,noun,/ʔeɪʔis/,øʏyb,Alas
stirilo,eo,verb,/stirilo/,byyo,steering wheel,Kursrisiko,de,noun,/ˈkʊɾsɾiziko/,ʊyyo,Price risk
驾驶,zh-cn,verb,/tɕja˥˩ ʂɚ˨˩˦/,bɶə,drive,blazer,id,noun,/blazər/,bɶə,Blazer
