word,word_lang,word_ipa,word_ipa_rhyme,word_en,word_ja,pair_word,pair_word_lang,pair_word_ipa,pair_word_ipa_rhyme,pair_word_en,pair_word_ja,rhyme_type,match_ipa_rhyme,pos,syllable
Sonnenbrille,de,/ˈzɔnnɛnbrɪllə/,ɔmœmbʏbə,sunglasses,サングラス,당상수의,ko,/ta̠ŋsʰa̠ŋsʰuɰi/,ɶmbɶmbuy,Daring,大胆,to,,noun,4
サングラス,ja,/saɴgɯɾasɯ/,ɶmuɶu,sunglasses,サングラス,landbúnaði,is,/lampunaðɪ/,ɶmuɶʏ,agriculture,農業,to,muɶ,noun,4
遠征,ja,/eɴsei/,ømøy,expedition,遠征,henkevyys,fi,/ˈhenkevyys/,ømøyyb,spirituality,スピリチュアリティ,to,møy,noun,3
expediție,ro,/ekspeditsije/,øbbøybyø,expedition,遠征,ékspériméntal,id,/eʔsperimental/,øbbøyømɶb,ékspériméntal,ékspériméntal,to,bbøy,noun,5
expédition,fr,/ɛkspedisjɔ̃/,œbbøybɔ,dispatch,急送,westphalia,en,/ˈwɛstˌfeɪɫiə/,œbbøʏyə,westphalia,ウェストファリア,to,bbø,noun,4
keranjang,id,/kərandʒaŋ/,əɶmbɶm,basket,バスケット,吃晚餐,zh-cn,/ʈʂʰɚ˥˥ wan˨˩˦ tsʰan˥˥/,əɶmbbɶm,have supper,夕食を食べます,to,ɶmb,noun,3
バケツ,ja,/baketsɯ/,ɶøbu,bucket,バケツ,아레스,ko,/a̠ɾe̞sʰɯ/,ɶøbu,Ares,アレス,to,øbu,noun,3
enérgico,es,/eˈneɾxiko/,øøyo,energetic,エネルギッシュ,feștelitor,ro,/feʃtelitor/,øøyo,feast,ごちそう,to,øyo,adjective,4
pirteä,fi,/ˈpirteæ/,yøæ,perky,元気,中立面,ja,/tɕɯɯɾitsɯmeɴ/,uøy,Neutral surface,中立面,,,adjective,3
广告,zh-cn,/kwɑŋ˨˩˦ kɑʊ˥˩/,bɑmɑʊ,advertise,宣伝します,giampapa,en,/dʒɑmˈpɑˌpɑ/,bɑmɑɑ,giampapa,ジャンパパ,to,ɑmɑ,noun,3
anuncio,es,/anunθjo/,ɶumbo,ad,広告,아름작,ko,/a̠ɾɯmd͡ʑa̠k̚/,ɶumbɶb,Beautiful work,美しい作品,to,umb,noun,3
fixation,fr,/fiksasjɔ̃/,ybɶbɔ,fixation,固定,vibrații,ro,/vibratsij/,ybɶby,vibration,振動,to,bɶb,noun,3
التثبيت,ar,/aːltaθbiːt/,ɶbɶbyb,Installation,インストール,patialba,es,/patjalβa/,ɶbɶbɶ,Patialba,パティアルバ,to,bɶb,noun,3
时髦,zh-cn,/ʂɚ˧˥ mɑʊ˧˥/,əɑʊ,fashionable,ファッショナブル,flugstjóri,is,/flʏxstjourɪ/,bʏbbbouʏ,commander,司令官,,,verb,3
upea,fi,/ˈupeɑ/,uøɑ,magnificent,壮大,別殿,ja,/betsɯdeɴ/,øbuøm,palace annex,別殿,,,adjective,3
فاخر,ar,/faːxara/,ɶɶɶ,deluxe,デラックス,separarlas,es,/sepaɾaɾlas/,øbbyø,separate them,それらを分離します,,,adjective,3
moscatel,es,/moskatel/,obɶøb,muscatel,マスカテル,wohlfeilstem,de,/ˈvolfaelstəm/,obɶøbbəm,best,一番,to,bɶøb,noun,3
furie,ro,/furije/,uyø,anger,怒り,ofboðið,is,/ɔvpɔðɪð/,ɔbɔʏb,excess,過剰,,,noun,3
kunniamerkki,fi,/ˈkunniɑˌmerkki/,umyɑøby,badge,バッジ,hemland,sv,/²h'ɛmːlanːd/,bɶʏɶyb,homeland,故郷,to,,verb,4
小包,ja,/kozɯtsɯmi/,oubuy,parcel,小包,opúsculos,es,/oˈpuskulos/,oubuob,Opiscles,断言,to,ubu,noun,4
包裹,zh-cn,/pɑʊ˥˥ kuɔ˨˩˦/,ɑʊuɔ,pack,パック,fosfo,eo,/fosfo/,ɶyuo,phosphorus,リン,,,noun,3
misoginia,es,/misoxinja/,yoymɶ,misogyny,女性嫌い,فبلهاف,ar,/fabilihaːf/,ɶyyɶb,Fashf,fashf,to,,adjective,4
أفضل,ar,/ʔafdˤala/,ɶbbɶɶ,better,より良い,astmatic,ro,/astmatik/,ɶbbɶyb,asthmatic,喘息,to,bbɶ,adjective,3
Dekadenz,de,/dekaˈdɛnts/,øɶœmbb,decadence,退廃,razele,ro,/razele/,ɶøø,rays,光線,,,noun,3
الانحطاط,ar,/aːlinħitˤaːtˤ/,ɶymybɶb,Degeneration,変性,batintines,es,/batintines/,ɶymyøb,Batintines,バティンティン,to,ymy,noun,4
décadence,fr,/dekadɑ̃s/,øɶɑb,decadence,退廃,棱角,zh-cn,/lɤŋ˧˥ tɕjɑʊ˨˩˦/,ombbɑʊ,edges and corners,エッジとコーナー,,,noun,3
予測,ja,/josokɯ/,oou,predict,予測,배본,ko,/pɛ̝bo̞n/,bymɔmbum,Plastic,プラスチック,,,noun,3
presupunere,ro,/presupunere/,bøuuøø,assumption,,yfirtöku,is,/ɪːvɪrtœːkʏ/,ɶmoubɶʏʏ,takeover,買収,to,,adjective,5
anggapan,id,/aŋgapan/,ɶmɶɶm,assumption,予測,aniagas,es,/anjaɣas/,ɶmɶɶb,Aniagas,アニアガ,to,mɶɶ,noun,3
imagen,es,/imaxen/,yɶøm,image,画像,ligament,ro,/liɡament/,yɶømb,ligament,靱帯,to,ɶøm,noun,3
